 	j'	ai	reçu	une	écharde	de	bambou	dans	le	doigt	</S>
a66	0.269755	0.208103	0.129202	0.0623912	0.0519738	0.0716032	0.0880213	0.0617635	0.0330307	0.0127529	0.0114036
a87	0.264286	0.194206	0.141034	0.101677	0.0743139	0.0562217	0.0451961	0.0482747	0.0333892	0.0188869	0.0225142
a23	0.322967	0.219154	0.196556	0.1069	0.0375744	0.0210798	0.0189306	0.0240396	0.021627	0.0134918	0.0176791
a12	0.284291	0.201303	0.210768	0.132386	0.0382082	0.0196917	0.0178849	0.0214981	0.0239406	0.017786	0.0322421
a5	0.308432	0.183891	0.157891	0.0790843	0.0430917	0.0389544	0.0371094	0.0369981	0.0401381	0.0320223	0.042388
a43	0.223414	0.214719	0.187602	0.117206	0.0687592	0.0508015	0.0304531	0.0340968	0.0306961	0.0209204	0.0213322
a21	0.193182	0.204952	0.199486	0.143188	0.0802271	0.0441096	0.0278814	0.0375503	0.031251	0.0193359	0.0188369
a5	0.159215	0.168488	0.199298	0.188242	0.0998399	0.0471568	0.0300098	0.0325734	0.0273009	0.0223361	0.0255407
a18	0.134847	0.143098	0.174354	0.201306	0.123918	0.0724513	0.0389101	0.0341757	0.0261649	0.0231324	0.0276434
a21	0.0788336	0.0827277	0.0777721	0.0851093	0.0774812	0.0671969	0.0813853	0.0990883	0.105844	0.102706	0.141856
a12	0.08643	0.0976274	0.125335	0.126556	0.129739	0.127909	0.0902649	0.0612332	0.0464298	0.0483233	0.0601522
a96	0.0639593	0.0635571	0.0723094	0.075872	0.109701	0.150637	0.145277	0.10005	0.0698581	0.0620202	0.0867581
a18	0.0639954	0.0612007	0.0513653	0.0496054	0.0779364	0.13398	0.161978	0.116234	0.0945573	0.0802326	0.108915
a53	0.047661	0.0480416	0.0271218	0.0231062	0.0304189	0.0842144	0.22318	0.135279	0.12696	0.120741	0.133277
a15	0.0371074	0.029608	0.0266072	0.0225167	0.0272932	0.0550301	0.13364	0.153253	0.165959	0.148363	0.200622
a79	0.0263016	0.019957	0.0173697	0.0113471	0.0139717	0.0252026	0.0700152	0.0725661	0.130364	0.209713	0.403193
a98	0.00918961	0.00780544	0.0090038	0.00835868	0.013918	0.0315683	0.0965016	0.0885329	0.148161	0.218414	0.368546
a73	0.0121886	0.010059	0.0117722	0.00993854	0.0153049	0.0309134	0.076323	0.0612551	0.120067	0.227474	0.424705
a25	0.00725192	0.00452079	0.00393727	0.00330774	0.00422065	0.00796032	0.0256139	0.026293	0.0768761	0.279762	0.560256
a56	0.00245597	0.00131708	0.00103159	0.000902177	0.00110878	0.00211949	0.00701909	0.00916422	0.0476408	0.303181	0.624059
a85	0.000924682	0.000497266	0.000365435	0.000228457	0.000304939	0.000839416	0.00443187	0.00663085	0.0507779	0.314853	0.620147
a6	0.000801009	0.000411041	0.000270147	0.000200962	0.000256049	0.000705595	0.00334192	0.00495421	0.0379004	0.279648	0.67151
a36	0.00100599	0.000456587	0.000251081	0.000172937	0.000211614	0.000609067	0.00296785	0.00553613	0.041	0.283992	0.663797
a27	0.00313022	0.00190016	0.00123881	0.00108152	0.00131214	0.00268103	0.00728425	0.0108459	0.056499	0.270392	0.643634
a82	0.0956194	0.0528795	0.0349025	0.0249155	0.0255294	0.0413221	0.0465752	0.0329647	0.0732234	0.217505	0.354564
a87	0.25443	0.161557	0.0834379	0.106264	0.067647	0.0761887	0.0725303	0.0400955	0.0390932	0.0433514	0.0554052
a23	0.241309	0.14797	0.0755501	0.113117	0.0617824	0.0583094	0.0788851	0.0656078	0.056903	0.0488231	0.051743
a99	0.134271	0.0670008	0.0294107	0.0323936	0.017177	0.0160841	0.033366	0.0488992	0.129466	0.230812	0.261119
a97	0.0452828	0.0210085	0.011475	0.01408	0.00956266	0.0108983	0.0217404	0.0344977	0.0837903	0.274259	0.473406
</S>	0.0282002	0.0132844	0.00780043	0.0111846	0.0066715	0.00748444	0.0141682	0.0217071	0.063001	0.267284	0.559214
