 	le	chef	de	notre	village	est	barbu	mais	la	barbe	du	prêtre	est	plus	longue	que	la	sienne	</S>
a87	0.0629342	0.0554366	0.0466614	0.0440018	0.0474668	0.0451815	0.0436666	0.0461879	0.0614177	0.0893524	0.0755454	0.098386	0.0825705	0.110496	0.0648328	0.0147489	0.00510205	0.00302706	0.0029841
a23	0.143263	0.103561	0.0565651	0.0316145	0.0260703	0.0297091	0.0291149	0.0398816	0.0505609	0.0821649	0.0685371	0.0716055	0.0676776	0.0648615	0.038616	0.0238505	0.0227481	0.0217708	0.0278285
a87	0.0723616	0.0707463	0.0873023	0.0928611	0.0883002	0.0758241	0.0655852	0.0523401	0.040007	0.0463537	0.0403138	0.0351461	0.0341352	0.0268213	0.0188575	0.019331	0.0302909	0.0439744	0.0594484
a23	0.0792599	0.0711478	0.076204	0.0845551	0.0858903	0.0719792	0.066081	0.0405295	0.0382361	0.0459846	0.0398361	0.0419885	0.0406133	0.0373857	0.0333535	0.0355675	0.040135	0.0328469	0.0384061
a13	0.0936923	0.0941006	0.101739	0.0924415	0.0870299	0.0644938	0.0508382	0.0351477	0.034676	0.0352508	0.0357128	0.0381852	0.0373198	0.0290591	0.0336528	0.0334992	0.0328412	0.0255271	0.0447929
a57	0.144968	0.190472	0.137147	0.0786966	0.0620274	0.0408787	0.0293395	0.0201991	0.0221445	0.0302329	0.025011	0.0277482	0.0239555	0.0240405	0.0416686	0.033977	0.0280853	0.0173294	0.0220786
a30	0.194266	0.227873	0.170536	0.0815431	0.053814	0.0366186	0.0248881	0.016963	0.018625	0.0280115	0.0188721	0.0189515	0.0160507	0.0140413	0.0179728	0.0175788	0.019645	0.011076	0.0126731
a93	0.123888	0.185592	0.157921	0.093702	0.0821551	0.064422	0.0408527	0.0302201	0.0328894	0.0409141	0.0259345	0.0247749	0.0204983	0.0170848	0.0155765	0.0123443	0.0139882	0.00871335	0.00852854
a70	0.146803	0.157406	0.132714	0.078288	0.0651831	0.0567411	0.0486431	0.0329609	0.0296458	0.0416275	0.0255915	0.0226435	0.0200465	0.0158768	0.015418	0.016157	0.025764	0.0289024	0.0395885
a75	0.100768	0.110504	0.10564	0.0909285	0.0896726	0.0819434	0.078254	0.0462754	0.0377956	0.0499992	0.0281866	0.0250738	0.0239382	0.017744	0.0145235	0.0152884	0.0200856	0.0264956	0.0368833
a79	0.0635892	0.0781925	0.08435	0.0839515	0.0890638	0.088153	0.0820944	0.0639198	0.0523483	0.0681154	0.0328814	0.0267292	0.0254371	0.0183265	0.0130813	0.0141166	0.0217771	0.0383546	0.055518
a44	0.0600007	0.0734536	0.0920394	0.0935604	0.0932862	0.0853684	0.0811971	0.0577317	0.0441556	0.0578507	0.0305972	0.0273032	0.0278111	0.0197614	0.012461	0.0143261	0.0248649	0.0435332	0.0606981
a90	0.0518721	0.0661215	0.101728	0.129082	0.137642	0.112332	0.0882694	0.0566034	0.0436635	0.0476201	0.0260434	0.021561	0.0199808	0.013929	0.010015	0.010942	0.013373	0.019262	0.0299596
a79	0.0393189	0.0498912	0.0796999	0.105324	0.112584	0.100785	0.0876391	0.0667677	0.0565907	0.0607692	0.0390202	0.0322862	0.0291072	0.0214022	0.0153339	0.0152997	0.0183166	0.0266372	0.0432282
a20	0.0252837	0.0297705	0.0504195	0.0808415	0.0897964	0.0866802	0.0841934	0.0714811	0.0631405	0.0748451	0.0595931	0.0557517	0.0531023	0.0397087	0.0220316	0.0170762	0.0188758	0.0307358	0.0466728
a44	0.0111001	0.0143683	0.025015	0.0564888	0.0843467	0.0959346	0.0968041	0.0869619	0.0774659	0.0766825	0.0624103	0.0568577	0.0528157	0.0384187	0.0233848	0.0200474	0.0221508	0.0368919	0.0618547
a43	0.0118136	0.0149713	0.0265027	0.0553044	0.0825621	0.0914003	0.0957447	0.0897219	0.0828035	0.0865548	0.0661114	0.0584337	0.05417	0.0401695	0.0246541	0.0193973	0.0208718	0.0309083	0.0479047
a75	0.00763641	0.00945064	0.0170608	0.0392672	0.0714769	0.0933405	0.112624	0.103547	0.0904369	0.0933135	0.0668389	0.0566823	0.0515487	0.0376123	0.0208311	0.0175939	0.0199927	0.0327895	0.0579573
a5	0.00710359	0.00834792	0.0112209	0.0208988	0.0374679	0.0617843	0.0954781	0.0959612	0.088777	0.101044	0.0932755	0.0861277	0.0793067	0.0550801	0.0273147	0.0169965	0.0160108	0.0346736	0.0631308
a21	0.013372	0.0135132	0.0161264	0.0229289	0.033935	0.0554308	0.0901904	0.0898178	0.0858628	0.116221	0.0942948	0.0834452	0.0749049	0.0505678	0.0219973	0.0119037	0.0130412	0.038321	0.0741253
a5	0.01823	0.0177925	0.0195138	0.0268876	0.0381719	0.0614529	0.0931473	0.0949804	0.0976484	0.125507	0.0968395	0.0829912	0.072076	0.0455076	0.0196793	0.0108216	0.0101337	0.0244943	0.0441247
a21	0.0144164	0.0143102	0.0161039	0.0204928	0.025854	0.0421693	0.0763284	0.0838023	0.0757803	0.0948157	0.0844275	0.0811109	0.0789124	0.0562989	0.0257756	0.0167109	0.019151	0.0606606	0.112879
