 	le	bateau	descend	vers	oyo	</S>
a66	0.42155	0.460193	0.0862204	0.02167	0.00771685	0.00264967
a97	0.585458	0.267271	0.0427858	0.0467071	0.029698	0.02808
a99	0.299662	0.241936	0.320625	0.0587062	0.0384018	0.0406692
a97	0.262006	0.239133	0.395171	0.0473741	0.0297825	0.0265333
a99	0.287946	0.246557	0.350881	0.0528057	0.0336154	0.0281955
a97	0.455345	0.325838	0.128184	0.0334715	0.0247254	0.0324363
a79	0.443589	0.326439	0.119363	0.0395858	0.0316668	0.039357
a54	0.436922	0.276476	0.150635	0.0520831	0.0368728	0.0470105
a0	0.376653	0.320471	0.155364	0.0728016	0.0429186	0.0317918
a11	0.232687	0.325308	0.292278	0.0749938	0.0444402	0.030293
a90	0.157688	0.242037	0.399529	0.0950114	0.0627827	0.0429509
a15	0.191931	0.29919	0.328093	0.101534	0.0465747	0.032677
a40	0.146854	0.293753	0.35198	0.110313	0.0511086	0.0459916
a6	0.126432	0.20559	0.29343	0.153524	0.114236	0.106789
a92	0.169699	0.236664	0.300529	0.125502	0.095601	0.0720044
a56	0.155047	0.210975	0.318365	0.142068	0.102885	0.0706599
a34	0.14681	0.188719	0.294661	0.179018	0.112299	0.0784928
a98	0.122841	0.157082	0.267705	0.198738	0.139624	0.114011
a85	0.0456771	0.0635083	0.189554	0.249677	0.237947	0.213636
a6	0.0288495	0.0334412	0.120647	0.208245	0.289319	0.319498
a36	0.0379012	0.0428631	0.133999	0.193343	0.277204	0.314691
a21	0.0157999	0.0192858	0.0821547	0.19278	0.284543	0.405436
a47	0.0113098	0.0139054	0.0665341	0.129453	0.27239	0.506408
a21	0.00715093	0.00763673	0.0474913	0.123292	0.262576	0.551853
a92	0.00327879	0.00353217	0.0314461	0.0779365	0.228175	0.655631
a37	0.00136125	0.00136099	0.0171778	0.0554069	0.233309	0.691384
a92	0.00145495	0.00120698	0.0105013	0.0437915	0.188907	0.754138
a37	0.00101693	0.000938523	0.0136845	0.0549372	0.231799	0.697624
a93	0.00178631	0.00157493	0.0128497	0.0545887	0.208222	0.720978
a70	0.000868906	0.000802343	0.0074524	0.0432889	0.198832	0.748756
a13	0.000495784	0.000421252	0.00224213	0.0210192	0.16353	0.812291
a9	0.00229219	0.00182362	0.00682313	0.0558674	0.258836	0.674357
a3	0.0529177	0.0325395	0.073333	0.156772	0.283875	0.400563
a97	0.113201	0.0626035	0.0958557	0.18649	0.245708	0.296141
a99	0.0635961	0.0352984	0.0802765	0.173337	0.231714	0.415778
a3	0.0212418	0.0123258	0.0444448	0.113422	0.216885	0.591681
a97	0.0107223	0.0101217	0.0432262	0.0801152	0.187384	0.668431
</S>	0.0311555	0.0361629	0.0848433	0.099834	0.171954	0.57605
