 	notre	père	a	coupé	l'	arbre	olembe	pour	scier	des	planches	</S>
a66	0.156326	0.112981	0.111899	0.119491	0.152202	0.154293	0.0881387	0.0599729	0.0270875	0.00970497	0.00382921	0.00407432
a87	0.424874	0.207922	0.114648	0.0759108	0.0626159	0.0483922	0.0241057	0.0162618	0.00874851	0.00624402	0.00414974	0.00612745
a23	0.348529	0.159105	0.103176	0.103888	0.0843677	0.0583576	0.03751	0.0340925	0.0246288	0.0173097	0.0114421	0.0175945
a40	0.0929222	0.0639181	0.0567903	0.0914177	0.0821169	0.0775169	0.0949345	0.101178	0.0731868	0.0980885	0.0623902	0.10554
a6	0.235607	0.140469	0.107681	0.0803097	0.0909362	0.0930848	0.0912475	0.0686259	0.0264327	0.0248375	0.0181813	0.0225873
a36	0.111492	0.115293	0.096179	0.0722963	0.0867882	0.0873599	0.127261	0.116515	0.0803973	0.0568069	0.0316504	0.0179608
a37	0.109609	0.127029	0.12927	0.113759	0.102561	0.100649	0.092327	0.0732818	0.0499553	0.0435048	0.0333715	0.0246826
a0	0.0507311	0.0704601	0.0990835	0.139476	0.138455	0.151507	0.135415	0.0829464	0.0428256	0.0341056	0.0292598	0.0257347
a62	0.0426126	0.0570776	0.0799637	0.120975	0.128232	0.147538	0.160726	0.0928011	0.0468754	0.0401149	0.0403833	0.0427007
a5	0.0385983	0.0521086	0.0717297	0.102878	0.123763	0.14807	0.163563	0.105349	0.066392	0.0472831	0.0400122	0.0402537
a6	0.0189407	0.0250841	0.0434616	0.073414	0.103246	0.147151	0.187562	0.124004	0.0720305	0.0662267	0.0676335	0.0712459
a0	0.0264612	0.0383092	0.0541962	0.06354	0.0811594	0.120524	0.158298	0.109525	0.0837266	0.0811015	0.0795632	0.103595
a43	0.0301909	0.0417192	0.0697821	0.100867	0.14153	0.167472	0.140014	0.0932546	0.0547634	0.0478727	0.0515548	0.0609782
a21	0.0120003	0.0193172	0.0321375	0.0522394	0.0922906	0.147055	0.141182	0.121156	0.0832251	0.0853187	0.0887294	0.125348
a12	0.0193292	0.0214959	0.0341371	0.0513196	0.0919351	0.127618	0.115265	0.108517	0.118645	0.108952	0.097986	0.1048
a18	0.0122144	0.0159987	0.0249005	0.0392382	0.0769849	0.130251	0.118903	0.126272	0.116074	0.119158	0.100824	0.119181
a88	0.00613757	0.00925612	0.0159328	0.0353738	0.0745842	0.15437	0.170791	0.160149	0.116149	0.101998	0.0727816	0.0824771
a0	0.00651062	0.0097283	0.0155784	0.0300481	0.0586662	0.115942	0.127676	0.14053	0.11312	0.141551	0.116075	0.124575
