 	ecoute	le	lion	qui	rugit	dans	la	forêt	</S>
a23	0.465019	0.151714	0.0911166	0.0629617	0.0477798	0.0374974	0.0378579	0.0447795	0.0612744
a53	0.176965	0.133246	0.139178	0.128543	0.0879866	0.0660317	0.0707493	0.0817069	0.115593
a93	0.290551	0.267126	0.183934	0.0842037	0.0544874	0.0366174	0.0300866	0.0272771	0.0257168
a56	0.337212	0.265678	0.194977	0.0749368	0.0451945	0.0265234	0.0190637	0.0189017	0.0175132
a96	0.305198	0.228996	0.185255	0.106824	0.0654581	0.0317658	0.0246771	0.0262068	0.0256198
a75	0.30281	0.214887	0.184924	0.115611	0.074145	0.0362117	0.0256542	0.0229791	0.0227784
a41	0.208822	0.17676	0.163543	0.104515	0.0946084	0.071271	0.0604288	0.0588417	0.0612098
a56	0.223512	0.168186	0.157767	0.138488	0.104579	0.0628619	0.0495746	0.0461808	0.0488522
a94	0.190013	0.18481	0.16337	0.136817	0.108027	0.067454	0.0519244	0.0479476	0.0496361
a93	0.156201	0.168598	0.150572	0.150734	0.126196	0.0798378	0.0617712	0.0543914	0.0517003
a96	0.137989	0.165151	0.137271	0.148241	0.1319	0.0895331	0.0716272	0.0625852	0.0557023
a93	0.111386	0.131369	0.112894	0.145124	0.147043	0.116063	0.0990991	0.076294	0.0607287
a75	0.0924226	0.118797	0.102371	0.147581	0.154732	0.125249	0.107068	0.0838136	0.0679658
a85	0.066459	0.0731399	0.071889	0.0985128	0.131735	0.147407	0.157324	0.142863	0.11067
a47	0.0485964	0.0559615	0.0651107	0.102047	0.13205	0.148519	0.155812	0.154493	0.137412
a79	0.0528245	0.0501636	0.0519155	0.0732239	0.116697	0.156654	0.173642	0.168845	0.156035
a44	0.0425119	0.050433	0.0501871	0.07337	0.125047	0.1668	0.173262	0.169169	0.14922
a90	0.0448323	0.054069	0.0528316	0.0702156	0.114604	0.16629	0.177248	0.168841	0.151068
a25	0.0229284	0.0432541	0.0413787	0.0534602	0.0955348	0.162749	0.186816	0.202347	0.191531
a56	0.0203855	0.0319829	0.0321979	0.0356224	0.0589661	0.1078	0.161242	0.251307	0.300496
a43	0.0164721	0.0341752	0.0389871	0.0491491	0.0846106	0.144723	0.186517	0.219265	0.226101
a75	0.0230487	0.0418394	0.0446191	0.0546933	0.0815552	0.123919	0.169708	0.213238	0.24738
a79	0.0168176	0.0310957	0.0358487	0.0346578	0.0521438	0.0854739	0.134799	0.250764	0.3584
a7	0.0119339	0.0268499	0.0305238	0.0392214	0.066847	0.120792	0.185045	0.252376	0.26641
a84	0.00823429	0.0183475	0.0263437	0.0448922	0.0697043	0.115543	0.176226	0.246382	0.294327
a53	0.0272028	0.0410388	0.0346959	0.0242881	0.0289484	0.0573831	0.0902608	0.184365	0.511817
a4	0.00436506	0.0115641	0.0152349	0.0217414	0.0372222	0.0730445	0.138088	0.280764	0.417976
a57	0.00209261	0.00573316	0.00669699	0.00967381	0.0181595	0.0434902	0.103034	0.25375	0.557369
a82	0.00305975	0.00610367	0.00673691	0.00733508	0.0137006	0.0465312	0.109179	0.273599	0.533755
a87	0.0695596	0.0574298	0.042901	0.0269452	0.035746	0.0691636	0.119662	0.238161	0.340432
a23	0.161218	0.127658	0.098489	0.0594574	0.0684912	0.0952104	0.112812	0.135155	0.141508
a87	0.0192505	0.0277883	0.0276961	0.0316052	0.0609283	0.126528	0.181177	0.250376	0.274651
a23	0.00649264	0.0122277	0.0174386	0.0319318	0.0610953	0.108624	0.162665	0.257719	0.341805
a87	0.0113742	0.0198246	0.025502	0.0473923	0.0877864	0.12969	0.178231	0.230791	0.269409
</S>	0.0111375	0.0233792	0.029146	0.0460173	0.074141	0.107897	0.167489	0.24875	0.292043
