 	ce	village	n'	a	pas	de	divinateur	</S>
a66	0.190431	0.16287	0.152311	0.166304	0.159151	0.10642	0.0379215	0.0245919
a87	0.3244	0.181435	0.140642	0.124433	0.0732369	0.0726019	0.0543101	0.0289414
a23	0.290038	0.190209	0.193991	0.173675	0.0652486	0.0427491	0.0262184	0.0178701
a30	0.310416	0.180185	0.177521	0.143398	0.059824	0.0435866	0.041156	0.0439134
a4	0.301073	0.188022	0.204998	0.158257	0.062381	0.039021	0.0257309	0.0205164
a93	0.346151	0.224054	0.16424	0.120607	0.0585254	0.0462893	0.0301819	0.00995067
a94	0.242174	0.205379	0.19546	0.159453	0.0907985	0.0603842	0.0336336	0.0127177
a12	0.204049	0.176429	0.175154	0.151681	0.114453	0.0836101	0.0603153	0.0343085
a47	0.191221	0.170868	0.156853	0.141236	0.130672	0.0995763	0.0663963	0.0431762
a12	0.12664	0.120251	0.121578	0.129267	0.153826	0.135103	0.122397	0.0909379
a47	0.103645	0.0968299	0.116092	0.13108	0.165109	0.146311	0.12816	0.112773
a12	0.0777236	0.0847596	0.126611	0.151013	0.17173	0.126639	0.121218	0.140305
a56	0.0575572	0.0605694	0.109788	0.153276	0.211288	0.149523	0.111187	0.146812
a34	0.0647291	0.0671287	0.120501	0.167305	0.22231	0.140978	0.0938138	0.123233
a21	0.0447987	0.0462192	0.0913989	0.136199	0.211641	0.154906	0.118739	0.196098
a47	0.0261008	0.0230008	0.0431279	0.0705409	0.149196	0.152826	0.181197	0.354011
a96	0.0221936	0.020777	0.0347885	0.053366	0.117535	0.120668	0.227291	0.403381
a21	0.0110205	0.0104335	0.015951	0.0240321	0.0642761	0.0918383	0.247344	0.535104
a47	0.0058036	0.00486192	0.00671449	0.0102513	0.030729	0.0619408	0.239862	0.639837
a88	0.00691016	0.00650465	0.00879326	0.0119782	0.0272167	0.0509002	0.24226	0.645437
a47	0.00183121	0.00159662	0.00219452	0.00305996	0.00840764	0.0210778	0.144916	0.816916
a96	0.00360465	0.00310357	0.0040095	0.00597371	0.0126372	0.0360946	0.19096	0.743616
a75	0.00362834	0.00297214	0.00350651	0.00569876	0.0133039	0.0360414	0.121639	0.81321
a6	0.000534226	0.000436817	0.000579548	0.000908676	0.00370514	0.0160936	0.106038	0.871704
a36	0.00347622	0.00283469	0.00288859	0.00536239	0.0182784	0.0531765	0.133857	0.780126
a75	0.088024	0.058065	0.0459075	0.0643787	0.0979188	0.124605	0.148584	0.372517
a47	0.00329242	0.00219911	0.00259615	0.00482212	0.0182074	0.0595545	0.16932	0.740009
a36	0.00331142	0.00255899	0.00276177	0.0045096	0.0130644	0.0542846	0.215479	0.70403
a2	0.0456368	0.0366892	0.0316083	0.0472629	0.0868595	0.134584	0.209522	0.407837
a57	0.158402	0.126799	0.105702	0.130828	0.142905	0.133517	0.0925957	0.109252
a10	0.27843	0.153099	0.122282	0.127943	0.0919014	0.0985878	0.0708484	0.0569082
a87	0.242953	0.131005	0.112627	0.1263	0.0947011	0.106576	0.0931366	0.092702
a23	0.107984	0.084497	0.0925099	0.122057	0.136382	0.164462	0.142503	0.149605
a99	0.031882	0.0228306	0.0218664	0.0272523	0.0477368	0.0758182	0.165286	0.607328
a84	0.0270632	0.0191665	0.0194356	0.0269117	0.0490104	0.0860256	0.218138	0.554249
</S>	0.020443	0.013742	0.0144336	0.0171837	0.0269133	0.0464859	0.159579	0.70122
