 	cette	femme-ci	ne	jouit	plus	d'	une	bonne	santé	depuis	la	mort	de	son	mari	</S>
a66	0.121813	0.0940668	0.105253	0.169764	0.119272	0.108736	0.0813595	0.0615342	0.0341396	0.0233513	0.0196336	0.0154688	0.0127	0.0112684	0.0105428	0.0110972
a87	0.245077	0.154708	0.150138	0.151825	0.0625682	0.0472019	0.0345545	0.0272957	0.0198744	0.0146999	0.0149845	0.0128025	0.0138441	0.0147338	0.0170048	0.0186868
a23	0.394558	0.285682	0.136508	0.0849608	0.0252197	0.0182295	0.0132146	0.0094546	0.00568182	0.00321634	0.00307306	0.00255466	0.00293538	0.00341049	0.00460521	0.0066954
a30	0.36604	0.247271	0.132413	0.0926569	0.0204461	0.0122476	0.0102529	0.0092321	0.0103458	0.00970784	0.0100282	0.00904217	0.0109038	0.0121845	0.0183036	0.0289243
a70	0.301539	0.183585	0.156732	0.15382	0.0475898	0.0264699	0.0185087	0.0133426	0.00993946	0.00819373	0.00888064	0.00921103	0.0111102	0.0127667	0.0169848	0.0213271
a61	0.256535	0.201912	0.215977	0.188213	0.0378865	0.0204372	0.01317	0.010121	0.00623258	0.00433172	0.00435319	0.00442589	0.00582091	0.0068719	0.0106513	0.0130612
a62	0.215707	0.228611	0.241713	0.1788	0.0476032	0.0265712	0.0161295	0.0115776	0.00547484	0.00351582	0.00320392	0.00301526	0.00370562	0.00397724	0.00507865	0.00531628
a93	0.17072	0.211441	0.201916	0.15452	0.0757763	0.0477227	0.0337799	0.0272663	0.0141855	0.00874361	0.0078518	0.00684422	0.00789008	0.00828957	0.0107494	0.0123038
a90	0.116916	0.149225	0.167979	0.154078	0.108989	0.0803573	0.0618399	0.050514	0.0241308	0.0141212	0.0123274	0.010107	0.0110803	0.0106813	0.0130541	0.0145995
a69	0.0806202	0.104244	0.134297	0.142644	0.118784	0.0986746	0.0791787	0.0684207	0.0346722	0.0224781	0.0190949	0.0152772	0.0168268	0.0163979	0.022166	0.0262241
a20	0.0560717	0.0698989	0.0981942	0.121024	0.0923748	0.0799565	0.0711008	0.0724575	0.0510649	0.04253	0.0371865	0.0305508	0.0318476	0.0324222	0.0461511	0.067169
