 	ce	régime	de	noix	de	palme	s'	est	déjà	gâté	</S>
a66	0.232915	0.393554	0.157689	0.071006	0.0366724	0.0273304	0.0229228	0.0188394	0.0160601	0.0117864	0.0112255
a87	0.317498	0.248443	0.165571	0.0933192	0.050857	0.0328893	0.0237834	0.016998	0.0178636	0.0142264	0.0185505
a23	0.376391	0.167392	0.122879	0.0791308	0.0519216	0.0387908	0.0295913	0.0251337	0.0295067	0.0356837	0.0435801
a87	0.378604	0.138855	0.107836	0.0702215	0.0552861	0.0539251	0.0391879	0.0278113	0.0299768	0.0390594	0.059237
a97	0.364344	0.172646	0.137431	0.0857871	0.0591772	0.0500712	0.0316956	0.021477	0.0207709	0.0248172	0.0317832
a23	0.328187	0.198991	0.143061	0.0836915	0.0560379	0.049197	0.0335263	0.0247473	0.0238681	0.0274493	0.0312432
a62	0.328138	0.227504	0.194741	0.0982226	0.0447587	0.0263954	0.0148829	0.0110387	0.0115707	0.0167352	0.0260139
a88	0.308348	0.254087	0.179464	0.114049	0.0598164	0.0348573	0.0159159	0.00884999	0.00656011	0.00726694	0.0107861
a56	0.236817	0.232196	0.158805	0.10839	0.0763866	0.0620388	0.0396992	0.025599	0.0175087	0.0188443	0.0237141
a93	0.220407	0.208517	0.143477	0.10805	0.0849121	0.0764654	0.0539485	0.0348244	0.0230986	0.0216869	0.0246128
a98	0.108259	0.134169	0.135179	0.124655	0.111556	0.113494	0.0956182	0.0639005	0.0421588	0.035139	0.0358718
a79	0.0419042	0.0896987	0.105444	0.100082	0.100723	0.115234	0.116467	0.0940021	0.0766737	0.080197	0.0795741
a37	0.0512401	0.0928782	0.0949396	0.0901171	0.0940009	0.114515	0.124434	0.0990561	0.0818146	0.0760866	0.0809172
a21	0.074684	0.103024	0.0797871	0.0642214	0.0684022	0.0941901	0.120073	0.107581	0.098995	0.0948304	0.0942124
a47	0.0222325	0.0441868	0.038204	0.037965	0.051016	0.0734747	0.108076	0.134344	0.151515	0.169373	0.169613
a96	0.00914084	0.0161284	0.0211826	0.0240357	0.034781	0.0517278	0.0906888	0.141936	0.175117	0.202412	0.23285
a0	0.00320271	0.00369897	0.00530591	0.00909541	0.0200092	0.0369617	0.0757224	0.135787	0.185486	0.242586	0.282145
a90	0.00135594	0.00134563	0.00186177	0.00308694	0.00726745	0.014429	0.0357874	0.0833309	0.149911	0.304081	0.397543
a93	0.000497733	0.000582443	0.00109738	0.00240121	0.00677186	0.0143342	0.0334229	0.0721371	0.132247	0.306982	0.429526
a4	0.00022078	0.000231063	0.00042345	0.000897307	0.00235677	0.00482859	0.0129162	0.0392243	0.0954012	0.328734	0.514766
a53	0.00013912	0.000174514	0.000316787	0.000624039	0.00158348	0.00322782	0.00881978	0.0302555	0.0861276	0.318673	0.550058
a94	0.000148504	0.000182691	0.000362379	0.000749827	0.00180157	0.00330547	0.00875147	0.0294178	0.0851818	0.291015	0.579084
a26	0.000114994	0.000156675	0.000359336	0.000834962	0.00202546	0.00297184	0.00787022	0.0262666	0.0766559	0.25863	0.624114
a82	0.000689668	0.000914974	0.00223216	0.00395431	0.00754726	0.0106367	0.0240515	0.058527	0.136936	0.312018	0.442493
a97	0.0143879	0.00857106	0.0121838	0.0134639	0.0200912	0.0273384	0.0444531	0.0713156	0.121092	0.274468	0.392636
a87	0.113069	0.0594799	0.0547953	0.0367002	0.0399565	0.0443178	0.0578328	0.0659781	0.0984036	0.179898	0.249569
a97	0.152024	0.0921847	0.0796071	0.0574897	0.0540156	0.050504	0.0521121	0.0497115	0.0732887	0.141979	0.197083
a99	0.0172592	0.01248	0.0134974	0.0149753	0.0232491	0.0317268	0.0487009	0.0665937	0.125982	0.27817	0.367366
a97	0.00534046	0.00451285	0.00675415	0.00925087	0.0188117	0.0301996	0.0503712	0.0675307	0.119261	0.303576	0.384391
a84	0.00684044	0.00662534	0.0108204	0.0149444	0.0280465	0.0401775	0.0564325	0.0655549	0.10769	0.279667	0.383202
</S>	0.0194362	0.0257455	0.0343353	0.0360494	0.0495071	0.0615143	0.0754158	0.0751307	0.109469	0.228468	0.284928
