 	les	gens	sont	en	train	de	parler	très	fort	chez	le	chef	du	village	</S>
a66	0.205367	0.163247	0.137451	0.108158	0.0848507	0.0799887	0.0725716	0.0422281	0.0335331	0.0184161	0.0168952	0.0137977	0.00986595	0.00696998	0.00665968
a87	0.215582	0.127731	0.105838	0.0909206	0.0743008	0.0722038	0.0671517	0.0509856	0.0446383	0.0336298	0.0288895	0.0290552	0.0210959	0.0184882	0.019489
a97	0.242801	0.130158	0.1075	0.096925	0.0852295	0.0825051	0.0680705	0.0647493	0.0384966	0.022864	0.0149201	0.0134355	0.00940646	0.0101565	0.0127819
a87	0.16237	0.106847	0.101604	0.0888425	0.0837582	0.0841864	0.101811	0.0924248	0.0630537	0.0367447	0.0240307	0.0193769	0.0115474	0.0108651	0.0125376
a97	0.136225	0.100641	0.0982879	0.0886762	0.0842696	0.084973	0.104123	0.0951648	0.0701534	0.0432244	0.0292081	0.0239296	0.0139556	0.0128893	0.0142787
a23	0.113982	0.0890207	0.0959523	0.0913912	0.0916124	0.0926354	0.101927	0.0890979	0.0689181	0.0462453	0.0345049	0.0300824	0.0178793	0.0171431	0.0196085
a54	0.223273	0.111333	0.0862223	0.0728971	0.0727212	0.0852258	0.0724645	0.0594285	0.0480631	0.0328122	0.0281268	0.0278514	0.0241408	0.0256974	0.0297428
a5	0.220614	0.173348	0.12711	0.0979068	0.0709354	0.0561507	0.0415789	0.0238898	0.0193986	0.016082	0.0180916	0.0221149	0.0306195	0.0388346	0.0433261
a98	0.134224	0.118609	0.0997391	0.0925543	0.0860053	0.0835873	0.0845432	0.0546468	0.0449777	0.0269851	0.0260298	0.0294345	0.0322746	0.0412914	0.0450979
a79	0.0927416	0.0949616	0.101489	0.113434	0.11637	0.106347	0.114298	0.0611257	0.0462518	0.0261973	0.0244577	0.0239486	0.0230113	0.0268103	0.0285567
a7	0.0929403	0.103587	0.115048	0.120546	0.112657	0.0949784	0.0981714	0.0576643	0.0452712	0.028984	0.0252462	0.0230642	0.0237133	0.0278145	0.0303143
a44	0.055747	0.0576535	0.0737621	0.0942234	0.108024	0.104552	0.133838	0.0859595	0.0637434	0.0390232	0.0311297	0.0283751	0.0303653	0.0401879	0.053415
a98	0.0393713	0.0399769	0.0543847	0.0757873	0.0982936	0.105998	0.152365	0.105494	0.0803842	0.0508603	0.0371741	0.030831	0.0319919	0.0411866	0.0559016
a79	0.0269851	0.0327145	0.0539546	0.0816686	0.103478	0.106522	0.131774	0.091482	0.0730553	0.0599937	0.0445081	0.0366709	0.038946	0.050463	0.0677839
a7	0.0220259	0.0267183	0.0442141	0.0696251	0.0952477	0.102957	0.128934	0.0961478	0.0801361	0.0713922	0.0516135	0.04076	0.0415556	0.054497	0.0741757
a90	0.0150874	0.0152613	0.0221648	0.0359747	0.0564363	0.0749454	0.126437	0.128349	0.10822	0.0819079	0.0560707	0.0452223	0.0500628	0.071582	0.112279
a4	0.0152415	0.0168947	0.0226465	0.0332251	0.0481674	0.0633564	0.0934971	0.10665	0.109438	0.11573	0.0876067	0.0662508	0.0611431	0.0700515	0.0901013
a53	0.0114198	0.0123212	0.0162294	0.0237929	0.0349147	0.0474364	0.0758644	0.11074	0.117223	0.123334	0.0944332	0.0721074	0.0678482	0.0806118	0.111724
a90	0.00774984	0.00884049	0.0124191	0.0198647	0.0318411	0.0457046	0.0692951	0.103497	0.114864	0.137997	0.106125	0.0859544	0.0750158	0.0793278	0.101504
a44	0.00434958	0.00510392	0.0076201	0.01375	0.0236653	0.0335582	0.0458702	0.0855014	0.113416	0.151519	0.123757	0.106699	0.0893871	0.0882885	0.107515
a75	0.00306628	0.00360119	0.00503831	0.0091307	0.0160078	0.0226143	0.0321551	0.0608833	0.0873563	0.131343	0.11177	0.10538	0.103728	0.125112	0.182813
a79	0.00394207	0.00477109	0.00782377	0.0147022	0.0234924	0.0306357	0.042241	0.0680862	0.0920769	0.113411	0.0992779	0.101773	0.104163	0.129899	0.163705
a7	0.00212453	0.00257489	0.0043906	0.00918792	0.0162068	0.0208201	0.0240338	0.0491208	0.0698836	0.119405	0.108364	0.118333	0.119506	0.144738	0.191311
a4	0.00095836	0.00105241	0.00150175	0.00319975	0.00608899	0.00870426	0.0103213	0.0240236	0.0365706	0.0739659	0.0752765	0.102467	0.134539	0.200811	0.320519
a57	0.00114643	0.00130223	0.00178082	0.0036583	0.00587648	0.00785469	0.00910821	0.0184707	0.0238428	0.0455977	0.0543559	0.0921563	0.141194	0.223445	0.370211
a3	0.000678659	0.000625992	0.000820489	0.00162096	0.00249555	0.00336883	0.00373579	0.00838092	0.0131267	0.0291606	0.0439741	0.100888	0.167306	0.25389	0.369928
a97	0.0227811	0.0156082	0.016902	0.0214752	0.0252444	0.028775	0.0343359	0.044488	0.0481719	0.0616759	0.0712623	0.104207	0.128356	0.169489	0.207229
a3	0.0585889	0.0428063	0.0451457	0.0525624	0.0589754	0.0622101	0.0745937	0.0772024	0.0695753	0.0685298	0.0696373	0.0830095	0.0771879	0.0797465	0.080229
a97	0.0599233	0.048977	0.0527125	0.0624395	0.0711513	0.0761145	0.0878594	0.0875573	0.0823626	0.0707346	0.0668526	0.0730632	0.0581278	0.0537602	0.0483643
</S>	0.0519926	0.0417131	0.0436893	0.0551724	0.0651733	0.0682051	0.0667613	0.0727158	0.0706817	0.0742328	0.0725557	0.086604	0.0720254	0.0762246	0.0822527
