 	il	appuie	son	doigt	dans	la	pâte	de	manioc	</S>
a23	0.310547	0.220571	0.13171	0.0752936	0.0455348	0.0350887	0.0333913	0.0420199	0.0482015	0.0576422
a87	0.32645	0.227935	0.152359	0.0656137	0.0365072	0.0225835	0.0189715	0.0281522	0.0464586	0.0749698
a23	0.135071	0.146453	0.164779	0.0962	0.0631932	0.0464723	0.0407477	0.0531154	0.0925918	0.161376
a97	0.204788	0.20391	0.136458	0.0506701	0.0278048	0.0205606	0.0193709	0.0333359	0.0832878	0.219813
a30	0.173052	0.240386	0.167013	0.0772073	0.0486649	0.0306887	0.0228928	0.0312022	0.0627957	0.146098
a20	0.165819	0.184327	0.130211	0.0590892	0.044174	0.0352452	0.0342226	0.0518543	0.0975697	0.197488
a73	0.360469	0.295868	0.180324	0.0538279	0.0301498	0.023223	0.0166006	0.0118766	0.0115806	0.0160813
a94	0.223644	0.221155	0.212136	0.144862	0.0945531	0.0480774	0.0217203	0.0118752	0.0103284	0.0116486
a20	0.245903	0.235601	0.210745	0.130294	0.0781204	0.0412559	0.0213147	0.0126477	0.0113759	0.0127419
a73	0.149326	0.164653	0.192921	0.153131	0.113594	0.0914162	0.0553931	0.0312193	0.0246148	0.0237326
a56	0.127803	0.156256	0.194767	0.177425	0.142903	0.0958385	0.0475778	0.0255178	0.0174186	0.0144929
a61	0.0917583	0.115978	0.176234	0.178856	0.162566	0.128164	0.0653773	0.0351757	0.0246524	0.0212374
a24	0.0692003	0.0892235	0.132646	0.140963	0.169198	0.181391	0.0956921	0.0523413	0.0368611	0.0324833
a61	0.0409123	0.0547051	0.0765875	0.100784	0.167022	0.222779	0.142291	0.0834518	0.0581923	0.0532745
a75	0.0536989	0.0707597	0.0999092	0.120075	0.158155	0.194959	0.128002	0.0714993	0.0503954	0.0525466
a14	0.0624555	0.0694565	0.0930773	0.118582	0.177068	0.180956	0.0965898	0.0727559	0.0642274	0.0648318
a30	0.0240143	0.0310056	0.0532991	0.107972	0.194694	0.191943	0.12368	0.100766	0.0866896	0.0859375
a2	0.0206717	0.0258524	0.0383141	0.0819428	0.147652	0.154322	0.123733	0.120978	0.130228	0.156306
a20	0.0125188	0.0154657	0.0171244	0.0284484	0.0685561	0.110296	0.0997903	0.142381	0.216271	0.289149
a76	0.0234047	0.0259513	0.0282139	0.0433425	0.0742955	0.0908395	0.0991014	0.14281	0.216096	0.255945
a94	0.0135107	0.0159226	0.0206159	0.040223	0.0884326	0.144684	0.163972	0.167381	0.178039	0.167219
a32	0.0176431	0.0189158	0.0191407	0.0273928	0.0567529	0.121195	0.179949	0.194571	0.18527	0.17917
a98	0.0141672	0.0143784	0.0132428	0.0188385	0.0436685	0.0969955	0.178426	0.216998	0.211773	0.191513
a41	0.00897439	0.00899708	0.00899123	0.0148165	0.0372558	0.0915808	0.175114	0.216127	0.219647	0.218497
a37	0.0095457	0.0110753	0.0116475	0.0197541	0.0390312	0.0824935	0.163504	0.221755	0.224478	0.216716
a62	0.00849679	0.00954388	0.00949178	0.0157222	0.0317452	0.0599365	0.129382	0.216729	0.259018	0.259935
a24	0.00730324	0.00850945	0.00742299	0.00958314	0.0199188	0.0405004	0.0906271	0.17608	0.285138	0.354916
a32	0.00548087	0.00653739	0.0048238	0.00631398	0.0133832	0.0257971	0.0622687	0.149723	0.291341	0.43433
a90	0.00282127	0.00325418	0.00219111	0.00289346	0.0067135	0.0129461	0.0304305	0.0950132	0.261059	0.582677
a4	0.0058396	0.00638292	0.00512363	0.00785202	0.0187848	0.035937	0.0693453	0.143915	0.272725	0.434095
a13	0.00589135	0.00561398	0.00420901	0.00518722	0.0106716	0.0195539	0.0377159	0.0959401	0.251213	0.564004
a38	0.00283287	0.00290771	0.00194599	0.00192304	0.00396727	0.00788733	0.0193391	0.0837374	0.272833	0.602626
a53	0.00338455	0.00333678	0.00189219	0.00149713	0.00220172	0.00413112	0.0127583	0.0749714	0.264655	0.631171
a90	0.00505992	0.00469949	0.00251117	0.00212233	0.00318277	0.00544413	0.0138509	0.0672327	0.245111	0.650786
a4	0.00583906	0.00640668	0.00396217	0.00332288	0.00429809	0.00698835	0.0162336	0.0684838	0.241373	0.643093
a57	0.0103078	0.0094323	0.0053276	0.00414754	0.00550216	0.00860525	0.02051	0.0849637	0.259249	0.591954
a82	0.0088911	0.00696878	0.0035319	0.00233777	0.00261522	0.00415469	0.0113518	0.0644357	0.240338	0.655375
a3	0.00272847	0.00213427	0.0014141	0.00170727	0.00388157	0.0105281	0.0305684	0.110538	0.296707	0.539793
a87	0.0020383	0.00189784	0.00237098	0.00398827	0.00756721	0.0164097	0.0421502	0.144841	0.328196	0.45054
</S>	0.00676873	0.00617898	0.00835285	0.0101877	0.0112031	0.018368	0.0463699	0.152442	0.302886	0.437243
