 	cet	enfant	a	des	selles	à	l'	anus	</S>
a66	0.242003	0.229865	0.160965	0.114553	0.0752693	0.0597404	0.0497135	0.0386844	0.0292063
a87	0.367884	0.218347	0.137894	0.0927567	0.0706731	0.0438998	0.0291076	0.0229097	0.0165288
a23	0.397617	0.272393	0.168692	0.0734579	0.0248464	0.0131857	0.0158485	0.0191124	0.0148471
a87	0.35135	0.211854	0.136627	0.0775897	0.0374347	0.0249882	0.0334886	0.0562848	0.0703831
a23	0.3985	0.252163	0.149875	0.0762344	0.0325193	0.0192926	0.0213237	0.0244472	0.0256456
a83	0.314733	0.168669	0.104865	0.061202	0.0403649	0.040742	0.0612471	0.0906728	0.117504
a54	0.165864	0.117497	0.106328	0.0808389	0.0413268	0.0476866	0.0844232	0.158636	0.197399
a47	0.162819	0.152288	0.195363	0.197506	0.103463	0.0634134	0.0443124	0.0462852	0.0345501
a92	0.0848099	0.0900421	0.122705	0.139905	0.11439	0.0912547	0.0865497	0.13148	0.138863
a79	0.104608	0.114226	0.168182	0.182691	0.151237	0.0904391	0.0487534	0.0651323	0.0747323
a44	0.0795285	0.120086	0.179823	0.200356	0.16559	0.0946468	0.0403527	0.050832	0.0687841
a56	0.100624	0.119846	0.153191	0.186828	0.150918	0.0936694	0.0450266	0.0581986	0.0916989
a96	0.0857289	0.102829	0.120013	0.155459	0.152784	0.119411	0.0643436	0.0769731	0.122459
a88	0.044561	0.0578869	0.0718821	0.118027	0.148845	0.153857	0.0988656	0.112152	0.193924
a70	0.0173372	0.0184927	0.019862	0.0312304	0.060333	0.123229	0.157894	0.212739	0.358883
a83	0.0133939	0.0127207	0.0126271	0.0187894	0.0383302	0.0995524	0.167405	0.237133	0.400048
a62	0.00785139	0.00680963	0.00640332	0.00884812	0.0189227	0.0611174	0.160537	0.26841	0.4611
a88	0.00246087	0.00231998	0.00255012	0.00380532	0.00964788	0.0362706	0.162573	0.277592	0.50278
a62	0.00178677	0.00164473	0.0018896	0.00272459	0.00605756	0.0200434	0.108854	0.273557	0.583442
a47	0.0010055	0.000938438	0.00109083	0.00155464	0.00394444	0.0153311	0.102545	0.259542	0.614048
a75	0.00142217	0.00132679	0.00160318	0.00219376	0.00572804	0.0193916	0.109699	0.276807	0.581829
a85	0.000412348	0.000373921	0.000445546	0.00064322	0.00200183	0.00971771	0.0626255	0.198192	0.725588
a6	0.000419139	0.000359536	0.000414469	0.000679581	0.00249075	0.0133144	0.0731854	0.200352	0.708785
a37	0.000155808	0.000144226	0.000182799	0.000294182	0.00121254	0.00831824	0.0633487	0.195101	0.731242
a66	0.00120079	0.000977974	0.00110164	0.00161789	0.00444917	0.0184676	0.0886439	0.238036	0.645505
a9	0.049621	0.0392057	0.0352092	0.032856	0.0381844	0.0808314	0.14957	0.220578	0.353944
a97	0.149934	0.0955844	0.0629157	0.048688	0.0401505	0.0664361	0.105831	0.165851	0.26461
a87	0.30378	0.213662	0.145533	0.095648	0.0595614	0.0425804	0.0402015	0.0491147	0.0499196
a23	0.239194	0.184321	0.132092	0.0869717	0.058405	0.0453159	0.0589542	0.0868634	0.107883
a99	0.128637	0.0950919	0.0627497	0.036443	0.0295806	0.0329156	0.0959004	0.204042	0.31464
a97	0.050113	0.0412351	0.0314613	0.0229187	0.0297996	0.0451183	0.113196	0.254994	0.411164
</S>	0.020628	0.0204497	0.0176467	0.0150745	0.0241382	0.0414098	0.112801	0.271934	0.475918
