 	la	maison	qu'	il	construit	est	en	bambou	</S>
a85	0.444273	0.179147	0.0874314	0.0797282	0.0699959	0.0475583	0.0328263	0.0298165	0.0292238
a66	0.333414	0.168095	0.104106	0.080315	0.0699829	0.0594005	0.0538637	0.0620934	0.0687296
a87	0.24483	0.207658	0.133127	0.0708789	0.0512406	0.0443494	0.0566012	0.0764747	0.11484
a23	0.329405	0.247667	0.141785	0.07177	0.0492626	0.0355694	0.0359341	0.0407357	0.0478713
a18	0.341754	0.238492	0.122079	0.0641605	0.0494855	0.0387533	0.0429266	0.0473477	0.0550015
a62	0.218055	0.186526	0.118124	0.0722833	0.0611631	0.0551492	0.0720987	0.094982	0.121618
a47	0.246123	0.246165	0.193369	0.102072	0.050412	0.034233	0.0359283	0.0386057	0.0530919
a62	0.211771	0.235105	0.200035	0.113456	0.0585755	0.0390636	0.040137	0.0432892	0.0585668
a47	0.239165	0.26976	0.225155	0.112184	0.0472911	0.0260774	0.0249286	0.0238923	0.0315464
a88	0.18334	0.22112	0.223768	0.144318	0.070914	0.0385484	0.0360839	0.0361067	0.0458009
a75	0.134959	0.181873	0.226649	0.167223	0.0829805	0.0484923	0.0461264	0.0477633	0.0639332
a56	0.136766	0.167117	0.215676	0.179757	0.10127	0.0587708	0.0462517	0.0417434	0.0526482
a25	0.103008	0.113402	0.184822	0.201818	0.132501	0.0747345	0.0604409	0.0570326	0.0722419
a69	0.070645	0.0760619	0.141078	0.185627	0.153372	0.10805	0.0832044	0.0792783	0.102685
a79	0.0269268	0.0279258	0.0656785	0.13315	0.169946	0.13626	0.120004	0.138248	0.181862
a56	0.0180023	0.0177883	0.0464893	0.107512	0.153725	0.150617	0.155973	0.160024	0.189868
a96	0.0113312	0.00995065	0.0267558	0.0781813	0.141381	0.157563	0.162815	0.179206	0.232816
a62	0.00682062	0.00580772	0.0120675	0.0333216	0.089895	0.145975	0.180573	0.215677	0.309862
a96	0.00569785	0.00471295	0.00905372	0.0214442	0.0629532	0.132796	0.182148	0.237972	0.343222
a75	0.00230388	0.00190946	0.00408702	0.010147	0.0342706	0.0964495	0.173777	0.268127	0.408929
a92	0.000710958	0.000565796	0.00149935	0.00492442	0.0211916	0.0714208	0.16874	0.299788	0.431159
a21	0.000616582	0.000537462	0.00151318	0.00488625	0.0181131	0.0585542	0.145356	0.292256	0.478167
a5	0.000752215	0.000660714	0.00140567	0.00382473	0.0144773	0.0527586	0.13381	0.290063	0.502248
a43	0.000419527	0.000329943	0.000827599	0.00251922	0.00988259	0.0392087	0.118726	0.291176	0.536911
a90	0.000759722	0.000538357	0.00112432	0.00290175	0.00935965	0.0315935	0.0888814	0.275286	0.589555
a69	0.00054765	0.000367768	0.000777526	0.00216662	0.00877275	0.0348122	0.104418	0.280909	0.567228
a58	0.000411129	0.00029229	0.000599297	0.00162997	0.00618717	0.0245881	0.0820365	0.272717	0.611539
a82	0.00374285	0.00277903	0.00397815	0.00783374	0.0174537	0.0491689	0.121952	0.294234	0.498858
a87	0.0934873	0.0567618	0.0489166	0.0539923	0.0691873	0.100357	0.146075	0.193871	0.237352
a23	0.172412	0.0980394	0.0648756	0.0580388	0.069555	0.0979308	0.128734	0.153446	0.156969
a10	0.0348784	0.0193956	0.017574	0.0211162	0.040717	0.0797509	0.152823	0.284322	0.349422
a87	0.0121006	0.00689615	0.00708207	0.00933742	0.0205488	0.0518729	0.12851	0.297109	0.466543
</S>	0.00621884	0.00500392	0.00637308	0.00941845	0.021217	0.0548199	0.129209	0.299904	0.467835
