 	les	personnes	âgées	aiment	jouer	au	poker	traditionnel	</S>
a66	0.208998	0.220416	0.0957448	0.156578	0.143411	0.111276	0.0342996	0.01484	0.0144367
a87	0.358733	0.1725	0.0423787	0.0370391	0.0628664	0.0993662	0.104178	0.0611229	0.0618152
a23	0.335003	0.204767	0.0990262	0.0598693	0.0785719	0.066944	0.0524005	0.0530076	0.0504103
a26	0.283089	0.176027	0.160807	0.0634945	0.0963711	0.0619985	0.0402637	0.0510858	0.0668641
a36	0.328139	0.210146	0.132632	0.0707816	0.0706115	0.0447361	0.034258	0.0439212	0.064775
a37	0.248804	0.238136	0.182714	0.106984	0.0681131	0.042257	0.0285672	0.0350511	0.0493732
a75	0.346906	0.289171	0.155537	0.0879294	0.0536007	0.024663	0.0149893	0.0123005	0.0149028
a5	0.338603	0.242545	0.156769	0.0837778	0.0624944	0.0470166	0.0273199	0.0189764	0.0224975
a85	0.229641	0.179617	0.285207	0.112158	0.0900816	0.0550359	0.02302	0.0118137	0.0134254
a6	0.141728	0.156053	0.305667	0.14191	0.0794843	0.072916	0.0509541	0.0251046	0.0261827
a36	0.166504	0.159339	0.301361	0.154381	0.0959705	0.0615771	0.0292985	0.0150483	0.0165202
a90	0.1389	0.166686	0.274626	0.186123	0.12346	0.0606535	0.0200302	0.0133586	0.0161633
a56	0.109032	0.158088	0.275739	0.197273	0.123897	0.0657171	0.0251708	0.019179	0.0259032
a75	0.0840899	0.146815	0.238013	0.213703	0.151284	0.0868486	0.0288127	0.0211987	0.0292349
a25	0.0278968	0.0886171	0.194986	0.218523	0.140732	0.116735	0.0732956	0.0598674	0.079347
a79	0.0159417	0.0481591	0.146014	0.185338	0.133064	0.146558	0.116126	0.0920876	0.116712
a75	0.0286096	0.0692835	0.155768	0.171561	0.121318	0.145982	0.102322	0.0855715	0.119584
a5	0.0228065	0.0581555	0.119333	0.15595	0.110879	0.132415	0.093077	0.127548	0.179835
a21	0.0242606	0.0564958	0.0760765	0.14967	0.130272	0.175983	0.0995662	0.122261	0.165415
a5	0.0170383	0.0391033	0.0561845	0.111933	0.107904	0.17125	0.125896	0.164044	0.206645
a61	0.0110259	0.0228239	0.034325	0.069639	0.0841473	0.165409	0.138833	0.204265	0.269533
a21	0.0106436	0.0176726	0.0243724	0.046886	0.0614277	0.1242	0.127665	0.267143	0.319991
a12	0.00971016	0.0113809	0.0144618	0.0277335	0.0466617	0.107763	0.144167	0.32844	0.309682
a43	0.00409433	0.00481691	0.00690638	0.0120087	0.0224792	0.0545225	0.110149	0.388084	0.396939
a0	0.00362016	0.00294833	0.00373977	0.00485412	0.0103586	0.0299306	0.0673478	0.339713	0.537488
a24	0.00222194	0.00167009	0.002002	0.00265069	0.00613565	0.0201024	0.0510202	0.309016	0.605181
a25	0.00160616	0.00109421	0.00109398	0.00190037	0.00465034	0.0160193	0.0481515	0.300918	0.624567
a10	0.0162187	0.00714658	0.00369822	0.00589542	0.00904945	0.0231901	0.0967451	0.304155	0.533901
a87	0.0191503	0.0119327	0.00626649	0.00933385	0.0104081	0.0305926	0.111143	0.295131	0.506041
a23	0.131171	0.0818319	0.0622006	0.0752394	0.0644809	0.0907002	0.104008	0.165474	0.224894
a97	0.0355942	0.0165124	0.0111561	0.00855468	0.0076736	0.0203012	0.0851296	0.347421	0.467657
</S>	0.00513231	0.00436343	0.0109195	0.012329	0.0128286	0.0276675	0.0832758	0.336376	0.507108
