 	cet	homme	enroule	la	terre	pour	ériger	les	murs	de	la	maison	</S>
a23	0.158904	0.128527	0.125507	0.114189	0.077701	0.092577	0.12015	0.0511347	0.0430683	0.0324302	0.0230274	0.0178083	0.0149759
a83	0.24095	0.154464	0.0663962	0.0730227	0.0521416	0.0524473	0.0626909	0.039511	0.0440185	0.0470281	0.0523106	0.0574201	0.0575994
a13	0.221277	0.173612	0.115165	0.0928613	0.10706	0.109944	0.0703229	0.0371962	0.0244248	0.0171796	0.0115498	0.00966682	0.00974013
a54	0.3826	0.265983	0.117711	0.07791	0.050102	0.0422066	0.033336	0.0108508	0.00777264	0.00460392	0.00262303	0.00219425	0.00210705
a41	0.243318	0.222853	0.145774	0.110984	0.0742574	0.0721235	0.0555084	0.0261692	0.0181787	0.0106363	0.00653642	0.00658695	0.00707428
a27	0.19706	0.233464	0.175636	0.117227	0.0698223	0.0687994	0.0648912	0.0248134	0.0190855	0.0119613	0.00663789	0.00558321	0.00501865
a11	0.1523	0.207224	0.188287	0.124884	0.0791353	0.0653803	0.0516142	0.0287658	0.0229707	0.0192231	0.0164246	0.0193507	0.0244403
a31	0.132974	0.188833	0.206955	0.138728	0.093396	0.0790022	0.0572594	0.026941	0.0185912	0.0139084	0.0121039	0.0141233	0.0171858
a0	0.123256	0.196797	0.206183	0.152479	0.0936859	0.0813635	0.068184	0.0245927	0.0163663	0.0108567	0.0083327	0.00855458	0.00934859
a31	0.0629816	0.133859	0.221441	0.175675	0.125129	0.108736	0.0725239	0.0296281	0.0185613	0.0132877	0.0113675	0.0122663	0.0145427
a66	0.0494253	0.10211	0.19267	0.174562	0.134337	0.128909	0.0904617	0.0378788	0.0239569	0.0167097	0.0148366	0.0154352	0.0187071
a90	0.038276	0.0876225	0.167927	0.16691	0.136143	0.127579	0.0840491	0.0453654	0.0305678	0.0248989	0.0250109	0.0284506	0.0372003
a25	0.0414666	0.0720978	0.142224	0.137574	0.140562	0.158194	0.098849	0.0541866	0.0361538	0.0276275	0.0235951	0.0274555	0.0400141
a75	0.024599	0.0462284	0.104225	0.115906	0.135514	0.171269	0.118302	0.0696881	0.0527226	0.042815	0.0368704	0.0376342	0.0442246
a85	0.029859	0.0449883	0.0954656	0.102466	0.122663	0.167437	0.114815	0.0741473	0.0587787	0.0467888	0.0389839	0.0440091	0.0595979
a41	0.0255599	0.0353593	0.0712028	0.0707876	0.0831304	0.117801	0.0858953	0.0679643	0.066893	0.0692057	0.0793588	0.0972377	0.129604
a27	0.045821	0.0525437	0.0846199	0.0815214	0.115412	0.150989	0.0835692	0.068986	0.0538355	0.0495595	0.0494202	0.0618185	0.101904
a11	0.0376214	0.0417409	0.0577041	0.0658683	0.100739	0.136203	0.0834428	0.0826183	0.0694624	0.067122	0.0639764	0.0799857	0.113515
a75	0.0294239	0.0348849	0.0606618	0.0713781	0.111265	0.15141	0.0883	0.0930532	0.0694638	0.0642442	0.0602609	0.0689622	0.0966924
a96	0.0230382	0.0313661	0.067137	0.0789235	0.120633	0.154375	0.0791351	0.0791245	0.0579462	0.0533389	0.0537788	0.0709508	0.130253
a75	0.0228917	0.0307735	0.0573892	0.0738624	0.114696	0.140715	0.0746599	0.0717811	0.0533804	0.0526344	0.0599257	0.0875212	0.159769
a11	0.0365004	0.042801	0.075283	0.0872898	0.134591	0.1547	0.0724711	0.0698115	0.045933	0.0418436	0.0450112	0.0640511	0.129713
a12	0.0154723	0.0191615	0.0312535	0.0432444	0.0733241	0.0967982	0.0498172	0.0514658	0.0423436	0.04786	0.0700084	0.135225	0.324026
a98	0.0359808	0.0418374	0.058335	0.0721608	0.0943165	0.106624	0.0600326	0.0657205	0.0479355	0.0504352	0.0660148	0.10803	0.192577
a9	0.0137364	0.0183755	0.038806	0.0515163	0.0780917	0.0938376	0.0455703	0.0547361	0.0459761	0.0524911	0.0762603	0.139872	0.29073
a75	0.00647074	0.0071584	0.00944943	0.0128933	0.0209307	0.0312073	0.0191352	0.0295783	0.0339109	0.0478903	0.0858768	0.184275	0.511223
a41	0.031077	0.0315785	0.0426834	0.0551218	0.0870839	0.0908428	0.0470191	0.0539955	0.0473527	0.0550785	0.0766907	0.127371	0.254106
a37	0.0115274	0.0141672	0.0240329	0.0324085	0.0563161	0.0661565	0.0279946	0.0382242	0.0354366	0.0455095	0.0724196	0.159438	0.416369
a85	0.00282327	0.00332235	0.00653539	0.00928069	0.0174731	0.0259768	0.0117305	0.0170064	0.0202725	0.0314596	0.0618566	0.168532	0.62373
a75	0.00525993	0.00644869	0.0128326	0.0176909	0.0319037	0.0398289	0.0162762	0.027859	0.030455	0.0465781	0.0868031	0.190184	0.48788
a85	0.00358957	0.0053347	0.0127216	0.0177033	0.0327798	0.0421775	0.0166286	0.0274029	0.0309326	0.045911	0.0800748	0.182975	0.501768
a56	0.00339564	0.00504681	0.0123578	0.0167736	0.031532	0.0418551	0.0159986	0.0270091	0.0296069	0.0427501	0.0750601	0.177109	0.521505
a18	0.00165631	0.00252206	0.00607698	0.00963037	0.0189955	0.0264606	0.0109412	0.0218462	0.0268686	0.043533	0.085627	0.205181	0.540662
a47	0.000839775	0.000990379	0.00175414	0.00268145	0.00529449	0.00881977	0.00527898	0.011685	0.0177212	0.0329902	0.0715781	0.199956	0.64041
a88	0.00114975	0.00139715	0.00208555	0.00330757	0.0057871	0.00893587	0.00667145	0.0138998	0.0221473	0.0420378	0.0871781	0.227085	0.578318
a9	0.00414858	0.0041275	0.00560638	0.00731227	0.0107445	0.0148699	0.010244	0.020275	0.0307042	0.0529645	0.0979568	0.224993	0.516053
a87	0.00837833	0.00731799	0.00782354	0.0138512	0.0271388	0.0457665	0.0300267	0.053653	0.0509343	0.0587506	0.0864489	0.170673	0.439237
a23	0.0334495	0.0230815	0.0164539	0.0223336	0.0276028	0.0413907	0.0421718	0.0725085	0.0796064	0.0905222	0.114367	0.175893	0.260619
a87	0.00654401	0.00594688	0.00600969	0.00933799	0.0121127	0.0209266	0.0222826	0.0439923	0.0580477	0.0828357	0.136326	0.221259	0.374379
</S>	0.00715842	0.00772466	0.0127935	0.0187185	0.0280493	0.0451285	0.0299712	0.0508503	0.0686229	0.0887832	0.123731	0.191171	0.327297
