 	de	vous	deux	qui	se	fatigue	avant	l'	autre	</S>
a66	0.237731	0.165899	0.141797	0.119929	0.126797	0.0947732	0.0524958	0.0314407	0.0160451	0.0130917
a87	0.283685	0.182779	0.125001	0.109637	0.0885907	0.0632457	0.0469892	0.0332367	0.0311721	0.0356633
a23	0.24803	0.185492	0.11195	0.0933637	0.0882083	0.100834	0.0637476	0.0354063	0.0350897	0.0378796
a10	0.195223	0.18437	0.120189	0.105273	0.10803	0.129906	0.0596754	0.0318886	0.0316709	0.0337736
a54	0.221868	0.180059	0.12533	0.114657	0.112917	0.109366	0.048442	0.030449	0.0280352	0.0288772
a36	0.289359	0.208372	0.132612	0.0935099	0.0777003	0.0638058	0.0368939	0.0321152	0.0315983	0.034033
a12	0.167953	0.145968	0.112515	0.0907068	0.0924181	0.115122	0.0673312	0.0669078	0.0646675	0.0764116
a75	0.134349	0.141722	0.134323	0.1125	0.12109	0.145775	0.0646841	0.0497575	0.0437783	0.0520217
a47	0.0964234	0.104182	0.123865	0.114658	0.137397	0.151803	0.0775264	0.0552447	0.0577536	0.0811461
a15	0.0645975	0.0834837	0.133938	0.141041	0.170038	0.175512	0.0659044	0.0459734	0.0468462	0.0726653
a7	0.0753635	0.0980789	0.155772	0.15969	0.170281	0.159946	0.0587667	0.033653	0.0342931	0.0541561
a15	0.0501379	0.060394	0.117573	0.142527	0.170863	0.184594	0.0805286	0.0521268	0.0566015	0.0846548
a69	0.0429364	0.0583194	0.122998	0.143091	0.165682	0.164676	0.0947907	0.0550003	0.059311	0.093196
a53	0.0452774	0.0486351	0.0941697	0.113447	0.141953	0.14675	0.0887896	0.0643174	0.0906137	0.166047
a69	0.0381781	0.0333048	0.0768948	0.102254	0.149911	0.172027	0.126069	0.0816101	0.0859137	0.133839
a93	0.0179046	0.0172045	0.0448287	0.0697175	0.115653	0.146549	0.174972	0.142485	0.121064	0.149621
a4	0.0121581	0.0102266	0.0249794	0.0366695	0.0622611	0.0910798	0.156218	0.167502	0.172475	0.266431
a13	0.0118985	0.0099996	0.0233487	0.0326619	0.0494041	0.066682	0.139788	0.184518	0.202529	0.27917
a4	0.00409402	0.00313862	0.00800344	0.0120082	0.0197337	0.029081	0.080695	0.168759	0.25147	0.423018
a93	0.00325706	0.00275662	0.00707457	0.0108707	0.0158385	0.0190551	0.0549565	0.146148	0.303609	0.436434
a4	0.000959504	0.00090877	0.00261793	0.00402294	0.00647378	0.00820494	0.0287272	0.109882	0.311945	0.526258
a11	0.000690654	0.000582112	0.00156146	0.00231465	0.00343957	0.00437654	0.0162987	0.0809491	0.295243	0.594544
a56	0.000623558	0.000462845	0.0011658	0.00185441	0.00267885	0.00410945	0.0189232	0.101553	0.31357	0.555059
a44	0.000287208	0.000228058	0.000677303	0.00104785	0.00160545	0.00217518	0.0097324	0.0552709	0.258457	0.670518
a66	0.000179743	0.000139565	0.000435068	0.00070575	0.00114188	0.00160286	0.00754188	0.0436143	0.229887	0.714752
a3	0.00163747	0.00104778	0.00200102	0.00323441	0.0048343	0.00827565	0.0374987	0.12482	0.309715	0.506935
a97	0.0465393	0.0290377	0.0255468	0.0259201	0.0258409	0.0281067	0.05905	0.106592	0.244597	0.40877
a87	0.13132	0.0913396	0.0633029	0.0550013	0.0502203	0.0450891	0.0640401	0.0906758	0.170517	0.238494
a23	0.0857693	0.0661805	0.060891	0.0623093	0.0619802	0.0554253	0.0738979	0.117359	0.200699	0.215488
a87	0.0442513	0.0242981	0.0156611	0.0137313	0.0120831	0.0115325	0.0330575	0.0843749	0.269718	0.491292
a97	0.011053	0.0103408	0.0108796	0.0121841	0.0121931	0.0137641	0.0387356	0.0777651	0.25267	0.560414
</S>	0.0313381	0.0285686	0.0310801	0.0336846	0.0399311	0.0449876	0.0645686	0.0861593	0.20796	0.431722
