 	je	lui	ai	avancé	l'	argent	du	voyage	</S>
a23	0.406083	0.158226	0.109863	0.06427	0.0601394	0.0450937	0.0369415	0.0522172	0.0671663
a38	0.356264	0.180741	0.157522	0.089842	0.0492244	0.0313552	0.0301347	0.0466557	0.0582607
a24	0.446676	0.259666	0.169765	0.0405725	0.0185281	0.011759	0.0110112	0.0178388	0.0241831
a96	0.513334	0.296405	0.142683	0.0242408	0.00981621	0.004193	0.00271206	0.00297892	0.00363715
a94	0.35243	0.291521	0.218077	0.0747951	0.0282811	0.0128107	0.00732604	0.00683101	0.00792818
a12	0.223094	0.241286	0.244901	0.134888	0.0593311	0.0310972	0.0196516	0.0194402	0.0263102
a66	0.230175	0.244343	0.241994	0.145431	0.0594193	0.0284938	0.0162834	0.0150605	0.0188009
a54	0.126531	0.178463	0.23577	0.171727	0.0880025	0.0540811	0.0410774	0.0447767	0.0595713
a73	0.0777768	0.131441	0.191493	0.184809	0.107538	0.0766415	0.0605382	0.0660549	0.103707
a44	0.077204	0.120016	0.176917	0.195872	0.125391	0.085065	0.0645976	0.063364	0.0915744
a54	0.053272	0.0945452	0.177089	0.222299	0.119673	0.0828073	0.0653653	0.07121	0.11374
a73	0.048929	0.0796899	0.11987	0.177166	0.133437	0.106798	0.0854813	0.09757	0.151059
a58	0.0491153	0.0685394	0.100382	0.17009	0.16361	0.1265	0.0924385	0.0975962	0.131729
a84	0.0209355	0.0357492	0.0730608	0.160818	0.131549	0.113644	0.113122	0.139556	0.211566
a54	0.0145917	0.0257502	0.0524948	0.10716	0.101124	0.107997	0.128407	0.19183	0.270646
a73	0.0298318	0.0380087	0.0606869	0.128279	0.124834	0.127296	0.126444	0.139363	0.225255
a15	0.0440714	0.0510528	0.0583128	0.110509	0.145652	0.145155	0.131876	0.138238	0.175133
a73	0.046011	0.0507322	0.0531258	0.0989362	0.154145	0.167798	0.135515	0.122822	0.170915
a94	0.0574034	0.0577679	0.0576471	0.0930127	0.140691	0.154158	0.137711	0.131816	0.169793
a57	0.0546362	0.064937	0.0761697	0.128443	0.143163	0.147922	0.137086	0.112887	0.134755
a20	0.0218034	0.0253407	0.0346792	0.0727992	0.115224	0.157533	0.188159	0.16958	0.214881
a44	0.0705829	0.0653651	0.0627445	0.0703981	0.102613	0.128479	0.138765	0.152568	0.208485
a53	0.0275495	0.0361199	0.0495194	0.0803442	0.115098	0.149735	0.176686	0.165302	0.199646
a15	0.0470058	0.0555399	0.0663161	0.0914835	0.129804	0.158908	0.16277	0.134603	0.153569
a20	0.0425216	0.0506324	0.0598235	0.0746181	0.0986128	0.129638	0.155115	0.170095	0.218943
a58	0.0609508	0.0734708	0.0807255	0.0732531	0.0915331	0.111663	0.128818	0.157128	0.222458
a38	0.022983	0.0297951	0.0396789	0.0433682	0.0570479	0.0996158	0.153339	0.219765	0.334407
a11	0.0260021	0.025796	0.0304443	0.0346003	0.0527329	0.0949885	0.153925	0.226671	0.35484
a75	0.0200953	0.0180184	0.0210852	0.0301414	0.0532899	0.101032	0.169426	0.238191	0.348721
a25	0.0211178	0.0214914	0.0209649	0.0249351	0.0446833	0.0770166	0.13707	0.259503	0.393217
a90	0.015689	0.019101	0.021543	0.0254068	0.0417939	0.0772295	0.141194	0.270332	0.38771
a4	0.0157251	0.0211606	0.0278912	0.0335207	0.0504804	0.089337	0.146369	0.251051	0.364464
a90	0.0131088	0.0124651	0.0162064	0.0264706	0.042611	0.0761852	0.141838	0.267221	0.403894
a75	0.0108072	0.0111311	0.014435	0.0228513	0.0408841	0.0726143	0.141714	0.271772	0.413791
a44	0.018367	0.0167429	0.0209955	0.0331553	0.0518145	0.0788788	0.137015	0.255817	0.387214
a54	0.0162017	0.0155704	0.0198555	0.0284941	0.0425511	0.0707696	0.129206	0.247696	0.429655
a73	0.0150686	0.0133729	0.0158647	0.0214891	0.0362736	0.0636675	0.126699	0.259522	0.448043
a53	0.0211289	0.0186534	0.0192062	0.0199005	0.0358707	0.0652055	0.132612	0.258133	0.429291
a57	0.0118264	0.0107457	0.0145166	0.0241695	0.0374384	0.0660909	0.138239	0.273671	0.423303
a53	0.00384463	0.00409102	0.00614622	0.0107703	0.018052	0.0401475	0.0945627	0.263662	0.558724
a90	0.00754002	0.00620481	0.00838698	0.0142704	0.0236672	0.0506946	0.114871	0.273753	0.500611
a11	0.00777439	0.00698938	0.00948372	0.0174089	0.0336895	0.0648295	0.132279	0.264871	0.462675
a90	0.00919456	0.00791779	0.010576	0.0188571	0.0313587	0.0581538	0.105213	0.246353	0.512376
a4	0.011972	0.0110579	0.0150563	0.0294776	0.0512643	0.0856891	0.14995	0.249704	0.39583
a57	0.0136027	0.0106403	0.013437	0.0253346	0.0413883	0.0724606	0.13017	0.242363	0.450604
a82	0.00940539	0.0072646	0.00791688	0.0119741	0.0191401	0.0373747	0.0723683	0.245023	0.589533
a87	0.0118358	0.00850658	0.00764996	0.00736271	0.00971319	0.021645	0.0569582	0.240417	0.635912
</S>	0.0474658	0.0421679	0.0334225	0.0273958	0.0341481	0.0476878	0.0821209	0.219809	0.465782
