 	je	suis	dans	la	joie	parce	que	je	me	suis	fait	baptiser	</S>
a66	0.163134	0.103425	0.0918614	0.0821779	0.0804289	0.0799663	0.0754773	0.0823244	0.0797851	0.0705422	0.050701	0.0264767	0.0136999
a87	0.294576	0.174874	0.117059	0.0752845	0.0501123	0.0498387	0.0441428	0.044764	0.0489322	0.0461112	0.0319055	0.0147822	0.00761718
a23	0.310575	0.237638	0.163932	0.0924343	0.0499834	0.0451283	0.0331653	0.0241666	0.0171637	0.011207	0.00641593	0.00402752	0.00416316
a18	0.247262	0.165337	0.120632	0.0894243	0.0637253	0.063353	0.049108	0.0402948	0.0381882	0.0348437	0.0333734	0.0305251	0.0239335
a83	0.165918	0.096486	0.0777713	0.0679215	0.099701	0.0927633	0.0735128	0.0552084	0.0513831	0.0419357	0.0413157	0.0631442	0.072939
a71	0.162707	0.0902531	0.077851	0.0817506	0.112319	0.114196	0.0916719	0.0646838	0.0567929	0.0464982	0.0357779	0.032672	0.0328267
a83	0.10082	0.0830792	0.100777	0.116494	0.127975	0.117792	0.0949798	0.0640601	0.0611671	0.050513	0.0323566	0.0253567	0.024628
a94	0.0379098	0.0490164	0.0924245	0.137148	0.146426	0.137687	0.115079	0.0816611	0.0725623	0.0504192	0.0324473	0.024593	0.0226276
a98	0.0280108	0.0461989	0.0931718	0.147908	0.150554	0.153836	0.121377	0.0842355	0.0670199	0.042231	0.0278947	0.0205519	0.0170104
a18	0.0290482	0.0504895	0.0994716	0.146984	0.138598	0.148869	0.128834	0.0866208	0.0670098	0.0434595	0.0265747	0.0199603	0.0140816
a98	0.0223039	0.0252265	0.0506798	0.0867561	0.145493	0.17046	0.147457	0.107303	0.0781961	0.0532239	0.0393001	0.0385481	0.0350521
a24	0.0228759	0.0297873	0.0654066	0.111754	0.134708	0.166485	0.15561	0.111937	0.0775784	0.0496623	0.0303094	0.025774	0.018112
a71	0.00760924	0.00812149	0.0200248	0.0436203	0.103701	0.169153	0.175932	0.165712	0.111008	0.0720397	0.0465063	0.040664	0.0359085
a50	0.0110031	0.00871731	0.0199644	0.040794	0.102439	0.159752	0.173044	0.154699	0.108019	0.0768596	0.0493605	0.0487054	0.0466434
a99	0.0109221	0.00848803	0.0150122	0.0270154	0.0662872	0.116167	0.139811	0.153828	0.121355	0.0985224	0.0787215	0.086436	0.0774341
a50	0.0110549	0.00674912	0.0122215	0.0222412	0.052858	0.107674	0.140286	0.161637	0.130477	0.105425	0.0879833	0.0876326	0.0737619
a83	0.0079846	0.0054731	0.00860151	0.0138161	0.0303229	0.0644172	0.0919991	0.126492	0.11983	0.105087	0.106791	0.168786	0.150399
a99	0.0066228	0.00437063	0.00681864	0.0115191	0.0235711	0.0519393	0.0776648	0.111523	0.120011	0.111888	0.124098	0.208017	0.141956
a18	0.00563825	0.00325278	0.00476901	0.00683108	0.0124795	0.0273625	0.0460908	0.0757278	0.0918215	0.0974549	0.121119	0.275676	0.231777
a57	0.00263568	0.00155294	0.00213411	0.00274063	0.00427789	0.00909264	0.0187306	0.0433171	0.0633599	0.0729918	0.124136	0.32116	0.333871
a13	0.00512437	0.00287917	0.00332498	0.00350553	0.00375184	0.00597166	0.011984	0.0310141	0.0575726	0.0709018	0.154806	0.305037	0.344127
a53	0.00196415	0.00122015	0.00144585	0.00167049	0.00193279	0.00313059	0.00624484	0.016912	0.0306194	0.0390385	0.122992	0.325573	0.447257
a44	0.00136368	0.000811529	0.000954448	0.00117932	0.00138988	0.00247503	0.00514683	0.0143611	0.0268643	0.0347607	0.117587	0.370397	0.422709
a70	0.00106679	0.000638398	0.000801265	0.00103798	0.00144606	0.00288942	0.00584885	0.0155341	0.0269109	0.0352488	0.128528	0.328978	0.451072
a99	0.000856332	0.000513806	0.000664031	0.000851184	0.00140159	0.00290443	0.00589387	0.014316	0.0226264	0.0297097	0.102714	0.297244	0.520305
a11	0.00117963	0.000749819	0.000941303	0.00114929	0.00160606	0.00256464	0.00476134	0.010841	0.0193358	0.0246464	0.0956601	0.256264	0.580301
a44	0.00184275	0.00115205	0.00136768	0.00158555	0.00200275	0.00279678	0.0047854	0.00930046	0.0163043	0.021295	0.08865	0.241619	0.607298
a13	0.00131746	0.000842231	0.00108303	0.00131395	0.00177575	0.00285742	0.00495619	0.00969344	0.0172033	0.0216796	0.0878704	0.23747	0.611937
a83	0.00163265	0.000926017	0.0010765	0.001218	0.00177223	0.00283987	0.00485504	0.00923759	0.0152991	0.0194038	0.0770715	0.247747	0.616921
a9	0.00266225	0.00141258	0.00152619	0.00164876	0.00216072	0.00336012	0.00586545	0.0112994	0.0200044	0.0257345	0.0917514	0.237	0.595574
a87	0.0124604	0.00683425	0.00605921	0.0055153	0.00527508	0.00654653	0.00969647	0.0165293	0.0262771	0.0329138	0.0960445	0.244062	0.531787
a23	0.165777	0.124679	0.0999666	0.0716014	0.0293358	0.0272618	0.0309113	0.0388844	0.0534112	0.052547	0.0909655	0.104085	0.110574
a87	0.118045	0.0758434	0.0557179	0.0461871	0.020704	0.0300304	0.0416371	0.0621012	0.0884337	0.0881238	0.143855	0.117548	0.111774
a23	0.11264	0.0984309	0.0931368	0.0786789	0.0224202	0.0327544	0.0422113	0.0626819	0.089828	0.0822826	0.111743	0.0941273	0.0790646
a87	0.107985	0.0874223	0.0784132	0.0692566	0.0266878	0.0391315	0.0470371	0.074906	0.107911	0.10156	0.120559	0.0780711	0.06106
</S>	0.0810267	0.0787909	0.074853	0.0648799	0.0229458	0.0397651	0.0500042	0.077083	0.115796	0.115452	0.119601	0.0875236	0.0722788
