 	ngala	cuit	le	safou	</S>
a66	0.398102	0.251645	0.189424	0.089352	0.0714774
a87	0.309768	0.264929	0.235483	0.103072	0.086748
a23	0.636231	0.179264	0.0970917	0.0431042	0.0443096
a13	0.596017	0.165047	0.0945989	0.0605428	0.083794
a54	0.398881	0.154293	0.110664	0.129777	0.206385
a6	0.287304	0.258121	0.178325	0.145065	0.131185
a47	0.192634	0.290108	0.252371	0.1644	0.100487
a36	0.215947	0.297783	0.234757	0.154221	0.0972918
a85	0.180287	0.224163	0.181124	0.196054	0.218373
a6	0.18903	0.276013	0.216027	0.168546	0.150383
a85	0.206213	0.224592	0.148253	0.151277	0.269665
a5	0.0937607	0.187508	0.215321	0.234579	0.268832
a41	0.181764	0.233035	0.187171	0.164985	0.233045
a75	0.0764788	0.143597	0.224407	0.274282	0.281235
a47	0.0446658	0.0963812	0.196694	0.288009	0.37425
a36	0.0196811	0.0499396	0.134879	0.29016	0.50534
a2	0.0240109	0.0300506	0.0463908	0.19726	0.702288
a57	0.0783788	0.0635353	0.0651643	0.2097	0.583221
a87	0.0881373	0.0792621	0.10812	0.260696	0.463785
a85	0.116872	0.138155	0.191124	0.242666	0.311183
a87	0.0399706	0.0606805	0.156201	0.288833	0.454315
a23	0.00600326	0.014566	0.0571158	0.249618	0.672697
a87	0.0450204	0.06816	0.147345	0.296756	0.442718
a97	0.0122524	0.0226881	0.0796868	0.312571	0.572801
</S>	0.0858833	0.098321	0.196577	0.299211	0.320007
