 	ce	bois	brûle	lentement	</S>
a23	0.332439	0.130174	0.0545202	0.121994	0.360872
a87	0.463028	0.220253	0.119955	0.0902864	0.106477
a23	0.458018	0.231531	0.122431	0.0884971	0.0995228
a20	0.267412	0.152986	0.0861239	0.154104	0.339374
a94	0.42053	0.217242	0.146171	0.124869	0.0911879
a98	0.431934	0.328594	0.176709	0.0415085	0.0212542
a24	0.354022	0.330354	0.229767	0.0572681	0.0285889
a41	0.262142	0.296777	0.307356	0.098238	0.0354868
a27	0.317976	0.288899	0.269581	0.0804798	0.0430644
a25	0.22663	0.247109	0.278146	0.140635	0.10748
a87	0.242616	0.250069	0.252704	0.133551	0.12106
a23	0.17208	0.187293	0.229029	0.232861	0.178736
a24	0.184222	0.20897	0.254332	0.204405	0.148071
a41	0.155056	0.194535	0.26268	0.22268	0.165049
a61	0.125798	0.150586	0.294395	0.230419	0.198802
a35	0.124356	0.143502	0.244529	0.266677	0.220936
a90	0.11759	0.115489	0.202122	0.291377	0.273422
a94	0.0826293	0.0935062	0.19636	0.319602	0.307903
a76	0.0604862	0.0499534	0.078942	0.276623	0.533995
a73	0.0568856	0.0497287	0.0838168	0.278021	0.531548
a2	0.0284824	0.0252113	0.0489304	0.252632	0.644744
a4	0.0328368	0.0290674	0.055013	0.23264	0.650442
a90	0.0311869	0.028218	0.0455781	0.179399	0.715618
a82	0.0178467	0.0134168	0.0204174	0.114503	0.833816
a38	0.0156468	0.010051	0.016231	0.0937499	0.864321
a90	0.0272314	0.0162012	0.0257225	0.136481	0.794364
a38	0.0217014	0.0136711	0.0203464	0.0951691	0.849112
a11	0.0208794	0.0121076	0.0188129	0.0838902	0.86431
a24	0.021022	0.0121329	0.0171375	0.0856084	0.864099
a9	0.0221166	0.0127332	0.0195449	0.0789953	0.86661
a99	0.021838	0.0149028	0.0210869	0.0883942	0.853778
a87	0.017425	0.00978152	0.0159123	0.0844822	0.872399
</S>	0.0110132	0.00638968	0.0115129	0.0609066	0.910178
