 	c'	est	une	tête	brûlée	</S>
a23	0.604567	0.202573	0.0769841	0.0503592	0.0370686	0.0284486
a30	0.487787	0.215884	0.104021	0.0730993	0.0590103	0.0601984
a53	0.30633	0.225006	0.142748	0.100817	0.0954393	0.129659
a54	0.471164	0.233996	0.099907	0.0648873	0.0654804	0.0645658
a37	0.319763	0.275867	0.192242	0.099947	0.070084	0.0420974
a61	0.291752	0.260475	0.214165	0.108383	0.0736016	0.0516229
a62	0.265815	0.254859	0.23125	0.126192	0.0719067	0.0499776
a66	0.158647	0.178808	0.218406	0.198917	0.142673	0.102548
a11	0.100082	0.121276	0.175428	0.21597	0.205644	0.1816
a93	0.0618359	0.0711415	0.119762	0.189093	0.273412	0.284756
a13	0.0397666	0.0529335	0.11287	0.203022	0.282356	0.309051
a9	0.0211607	0.0246607	0.0524485	0.13648	0.298654	0.466597
a99	0.00858565	0.00821444	0.016127	0.0562878	0.269182	0.641603
a87	0.0476644	0.0300374	0.0300805	0.0583441	0.208819	0.625055
a97	0.243023	0.152215	0.090057	0.0942442	0.161976	0.258485
a87	0.145547	0.11691	0.110856	0.147117	0.210754	0.268817
a10	0.182461	0.142075	0.129927	0.146928	0.182779	0.21583
a87	0.117738	0.106594	0.116557	0.151694	0.220427	0.286989
a23	0.113403	0.0976924	0.104176	0.14648	0.224867	0.313382
a87	0.0411142	0.0477837	0.0698905	0.143008	0.288084	0.410119
</S>	0.0461897	0.0461426	0.0630283	0.130457	0.265113	0.44907
