 	reste	auprès	de	la	maison	</S>
a10	0.441902	0.200502	0.0848325	0.0840106	0.0898425	0.0989109
a87	0.36717	0.122859	0.132553	0.137725	0.123882	0.11581
a23	0.42603	0.095387	0.0982582	0.113212	0.129022	0.138091
a3	0.495318	0.107105	0.101232	0.0889196	0.0915991	0.115826
a38	0.309504	0.151164	0.142579	0.124121	0.121486	0.151146
a75	0.477029	0.25221	0.0999504	0.0651857	0.0546203	0.0510045
a44	0.591812	0.28187	0.0579692	0.0301583	0.0217366	0.0164545
a98	0.441423	0.332582	0.0923159	0.0583122	0.0414327	0.0339344
a73	0.325333	0.368977	0.125938	0.0825129	0.0532217	0.0440167
a44	0.305642	0.350167	0.140889	0.0944223	0.0591857	0.0496932
a84	0.18452	0.312735	0.192845	0.144984	0.0908429	0.0740736
a75	0.067526	0.204643	0.236975	0.237537	0.146749	0.10657
a56	0.0643216	0.19234	0.214833	0.208085	0.166433	0.153987
a75	0.0401624	0.107791	0.190278	0.254797	0.230754	0.176218
a73	0.0326831	0.0811895	0.147194	0.253606	0.258435	0.226893
a54	0.0212035	0.0499554	0.107028	0.239619	0.292275	0.289919
a73	0.0306666	0.0681429	0.101385	0.186981	0.277364	0.335461
a44	0.0120456	0.0316432	0.0677766	0.152799	0.289235	0.4465
a38	0.00739041	0.0176724	0.0457456	0.127843	0.292688	0.508661
a75	0.00843774	0.0113292	0.0278244	0.078738	0.249174	0.624496
a93	0.0265738	0.0294589	0.05123	0.107418	0.26539	0.519929
a94	0.00851189	0.0135215	0.0368472	0.0850223	0.224841	0.631256
a25	0.00923896	0.00898858	0.0241119	0.056803	0.179351	0.721507
a87	0.00269935	0.00457088	0.0185892	0.0629082	0.208924	0.702308
</S>	0.00374931	0.00444013	0.0176592	0.0618577	0.24211	0.670184
