 	cette	chenille	s'	est	engraissée	</S>
a66	0.390301	0.229689	0.146797	0.0998888	0.0727425	0.0605813
a87	0.33426	0.27024	0.171457	0.0989538	0.0575363	0.0675523
a97	0.392542	0.300205	0.155514	0.0515208	0.0466001	0.0536172
a87	0.334359	0.294832	0.183698	0.0630723	0.0639188	0.0601194
a97	0.296468	0.274486	0.188539	0.0798958	0.0860671	0.0745446
a87	0.281286	0.282624	0.17395	0.0866619	0.0915879	0.0838905
a97	0.266831	0.270129	0.169519	0.0947928	0.106395	0.0923324
a87	0.308901	0.309278	0.164658	0.0775334	0.0794672	0.0601616
a97	0.282442	0.286637	0.166019	0.0896058	0.0985921	0.0767042
a30	0.339351	0.324044	0.161489	0.0729094	0.0565316	0.0456756
a4	0.362909	0.303137	0.148713	0.0649817	0.0649641	0.0552951
a70	0.363949	0.343796	0.188938	0.0587676	0.0159132	0.0286358
a94	0.250403	0.324267	0.260927	0.10113	0.0234017	0.0398708
a93	0.195493	0.288362	0.269141	0.134576	0.0409993	0.0714287
a90	0.135078	0.249487	0.287102	0.168361	0.0641189	0.0958532
a79	0.146649	0.258984	0.279269	0.161696	0.068304	0.0850975
a90	0.104782	0.180959	0.223351	0.201097	0.140769	0.149041
a69	0.100524	0.176873	0.238831	0.213804	0.137368	0.132601
a56	0.0681709	0.103024	0.177917	0.224474	0.222003	0.204411
a34	0.042197	0.0736676	0.151341	0.235913	0.249541	0.24734
a92	0.0199106	0.0347712	0.0993949	0.203667	0.287037	0.355219
a79	0.00848064	0.0158484	0.0433524	0.155755	0.2884	0.488163
a7	0.00541864	0.0103741	0.0332283	0.145039	0.321024	0.484916
a90	0.00106382	0.00153018	0.00514875	0.0321859	0.195546	0.764525
a56	0.0013208	0.00176878	0.00594519	0.0455108	0.261243	0.684211
a96	0.000333294	0.000421504	0.00144294	0.0151972	0.163816	0.818789
a70	0.000256155	0.000261306	0.000776232	0.00916776	0.195499	0.794039
a71	0.000296589	0.000298118	0.000863353	0.00850645	0.303848	0.686187
a9	0.00853881	0.00531144	0.00651373	0.0296928	0.476052	0.473892
a3	0.0492146	0.0313826	0.0254277	0.0461999	0.416337	0.431439
a97	0.0582344	0.0425784	0.0403186	0.061607	0.348786	0.448476
a82	0.0474821	0.0370045	0.0430539	0.0700542	0.332418	0.469987
a97	0.0334199	0.0339069	0.0465364	0.0894417	0.274154	0.522541
a10	0.0337998	0.0409812	0.0508728	0.0957751	0.231167	0.547404
a26	0.0388024	0.0446932	0.0515698	0.0886649	0.187963	0.588307
</S>	0.0397982	0.0459066	0.0502382	0.0781783	0.167901	0.617978
