 	le	poisson	fumé	que	tu	m'	as	donné	est	déjà	rongé	par	les	insectes	</S>
a66	0.121083	0.0881822	0.0794611	0.0521067	0.0582272	0.0753353	0.0981159	0.121652	0.119794	0.09723	0.0441465	0.0175422	0.0109956	0.00829115	0.00783678
a87	0.234137	0.103982	0.0450272	0.0318937	0.0387256	0.0562489	0.0899826	0.0921456	0.0835485	0.0616786	0.0440274	0.0298008	0.0269517	0.0319366	0.0299139
a97	0.137254	0.0628117	0.0484748	0.0412405	0.0489421	0.0718367	0.0838358	0.078907	0.0839759	0.0893895	0.0814179	0.044875	0.0379217	0.0440625	0.0450548
a3	0.0880651	0.0391292	0.0385251	0.0403922	0.0699235	0.121805	0.118266	0.0932914	0.0808593	0.076286	0.0615664	0.0453898	0.0408727	0.0423687	0.0432596
a79	0.0943858	0.0362731	0.0412707	0.0473257	0.0761198	0.106484	0.107348	0.0858985	0.0779382	0.0787895	0.0662354	0.0518596	0.0449136	0.0435968	0.0415608
a90	0.183686	0.0802469	0.0698824	0.0369088	0.0353265	0.0375559	0.044083	0.0499985	0.0418503	0.045215	0.0611132	0.0640883	0.0777781	0.0924344	0.0798323
a69	0.241331	0.171885	0.167542	0.0862978	0.0647001	0.043017	0.0421593	0.0381923	0.026908	0.0232481	0.0233475	0.0193994	0.0184874	0.0183632	0.0151217
a40	0.109399	0.107622	0.143244	0.127228	0.11927	0.0882521	0.0802371	0.0550548	0.0348919	0.0270752	0.0206846	0.0195727	0.0205781	0.0222008	0.0246898
a98	0.0913312	0.109353	0.134372	0.131341	0.118087	0.088802	0.0885994	0.0644379	0.0436099	0.0322103	0.019756	0.0165034	0.0164358	0.0196088	0.0255524
a92	0.0421562	0.0743965	0.11813	0.139311	0.132552	0.104162	0.111956	0.0885852	0.0588791	0.0369457	0.020625	0.0150611	0.0137527	0.0185632	0.0249243
a79	0.0600131	0.07517	0.0945845	0.12216	0.129644	0.114469	0.118247	0.0835715	0.0622017	0.0403041	0.0238431	0.0156633	0.0143379	0.0190918	0.0266985
a37	0.0385298	0.055809	0.0850657	0.125421	0.14232	0.134244	0.134843	0.101364	0.0716357	0.0419428	0.0196545	0.0115063	0.0101725	0.0120761	0.0154152
a56	0.0360171	0.0448588	0.0656878	0.114753	0.151029	0.166858	0.14491	0.0969837	0.0619153	0.0338135	0.0161991	0.0117285	0.0123477	0.0180546	0.0248447
a75	0.0283443	0.0345122	0.0464658	0.0826073	0.120778	0.152902	0.142492	0.105523	0.0833845	0.0552443	0.0328429	0.0219582	0.0216448	0.0297098	0.0415913
a25	0.00765928	0.0107991	0.0217144	0.0542878	0.094666	0.140094	0.138102	0.114232	0.100069	0.0728513	0.0555165	0.0409222	0.0388372	0.04702	0.0632289
a69	0.00362793	0.0063753	0.0174991	0.0419861	0.0660262	0.095611	0.107203	0.120171	0.125671	0.105595	0.0811644	0.0552648	0.0490761	0.0532737	0.0714557
a75	0.00610287	0.00772585	0.0129893	0.0326853	0.0559214	0.0928056	0.100281	0.0970167	0.0975412	0.0788906	0.0598137	0.0490718	0.0617851	0.101462	0.145908
a92	0.0044499	0.0065305	0.014172	0.0285813	0.0414216	0.0691972	0.078339	0.0866556	0.101615	0.0968947	0.0852226	0.0777175	0.0787383	0.0932934	0.137172
a56	0.00410493	0.00563152	0.0122189	0.0237179	0.0328227	0.0544352	0.0616952	0.0768673	0.0982026	0.104327	0.108695	0.0882701	0.0812452	0.0997147	0.148052
a75	0.00324659	0.00405578	0.00800057	0.0174664	0.0263446	0.0447155	0.0514764	0.0648176	0.0889687	0.0989242	0.125318	0.107841	0.0922481	0.110226	0.156351
a85	0.00167024	0.00252831	0.00620226	0.0153546	0.0212996	0.0302652	0.0330175	0.0459489	0.074565	0.0915688	0.119382	0.11945	0.113776	0.136577	0.188395
a47	0.000902781	0.00151763	0.00450285	0.0139629	0.0200704	0.0295826	0.0310115	0.0408732	0.0614785	0.076378	0.103393	0.119883	0.123283	0.147484	0.225677
a36	0.00106757	0.00168005	0.00355888	0.0127574	0.0206929	0.0309858	0.0295995	0.0357486	0.0523112	0.0672551	0.091058	0.107319	0.12064	0.162038	0.263288
a26	0.00312043	0.00372106	0.00490882	0.0091974	0.0118537	0.0164731	0.017341	0.0201559	0.027995	0.030649	0.0437518	0.0679156	0.111844	0.24835	0.382723
a57	0.0239397	0.0288129	0.0279592	0.0403447	0.0381207	0.0372773	0.0352147	0.0351435	0.0461779	0.0478345	0.0572776	0.0784559	0.109328	0.172346	0.221768
a3	0.0229482	0.0129483	0.0086196	0.0123459	0.0159682	0.0245477	0.0359897	0.0462474	0.0723363	0.0955206	0.0984	0.0895307	0.110159	0.162831	0.191607
a83	0.0458412	0.0197309	0.00943475	0.0130175	0.018741	0.0394552	0.0579196	0.070076	0.0920276	0.108685	0.111969	0.0882043	0.0823486	0.104258	0.138291
a99	0.00812624	0.00468069	0.00336905	0.00528522	0.00855941	0.0191168	0.0406997	0.0503875	0.0764809	0.0971296	0.136902	0.147237	0.145007	0.13208	0.124939
a30	0.00704191	0.00506892	0.00423878	0.0074292	0.0112777	0.0219044	0.0391205	0.0428925	0.0592714	0.0730558	0.103864	0.138795	0.167255	0.157129	0.161655
a93	0.00708019	0.00398211	0.004785	0.00908689	0.0132047	0.0244676	0.0390033	0.04195	0.0558767	0.0686109	0.0923422	0.122565	0.154297	0.168071	0.194677
a62	0.00188646	0.00166767	0.0014077	0.00207116	0.00306299	0.00492837	0.00958837	0.0139781	0.0239439	0.0330686	0.0674259	0.128605	0.203688	0.270063	0.234615
a21	0.00451819	0.00478336	0.00361248	0.00427955	0.00620746	0.0107135	0.0178944	0.0253057	0.038687	0.0502757	0.0748999	0.109239	0.15768	0.232254	0.25965
a12	0.0012633	0.0015074	0.00148211	0.00207802	0.00345122	0.0068775	0.011385	0.0167927	0.0300068	0.0482818	0.0834545	0.122373	0.171563	0.227228	0.272256
a62	0.00184882	0.001961	0.002031	0.00213676	0.00265108	0.00478497	0.00836783	0.0145914	0.0308575	0.0537966	0.0985582	0.137272	0.184106	0.227706	0.229331
a88	0.00120006	0.00127293	0.00140798	0.00176108	0.00236854	0.00460362	0.00769908	0.0131116	0.0286673	0.0527487	0.1007	0.142401	0.19374	0.226909	0.22141
a75	0.000575081	0.000553427	0.000680912	0.00101891	0.00140741	0.00275228	0.0044843	0.00765863	0.0167707	0.0318923	0.0684218	0.116135	0.191146	0.271615	0.284889
a92	0.000152743	0.000193372	0.000378322	0.000790439	0.00120563	0.00226813	0.00270123	0.00357616	0.00749675	0.0147359	0.037592	0.0921189	0.172114	0.294467	0.37021
a6	0.000146044	0.000201952	0.000400416	0.000808785	0.00111002	0.00200571	0.00233262	0.00305923	0.00660177	0.0127787	0.0353623	0.093411	0.163207	0.271033	0.407541
a37	0.00016244	0.000222023	0.000448935	0.000881683	0.00115007	0.00199392	0.00242069	0.00332253	0.0072052	0.013123	0.0341966	0.0813618	0.137845	0.275674	0.439992
a56	0.000149408	0.000186817	0.000356144	0.000686826	0.000822941	0.00127806	0.00154872	0.0021978	0.004577	0.00806431	0.021542	0.0569604	0.114634	0.302855	0.484141
a92	0.000319113	0.000384025	0.000679651	0.00124564	0.00136265	0.00182795	0.00230617	0.00317435	0.00668522	0.0118846	0.0309212	0.0707233	0.126356	0.287628	0.454502
a56	0.000154793	0.000195678	0.00034393	0.000891787	0.00103605	0.00132368	0.00150975	0.00199932	0.0037892	0.00613736	0.0172432	0.0450417	0.106518	0.308936	0.504879
a75	0.000121776	0.000143559	0.00025032	0.00062272	0.000745995	0.00101783	0.00124938	0.00173128	0.00357417	0.00669006	0.0190634	0.0485839	0.109729	0.291088	0.515389
a47	9.80992e-05	0.000156242	0.000243901	0.000776492	0.000999084	0.00140158	0.00144559	0.00173666	0.00323704	0.00532084	0.0155664	0.0415631	0.0989543	0.274281	0.554219
a37	0.000253323	0.000322112	0.000349704	0.00086053	0.00106119	0.0016487	0.00192979	0.00217897	0.00406328	0.00653857	0.0208481	0.0549754	0.122083	0.286466	0.496422
a44	0.0019642	0.00222972	0.00153522	0.00257344	0.00308436	0.00421509	0.00561222	0.0068546	0.00977008	0.0120545	0.0274386	0.0627829	0.136043	0.260439	0.463402
a26	0.0031673	0.00349816	0.0023763	0.00422448	0.00557486	0.00759272	0.00983661	0.0120121	0.0156576	0.0187706	0.0350378	0.0722254	0.141624	0.227852	0.44055
a3	0.0405951	0.0397243	0.0274137	0.0325729	0.0314549	0.0308178	0.0303745	0.031703	0.0369636	0.0378	0.0581907	0.0834381	0.125683	0.154165	0.239103
a97	0.081037	0.0434363	0.0235357	0.0197455	0.017939	0.0194237	0.0225026	0.0260259	0.0350486	0.0452443	0.0798386	0.102157	0.123389	0.159593	0.201083
a99	0.0639488	0.0246065	0.0138515	0.0122629	0.0131454	0.0166519	0.0202796	0.022854	0.0298427	0.0367183	0.0630822	0.0930366	0.131695	0.191323	0.266702
a84	0.011596	0.00415473	0.00171463	0.0020273	0.00213273	0.00311072	0.00447669	0.00557517	0.00807555	0.0113985	0.0209688	0.0405805	0.0762258	0.262116	0.545846
</S>	0.00474026	0.00195587	0.00159369	0.00251687	0.00324137	0.00620032	0.00894117	0.00980459	0.0119851	0.0150832	0.0265462	0.0390795	0.070386	0.258057	0.539869
