 	il	a	assemblé	les	travailleurs	</S>
a23	0.448078	0.294537	0.0974644	0.0463914	0.0415601	0.0719685
a87	0.461789	0.313892	0.0849584	0.0392365	0.0457817	0.0543431
a23	0.402436	0.306324	0.101484	0.0477103	0.0577133	0.084332
a79	0.173904	0.142008	0.0652171	0.0656752	0.165948	0.387249
a20	0.117305	0.0914865	0.0646014	0.0907986	0.239257	0.396552
a73	0.244356	0.241129	0.232313	0.139603	0.0737001	0.0688991
a26	0.264128	0.280377	0.262073	0.113904	0.0407769	0.0387416
a38	0.209938	0.232769	0.227385	0.159106	0.0909963	0.0798048
a76	0.19982	0.225022	0.217967	0.158624	0.104228	0.0943382
a73	0.126521	0.14081	0.199465	0.214574	0.1303	0.18833
a0	0.10894	0.133469	0.199621	0.273779	0.12976	0.154431
a11	0.0618385	0.0677288	0.0902656	0.295156	0.228249	0.256763
a20	0.0610111	0.0589955	0.0640725	0.214408	0.27073	0.330783
a41	0.0404542	0.0468012	0.0729415	0.237483	0.248872	0.353448
a56	0.0368892	0.0397943	0.0737486	0.236829	0.298169	0.31457
a31	0.0218574	0.0208598	0.0395687	0.146213	0.329263	0.442238
a24	0.0271286	0.0214195	0.0311428	0.0951548	0.28071	0.544444
a94	0.0331212	0.0255308	0.0310389	0.0607787	0.233418	0.616112
a71	0.0267081	0.0184102	0.0186097	0.04123	0.203252	0.69179
a9	0.0407044	0.0267157	0.0167172	0.0402309	0.193319	0.682313
a87	0.0098513	0.00662785	0.00450598	0.0184776	0.1623	0.798238
</S>	0.00247304	0.001833	0.00330048	0.0181117	0.187371	0.786911
