 	apporte	moi	la	serviette	pour	que	je	puisse	m'	essuyer	</S>
a66	0.0963274	0.0985126	0.102302	0.0887902	0.111115	0.131945	0.142566	0.143457	0.0706476	0.0115299	0.00280704
a87	0.363161	0.133623	0.112334	0.0795869	0.0664487	0.0568856	0.0588952	0.0570766	0.0538421	0.0137985	0.00434926
a23	0.234746	0.142846	0.142368	0.119003	0.105604	0.0877187	0.086513	0.0409239	0.0271892	0.00784113	0.0052472
a99	0.192341	0.148367	0.164226	0.13018	0.111515	0.0952652	0.0902461	0.0359004	0.018002	0.00875131	0.00520636
a83	0.238418	0.142348	0.119197	0.111401	0.0915162	0.0711544	0.061492	0.0470008	0.0529305	0.0352963	0.0292468
a36	0.391789	0.184051	0.0998406	0.0532355	0.0439716	0.0371997	0.030224	0.0239518	0.0471692	0.058876	0.0296916
a37	0.275946	0.149178	0.110093	0.0686076	0.065538	0.0569572	0.0545139	0.0431597	0.0496842	0.0771957	0.0491259
a98	0.1493	0.129571	0.118927	0.078153	0.0916124	0.0793997	0.0841852	0.0567079	0.0534406	0.0887735	0.0699293
a92	0.0935829	0.10236	0.0892697	0.0702515	0.0832921	0.0727056	0.0752663	0.0510371	0.052961	0.15009	0.159183
a56	0.094285	0.125536	0.130639	0.0882714	0.108704	0.10332	0.114584	0.0653811	0.0379167	0.0579378	0.0734253
a93	0.100047	0.124479	0.128191	0.104761	0.132927	0.121634	0.11906	0.067206	0.0334681	0.0329956	0.0352317
a44	0.0792332	0.113356	0.120667	0.108421	0.13567	0.125184	0.123762	0.0817109	0.0385962	0.0339789	0.0394214
a13	0.0462004	0.10159	0.121851	0.121107	0.145011	0.131667	0.127222	0.0922435	0.0415125	0.0307459	0.04085
a38	0.0251272	0.0760308	0.108341	0.15345	0.166109	0.12796	0.114211	0.097582	0.0418239	0.0317696	0.0575954
a66	0.0151474	0.0494344	0.0895982	0.165913	0.172102	0.12948	0.12045	0.127961	0.0515462	0.0330415	0.045327
a9	0.0152524	0.045549	0.0908777	0.183796	0.18507	0.135423	0.117843	0.12722	0.0470923	0.0243872	0.0274893
a38	0.0206932	0.0456814	0.0894425	0.164127	0.155863	0.129404	0.120071	0.139086	0.0627977	0.0372451	0.035589
a70	0.0203814	0.0350061	0.0698869	0.161392	0.148606	0.127079	0.123778	0.164913	0.0708188	0.0347187	0.0434205
a90	0.0132208	0.0288934	0.0515518	0.100332	0.109426	0.0944726	0.0938623	0.123589	0.103361	0.109807	0.171484
a15	0.00828716	0.0178336	0.0303562	0.0652498	0.0708543	0.0691585	0.0719211	0.122257	0.135425	0.177899	0.230759
a7	0.00740694	0.0157191	0.0258029	0.0548361	0.056715	0.0589763	0.0624052	0.108695	0.126929	0.169417	0.313098
a84	0.00957675	0.0217621	0.0392674	0.101272	0.102066	0.0932849	0.0968755	0.157631	0.130025	0.105231	0.143009
a54	0.0174681	0.0264944	0.045492	0.101221	0.105301	0.100785	0.114711	0.177902	0.119947	0.0874647	0.103215
a47	0.00760259	0.0123289	0.0170262	0.031711	0.0339277	0.0375174	0.0464404	0.0750443	0.0889436	0.191073	0.458385
a36	0.00655318	0.0115458	0.017405	0.0350931	0.0328814	0.0359059	0.0371298	0.0616561	0.0820339	0.188468	0.491328
a37	0.00650269	0.0106682	0.0163079	0.0383106	0.0364191	0.0360571	0.0403203	0.0772287	0.097208	0.20423	0.436748
a61	0.00570299	0.00956786	0.0156733	0.0422154	0.0388323	0.0399113	0.0430834	0.0951006	0.115617	0.214296	0.38
a62	0.00409084	0.00859339	0.0145669	0.038614	0.0396521	0.042124	0.0444692	0.0981961	0.116197	0.237243	0.356254
