 	notre	mère	est	déjà	arrivée	à	la	maison	</S>
a66	0.222505	0.134393	0.113201	0.136024	0.174194	0.0981754	0.0529721	0.0357374	0.0327975
a87	0.204826	0.151195	0.135202	0.160612	0.155101	0.078368	0.0473481	0.0367469	0.0306009
a82	0.398025	0.240137	0.120761	0.0881179	0.0534859	0.0277581	0.0231501	0.0242522	0.024313
a87	0.344001	0.236228	0.136648	0.108455	0.0613171	0.0274294	0.0247251	0.0286053	0.0325907
a38	0.370841	0.24517	0.132661	0.0984111	0.0538129	0.0254933	0.0219435	0.0244874	0.0271805
a53	0.309357	0.230297	0.129933	0.0840776	0.0560269	0.0480071	0.0450901	0.050198	0.0470138
a15	0.379017	0.291258	0.116423	0.0633121	0.0400552	0.034468	0.026817	0.0245781	0.0240722
a79	0.301708	0.298107	0.141955	0.0923564	0.0504781	0.0417246	0.0287276	0.0235588	0.021384
a44	0.226019	0.238079	0.15089	0.133165	0.0841092	0.0588672	0.0403711	0.0354408	0.0330586
a32	0.164488	0.184359	0.154953	0.158438	0.105941	0.0687244	0.0534938	0.0540123	0.0555906
a75	0.136607	0.14473	0.14263	0.161142	0.120601	0.0751003	0.0646177	0.0711959	0.083376
a92	0.0810172	0.0941218	0.117834	0.169026	0.17103	0.118787	0.0892663	0.0792302	0.0796875
a37	0.0546894	0.064356	0.1008	0.16984	0.195536	0.132862	0.101065	0.0891511	0.0917002
a43	0.0718976	0.0755307	0.119264	0.193937	0.198031	0.107913	0.0785331	0.0705777	0.084316
a25	0.0521433	0.0560955	0.0895315	0.158651	0.21392	0.120946	0.0953014	0.0924994	0.120912
a56	0.025229	0.029384	0.0504229	0.0994325	0.184578	0.135524	0.12938	0.140371	0.205678
a54	0.0306933	0.0358452	0.0567969	0.104672	0.193091	0.173138	0.148293	0.124334	0.133139
a37	0.0119114	0.0159027	0.029353	0.0623373	0.149187	0.154987	0.178366	0.177871	0.220083
a66	0.0102336	0.0125142	0.0222632	0.045109	0.112353	0.128123	0.175859	0.204133	0.289411
a62	0.00892518	0.0102849	0.0143226	0.023691	0.0597086	0.0759599	0.150375	0.252787	0.403946
a88	0.00838069	0.0101593	0.0126517	0.0187086	0.04121	0.0542661	0.126831	0.261423	0.46637
a71	0.00310699	0.00395769	0.00502655	0.00803841	0.0207334	0.0373533	0.111041	0.270459	0.540284
a9	0.00381764	0.00485765	0.00600216	0.00933038	0.0246729	0.0453133	0.122412	0.261053	0.522541
a10	0.0580696	0.0513515	0.0483225	0.0546743	0.0736174	0.0795131	0.119452	0.174195	0.340805
a87	0.181975	0.113205	0.0885165	0.0882224	0.0878691	0.0729306	0.0900972	0.108116	0.169068
a10	0.18378	0.122153	0.0978887	0.104032	0.110581	0.0859584	0.094583	0.0932015	0.107822
a87	0.192139	0.133886	0.0920373	0.109073	0.123832	0.0880096	0.0856997	0.0858708	0.0894528
a23	0.189295	0.131302	0.0903164	0.109103	0.123637	0.0838248	0.084466	0.0888754	0.0991816
a87	0.0909516	0.0743176	0.0687174	0.0975683	0.125671	0.108462	0.121547	0.141078	0.171687
a23	0.07441	0.065	0.056662	0.0788977	0.0979205	0.0950251	0.119592	0.16585	0.246642
a87	0.0895407	0.0766788	0.0700067	0.0940909	0.113659	0.10116	0.118193	0.143466	0.193204
a23	0.0641249	0.0591486	0.0550835	0.0795511	0.0974504	0.102854	0.12674	0.168113	0.246934
a97	0.109727	0.0875298	0.0759364	0.100653	0.114877	0.0974429	0.109408	0.13073	0.173697
</S>	0.0621428	0.0565664	0.0580275	0.0850135	0.0966672	0.0969836	0.120232	0.167544	0.256823
