 	le	barri	est	un	bon	légume	</S>
a66	0.307038	0.20756	0.22925	0.146337	0.0665124	0.0247585	0.0185432
a87	0.342462	0.272679	0.195105	0.104802	0.0434445	0.0225793	0.0189269
a23	0.534246	0.254416	0.0980768	0.0481533	0.0258018	0.0194995	0.0198066
a71	0.612832	0.226759	0.0630958	0.027883	0.017322	0.0234304	0.0286779
a13	0.468558	0.234833	0.12061	0.0648316	0.0356805	0.0374765	0.0380105
a93	0.481434	0.224427	0.129862	0.0776471	0.0356719	0.0263098	0.0246481
a56	0.297974	0.192739	0.173536	0.15877	0.0876663	0.0483386	0.0409768
a75	0.120139	0.139811	0.200713	0.239029	0.159456	0.0792836	0.0615693
a12	0.0602416	0.0849293	0.165818	0.277047	0.222361	0.110043	0.0795611
a31	0.0801791	0.0908753	0.161341	0.229922	0.186613	0.144187	0.106881
a88	0.0913014	0.11443	0.209018	0.246263	0.150233	0.106382	0.0823729
a71	0.062718	0.0895763	0.170121	0.239704	0.192536	0.137934	0.107411
a11	0.0546481	0.0757006	0.129599	0.149862	0.166052	0.2129	0.211237
a96	0.0616096	0.0713476	0.126998	0.168391	0.19378	0.196181	0.181694
a93	0.0369176	0.034305	0.0599798	0.122268	0.234346	0.264743	0.24744
a96	0.0143687	0.0132814	0.0242997	0.0630976	0.190863	0.343041	0.351049
a35	0.0107982	0.00966513	0.0161304	0.0410841	0.154108	0.350045	0.418169
a21	0.00288181	0.00229783	0.00364611	0.012312	0.0827267	0.326037	0.570098
a5	0.00111728	0.00094026	0.00134091	0.00469939	0.0465336	0.283472	0.661897
a23	0.000811551	0.000540471	0.000649347	0.00240799	0.0270315	0.248698	0.719862
a18	0.000461258	0.000328673	0.000394783	0.0016795	0.0213477	0.193006	0.782782
a25	0.0085025	0.00599554	0.00562799	0.0109555	0.0379098	0.198921	0.732087
a82	0.125571	0.0689191	0.0390749	0.0469028	0.0928879	0.205753	0.420892
a87	0.436182	0.197067	0.0562367	0.0343003	0.047721	0.0834277	0.145065
a23	0.377841	0.216599	0.0795135	0.0435448	0.0494893	0.0836228	0.149389
a87	0.224654	0.101377	0.0290961	0.0223948	0.0504147	0.162932	0.409132
a23	0.0544212	0.0326628	0.0155643	0.0203546	0.0569893	0.213499	0.606509
a87	0.101314	0.0690791	0.0378021	0.0378473	0.0702271	0.180008	0.503723
</S>	0.0755444	0.0479424	0.0241751	0.0289345	0.0635423	0.19904	0.560821
