 	le	forgeron	a	fabriqué	une	grosse	houe	</S>
a66	0.419493	0.268053	0.134181	0.0788447	0.042064	0.0296282	0.0167423	0.0109938
a87	0.460949	0.223337	0.148342	0.0932086	0.0422974	0.0180442	0.00809511	0.00572721
a23	0.539011	0.280076	0.110632	0.037389	0.01264	0.00730269	0.00592954	0.00702043
a30	0.433344	0.272798	0.11672	0.0476589	0.0229668	0.0195057	0.0311037	0.0559028
a13	0.425093	0.247976	0.133187	0.0652821	0.0350103	0.0282805	0.0282699	0.036902
a57	0.268408	0.184673	0.145892	0.117121	0.0727478	0.0586351	0.0623717	0.0901507
a30	0.279633	0.209449	0.166532	0.133372	0.0889155	0.0469718	0.0333128	0.0418137
a90	0.224574	0.185573	0.167068	0.157882	0.122308	0.0641252	0.0368469	0.0416228
a79	0.126159	0.176323	0.201122	0.259894	0.143174	0.0553649	0.0205628	0.0173995
a7	0.0819721	0.131966	0.18654	0.291635	0.181804	0.0761351	0.0287792	0.0211682
a37	0.05158	0.0895436	0.169452	0.324002	0.196492	0.0885668	0.0436217	0.0367405
a93	0.0762666	0.113096	0.175002	0.261559	0.155035	0.0887724	0.0650049	0.0652635
a96	0.0895229	0.121889	0.184107	0.228169	0.151475	0.093904	0.0654628	0.0654705
a70	0.0704465	0.0863924	0.13185	0.15752	0.173014	0.149735	0.117707	0.113335
a98	0.0431986	0.0485649	0.0780437	0.0997017	0.173581	0.211184	0.183776	0.16195
a92	0.0199392	0.0272363	0.0543843	0.0628552	0.129001	0.221584	0.243478	0.241521
a37	0.0183366	0.0184411	0.0283849	0.0312452	0.0891907	0.204837	0.301616	0.307948
a26	0.0163963	0.0144807	0.0157853	0.0143278	0.0427524	0.12897	0.310472	0.456816
a82	0.00667592	0.0049467	0.00395199	0.00369402	0.0081606	0.0422506	0.226797	0.703523
a87	0.0515983	0.0297864	0.0320737	0.0374713	0.0359574	0.0606357	0.228006	0.524471
a23	0.23556	0.128754	0.0992581	0.0902044	0.063032	0.0542242	0.128671	0.200295
a87	0.105571	0.0772652	0.0617785	0.0526484	0.0540123	0.105867	0.242837	0.30002
</S>	0.0472002	0.0291195	0.0207748	0.0177237	0.0260949	0.0791497	0.291355	0.488583
