 	il	a	l'	air	malade	</S>
a10	0.188395	0.190392	0.136191	0.163153	0.149995	0.171874
a87	0.146206	0.139363	0.151842	0.179965	0.186947	0.195678
a23	0.26	0.190125	0.159075	0.137589	0.131135	0.122077
a79	0.169131	0.161921	0.146735	0.171523	0.165094	0.185596
a20	0.27129	0.267227	0.184768	0.186938	0.0507258	0.0390498
a73	0.296219	0.288552	0.189861	0.175879	0.0328962	0.0165916
a84	0.317476	0.268344	0.180023	0.165007	0.0430328	0.0261176
a57	0.267764	0.197939	0.159783	0.173472	0.103226	0.0978162
a20	0.203205	0.157039	0.149216	0.197266	0.145909	0.147366
a35	0.325011	0.252807	0.180876	0.164794	0.0494384	0.0270728
a30	0.243761	0.210479	0.189413	0.185258	0.103787	0.0673029
a14	0.203225	0.180268	0.177851	0.188753	0.139608	0.110296
a35	0.159353	0.143579	0.160543	0.182116	0.173783	0.180627
a38	0.131263	0.114918	0.134345	0.163412	0.208167	0.247894
a26	0.0796268	0.0807045	0.10735	0.146774	0.230369	0.355176
a35	0.0485456	0.0561585	0.0828442	0.120954	0.235658	0.45584
a14	0.018115	0.0232679	0.0417307	0.084803	0.266134	0.565949
a35	0.0103807	0.0137342	0.0275147	0.0595536	0.254411	0.634406
a75	0.00585327	0.0089069	0.0189104	0.0427115	0.225981	0.697637
a14	0.00498169	0.00735795	0.016991	0.039178	0.222653	0.708839
a73	0.00610565	0.00899196	0.0182302	0.0418023	0.209102	0.715768
a57	0.00569877	0.0104683	0.0243727	0.0723636	0.277082	0.610014
a87	0.00817037	0.0160874	0.0308935	0.0632388	0.226033	0.655576
</S>	0.0225972	0.0419516	0.0695678	0.0996491	0.281817	0.484417
