 	le	féticheur	confectionna	un	breuvage	</S>
a23	0.211071	0.169928	0.221848	0.164897	0.147585	0.0846701
a87	0.341264	0.186474	0.17264	0.117523	0.0929089	0.0891905
a23	0.342474	0.187445	0.132584	0.108745	0.117014	0.111739
a94	0.397701	0.17767	0.10328	0.0919347	0.100299	0.129116
a38	0.538742	0.226277	0.124447	0.0588164	0.0300019	0.0217151
a14	0.505383	0.231737	0.154096	0.0646281	0.0274652	0.0166915
a35	0.405325	0.310356	0.166755	0.0710099	0.0311366	0.0154181
a14	0.337731	0.307125	0.188196	0.0915771	0.0485201	0.0268512
a35	0.340282	0.290068	0.175612	0.102944	0.0603142	0.0307789
a30	0.245419	0.312298	0.224367	0.118034	0.0621078	0.0377741
a26	0.256974	0.308978	0.228558	0.117865	0.0570104	0.0306148
a76	0.196723	0.290754	0.253	0.139562	0.0726469	0.0473149
a94	0.255926	0.254978	0.176429	0.150329	0.10345	0.0588871
a76	0.146079	0.225688	0.204288	0.189123	0.143043	0.0917784
a94	0.0848057	0.129731	0.154591	0.213601	0.227789	0.189482
a58	0.0436357	0.0797305	0.150861	0.215367	0.230796	0.27961
a38	0.0404308	0.0638468	0.126161	0.195575	0.202537	0.37145
a24	0.0326243	0.0535186	0.104957	0.198209	0.249749	0.360941
a41	0.0284993	0.0366948	0.0746928	0.16423	0.229031	0.466852
a32	0.0290366	0.0434959	0.0979786	0.184734	0.249033	0.395722
a26	0.0291851	0.0297458	0.0572731	0.129103	0.21366	0.541033
a24	0.0271858	0.0291665	0.0644718	0.13549	0.215656	0.52803
a32	0.0212942	0.0187986	0.0365061	0.095531	0.187468	0.640402
a24	0.0307942	0.0214963	0.0313086	0.0792097	0.164261	0.67293
a76	0.0169344	0.0131036	0.0229389	0.0694298	0.151658	0.725935
a73	0.00639059	0.00612625	0.0128971	0.0443753	0.131716	0.798495
a84	0.00655851	0.00572892	0.0123576	0.0397499	0.117421	0.818184
a57	0.0249378	0.0154436	0.0169741	0.0415861	0.125492	0.775567
a87	0.0590896	0.0458856	0.0389403	0.103162	0.229641	0.523281
</S>	0.0160868	0.0176615	0.0307019	0.0818631	0.173552	0.680134
