 	ces	feuillles	sont	larges	</S>
a66	0.64936	0.182942	0.0408924	0.0369132	0.0898926
a87	0.612603	0.147053	0.0701489	0.0544889	0.115706
a23	0.56596	0.258892	0.104402	0.0319258	0.0388192
a20	0.543182	0.296788	0.107767	0.029119	0.0231433
a27	0.485994	0.345424	0.104117	0.0334726	0.0309927
a11	0.277975	0.332624	0.220439	0.0974444	0.0715174
a50	0.166895	0.219361	0.265257	0.172369	0.176118
a83	0.0973973	0.149636	0.249475	0.224845	0.278646
a13	0.0887894	0.122872	0.230504	0.23601	0.321825
a24	0.0457675	0.0567417	0.153725	0.263672	0.480094
a50	0.0470946	0.0504614	0.143914	0.270609	0.487921
a83	0.0182784	0.0227986	0.093411	0.294014	0.571499
a56	0.0136972	0.0151708	0.0605305	0.279694	0.630908
a37	0.0120137	0.0114359	0.0526908	0.276089	0.647771
a70	0.0038824	0.00410059	0.0224224	0.202004	0.767591
a94	0.0033572	0.00401949	0.0168924	0.156742	0.818989
a36	0.00307296	0.00405549	0.0163344	0.135614	0.840923
a26	0.0126608	0.0151244	0.037738	0.149524	0.784953
a57	0.0830005	0.0550647	0.0756094	0.17577	0.610555
a87	0.220046	0.141622	0.124614	0.156154	0.357564
a23	0.319017	0.171328	0.110954	0.12888	0.26982
a87	0.209606	0.191749	0.173939	0.184252	0.240454
</S>	0.211354	0.162869	0.155425	0.191173	0.279178
