 	le	prêtre	purifie	la	maison	de	puissances	maléfiques	</S>
a87	0.290025	0.296589	0.213257	0.1034	0.0353586	0.0202211	0.0213664	0.0109415	0.00884165
a23	0.410273	0.177043	0.108597	0.0751527	0.0572135	0.0487488	0.0578132	0.0354455	0.0297132
a75	0.117119	0.0935287	0.0729729	0.0560461	0.0546158	0.0915959	0.174945	0.184123	0.155053
a41	0.294516	0.181084	0.153709	0.138752	0.077218	0.0486871	0.0447674	0.0338445	0.0274217
a5	0.189118	0.142514	0.148646	0.118424	0.0748477	0.0708185	0.107375	0.0934641	0.0547935
a85	0.212532	0.148905	0.180064	0.124602	0.0620662	0.0468194	0.0761548	0.0865201	0.0623376
a73	0.164774	0.138785	0.177794	0.162818	0.0723482	0.0439	0.0605893	0.0911291	0.087862
a26	0.209156	0.197782	0.16812	0.109587	0.042543	0.0355058	0.058741	0.0857553	0.0928099
a15	0.139729	0.140399	0.114476	0.0994318	0.0533045	0.0610396	0.0953069	0.137547	0.158766
a79	0.144918	0.180007	0.123775	0.0700355	0.0213282	0.0363576	0.0728285	0.143657	0.207094
a66	0.100148	0.117403	0.0791462	0.0561938	0.0226463	0.0312244	0.0640073	0.207566	0.321665
a75	0.0556743	0.0670425	0.0568263	0.0395691	0.0220838	0.0481157	0.12437	0.249061	0.337257
a85	0.0753338	0.0824492	0.0735373	0.0503248	0.0191107	0.0217348	0.0561987	0.184393	0.436917
a61	0.0487676	0.0403084	0.0349751	0.0281061	0.0159688	0.0174888	0.0431353	0.21934	0.55191
a88	0.00630105	0.00821946	0.00924591	0.00973875	0.00802928	0.0179525	0.0715241	0.282996	0.585993
a21	0.00292718	0.00350424	0.003369	0.00363831	0.00538431	0.0337604	0.168524	0.391681	0.387212
a47	0.00468709	0.00445503	0.00534674	0.00676858	0.00766853	0.0234027	0.0956463	0.307349	0.544676
a83	0.00336167	0.00444043	0.00633528	0.00932792	0.0125079	0.027881	0.10357	0.333994	0.498582
a9	0.0046167	0.00616312	0.00636989	0.00802057	0.0120091	0.0498936	0.159448	0.346736	0.406743
a87	0.0408109	0.0471477	0.0643723	0.0543392	0.0324327	0.0759048	0.136001	0.246015	0.302976
a23	0.102774	0.0995459	0.0755896	0.0627849	0.0395659	0.0637609	0.121953	0.186517	0.247509
a87	0.0344773	0.0327222	0.0255671	0.023765	0.026839	0.0613182	0.120831	0.261337	0.413143
a23	0.00194724	0.0030174	0.00291771	0.00401847	0.00876254	0.0428887	0.103973	0.306205	0.526271
a97	0.00256804	0.00349012	0.00319192	0.00431065	0.00687122	0.0329531	0.116236	0.333737	0.496642
</S>	0.00413262	0.00525867	0.0045264	0.00551823	0.00928785	0.0414684	0.123304	0.325998	0.480507
