 	l'	arbre	est	déraciné	</S>
a66	0.517767	0.233908	0.118984	0.0722052	0.0571358
a87	0.446922	0.255213	0.155551	0.0703937	0.0719205
a83	0.471944	0.269346	0.132551	0.0699289	0.0562303
a88	0.493845	0.257652	0.121892	0.0717842	0.0548265
a43	0.508481	0.274654	0.12314	0.0524563	0.041269
a94	0.386029	0.304264	0.182278	0.0826544	0.0447744
a34	0.26295	0.284751	0.235827	0.137358	0.0791134
a47	0.253566	0.261308	0.215755	0.160598	0.108773
a24	0.190111	0.221297	0.217333	0.214422	0.156837
a47	0.184932	0.198689	0.19798	0.217885	0.200515
a12	0.155504	0.183159	0.20547	0.235161	0.220705
a43	0.0936473	0.111185	0.185698	0.30114	0.30833
a96	0.0629987	0.0704043	0.132237	0.32761	0.40675
a75	0.0352335	0.0379287	0.0748578	0.28999	0.56199
a98	0.00806434	0.0142115	0.0538159	0.29759	0.626319
a41	0.00618385	0.0116793	0.0515001	0.296321	0.634316
a0	0.00328207	0.00556394	0.026808	0.253832	0.710514
a56	0.00343032	0.00498575	0.0191819	0.182798	0.789604
a94	0.00479735	0.00697133	0.0247698	0.183129	0.780333
a44	0.0084455	0.0125091	0.0341756	0.194654	0.750216
a36	0.0184002	0.0236358	0.0518137	0.222268	0.683882
a2	0.111034	0.0867371	0.116158	0.238049	0.448023
a57	0.264285	0.147234	0.135703	0.180948	0.271829
a87	0.308243	0.17841	0.144044	0.162047	0.207256
a23	0.292568	0.178101	0.142986	0.163937	0.222409
a87	0.173911	0.0993036	0.111754	0.23	0.385031
</S>	0.038049	0.0345093	0.0747494	0.314869	0.537824
