 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
a23	0.351858	0.255882	0.175907	0.109572	0.0392876	0.0134059	0.0137342	0.0153853	0.0249672
a83	0.393659	0.174443	0.112411	0.101419	0.0733211	0.0456834	0.0345387	0.0265291	0.0379955
a50	0.279699	0.209793	0.13232	0.14489	0.115156	0.0356174	0.0229929	0.0236959	0.0358364
a88	0.412657	0.282093	0.111594	0.0888573	0.0607589	0.0230744	0.00926063	0.00551888	0.00618574
a66	0.357938	0.329017	0.143015	0.0783851	0.0482249	0.0209095	0.0085197	0.00627844	0.00771272
a75	0.268174	0.241533	0.131339	0.068634	0.0634952	0.0781808	0.0528155	0.0422858	0.0535431
a21	0.257137	0.281807	0.183706	0.112499	0.0650111	0.0345274	0.0187362	0.018871	0.0277046
a12	0.158184	0.258727	0.271523	0.187852	0.0768136	0.019196	0.00872073	0.00795314	0.0110308
a88	0.150113	0.191885	0.232784	0.212987	0.115693	0.039032	0.0171402	0.0163564	0.0240086
a31	0.0965146	0.0928559	0.109668	0.144997	0.168546	0.131558	0.0733282	0.0687065	0.113826
a61	0.0889194	0.0897731	0.0956642	0.11809	0.144296	0.154599	0.0874495	0.0848291	0.13638
a75	0.0851906	0.0959047	0.102735	0.121978	0.118987	0.158874	0.110124	0.0839928	0.122214
a25	0.055548	0.053215	0.0455564	0.047315	0.041625	0.0995567	0.162844	0.196588	0.297751
a92	0.0288196	0.0243674	0.0259915	0.0316709	0.0312484	0.103718	0.226803	0.205885	0.321496
a85	0.0220664	0.020785	0.0237616	0.0324028	0.0372918	0.123091	0.240463	0.220746	0.279392
a5	0.0161822	0.0132878	0.0136665	0.0159937	0.0189583	0.0855273	0.21622	0.262893	0.357271
a61	0.0729331	0.0639917	0.0539842	0.0496586	0.0382701	0.081027	0.186893	0.199792	0.253451
a18	0.0204424	0.0175664	0.0171386	0.0227501	0.0287625	0.0619681	0.155157	0.260937	0.415278
a9	0.00508943	0.00343935	0.003235	0.00466247	0.01078	0.0427658	0.120488	0.238738	0.570801
a87	0.00575893	0.0043087	0.0045257	0.00497252	0.00739568	0.0194248	0.0831995	0.270754	0.59966
a23	0.113955	0.0591348	0.0493894	0.0476564	0.0564357	0.0683163	0.113847	0.183259	0.308006
a3	0.0800932	0.0455387	0.0385019	0.0323206	0.042133	0.0709483	0.190825	0.210762	0.288878
</S>	0.0112516	0.0073314	0.00926995	0.0110266	0.0196083	0.0589934	0.150799	0.261689	0.470031
