 	je	vais	couper	cet	arbre	qui	est	derrière	la	maison	</S>
a66	0.220001	0.123689	0.0942757	0.113813	0.132321	0.110715	0.0879936	0.0523472	0.028329	0.0204149	0.0161013
a87	0.17204	0.135427	0.107225	0.104847	0.112378	0.0950816	0.0790347	0.0554678	0.0447831	0.0483788	0.0453381
a23	0.405825	0.221694	0.0823346	0.04669	0.0381611	0.0375795	0.0367849	0.0340621	0.0321035	0.0356163	0.0291489
a83	0.353741	0.214468	0.0941256	0.0498075	0.0377176	0.0353339	0.0381783	0.0384103	0.0404881	0.0469638	0.0507653
a70	0.212293	0.164928	0.0964756	0.0665916	0.068766	0.0567195	0.0578026	0.0627043	0.0690827	0.0657606	0.0788765
a93	0.252776	0.279869	0.197803	0.0833951	0.0529314	0.0325384	0.0279193	0.0236965	0.0211583	0.0149598	0.0129534
a4	0.154357	0.225881	0.214628	0.109814	0.0681601	0.0412231	0.036889	0.0376775	0.0414696	0.0345585	0.0353418
a13	0.117521	0.190147	0.231134	0.133111	0.0769025	0.0432938	0.0361627	0.0380264	0.0438834	0.0440029	0.0458147
a11	0.10181	0.159032	0.214166	0.119268	0.0683437	0.0413718	0.0378392	0.0437842	0.0582114	0.0703167	0.0858568
a47	0.127141	0.169399	0.21891	0.123283	0.0668062	0.0375896	0.0330562	0.0372013	0.0487853	0.0620697	0.0757585
a12	0.111981	0.130151	0.182167	0.141962	0.0946828	0.0536503	0.045987	0.0464295	0.0535923	0.0621076	0.0772908
a62	0.127116	0.137712	0.187727	0.149979	0.0978563	0.0544188	0.0416061	0.0373205	0.04252	0.0537675	0.0699767
a70	0.0885885	0.0786622	0.119349	0.141724	0.118701	0.0791131	0.0641688	0.0591585	0.0667823	0.0821787	0.101573
a90	0.0698358	0.0548361	0.0823212	0.119665	0.124732	0.104218	0.0902037	0.0785854	0.0778985	0.0898497	0.107854
a25	0.0292215	0.024758	0.0497714	0.0966199	0.118274	0.127304	0.125773	0.111307	0.097283	0.102512	0.117176
a92	0.0140566	0.0137454	0.0300762	0.0759297	0.112487	0.143381	0.149167	0.135476	0.106436	0.101575	0.117669
a56	0.0153628	0.00981858	0.0145402	0.041068	0.0755045	0.123512	0.151573	0.161497	0.136685	0.121957	0.148482
a75	0.0110836	0.00599137	0.0100776	0.0309355	0.0595014	0.107058	0.138556	0.16823	0.152774	0.150231	0.165561
a92	0.00398946	0.00230875	0.00363103	0.0125886	0.025586	0.0608905	0.100908	0.15444	0.185138	0.21331	0.237209
a56	0.00335017	0.00183869	0.00292831	0.00919778	0.018856	0.0480598	0.085958	0.157242	0.207427	0.235556	0.229586
a90	0.00216718	0.0012418	0.00181263	0.00474227	0.0102652	0.0313835	0.0638553	0.139603	0.202139	0.252129	0.290662
a56	0.00138396	0.000773654	0.00112712	0.00396164	0.00950472	0.0300632	0.0616757	0.140401	0.202393	0.251614	0.297102
a92	0.000600128	0.000332122	0.000466357	0.00135199	0.00320465	0.012081	0.0310613	0.10027	0.184748	0.272974	0.39291
a37	0.000514984	0.000307489	0.000420551	0.0013978	0.00311622	0.0106327	0.0262704	0.0836911	0.170378	0.280283	0.422988
a47	0.000392277	0.000227639	0.000299489	0.000772766	0.00181529	0.00551358	0.0145924	0.0577907	0.149744	0.287361	0.48149
a62	0.000477579	0.000345363	0.000488694	0.00128308	0.0028221	0.00814446	0.0202653	0.0692388	0.163728	0.283264	0.449942
a88	0.000444665	0.000336491	0.000457309	0.000920432	0.0017008	0.00480112	0.0128437	0.0506423	0.139845	0.291229	0.496779
a9	0.000973105	0.000735881	0.000976327	0.00235561	0.00610115	0.0154069	0.0329053	0.0845645	0.160304	0.25676	0.438917
a99	0.0488961	0.0207595	0.0149877	0.0198603	0.0290927	0.0478358	0.0700315	0.122472	0.157551	0.186849	0.281664
a87	0.0842502	0.0338241	0.0211658	0.0239655	0.0308455	0.044811	0.0631546	0.100908	0.143457	0.192704	0.260914
a23	0.106993	0.0395145	0.0233568	0.0245611	0.030652	0.0491009	0.0748801	0.123537	0.155523	0.17668	0.195202
a99	0.0659548	0.0232528	0.00978873	0.00826611	0.0104167	0.0194103	0.0351945	0.076323	0.140312	0.241371	0.369711
a87	0.0314445	0.0132472	0.0078759	0.00874338	0.0127095	0.0248287	0.0386987	0.0749904	0.134039	0.249481	0.403942
</S>	0.0121143	0.0066316	0.004268	0.00519382	0.00821815	0.0181547	0.0313807	0.0645363	0.128123	0.246076	0.475304
