 	le	notable	a	porté	une	coif-	fure	traditionnelle	</S>
a66	0.134324	0.126272	0.243118	0.265911	0.104716	0.0718683	0.0242165	0.0163966	0.013177
a87	0.333384	0.192456	0.172652	0.161775	0.0441034	0.0356169	0.0265287	0.0174585	0.0160257
a10	0.249896	0.258345	0.223609	0.146115	0.0711937	0.0265485	0.0105662	0.0064263	0.00729943
a87	0.23064	0.276487	0.241443	0.171498	0.0576639	0.0144767	0.00312101	0.00195206	0.0027184
a23	0.230755	0.265247	0.235611	0.177769	0.0612207	0.0174442	0.00479231	0.00291923	0.00424141
a87	0.2095	0.299796	0.239497	0.150608	0.0562226	0.0193241	0.00586607	0.00792483	0.0112615
a23	0.252699	0.284875	0.219874	0.138656	0.0564324	0.027512	0.00560546	0.00563506	0.00871037
a83	0.209945	0.260686	0.284677	0.159462	0.0512656	0.014838	0.00441398	0.00592014	0.00879122
a12	0.148884	0.126983	0.23792	0.310096	0.135902	0.0250137	0.00560912	0.00512465	0.00446773
a21	0.106852	0.111582	0.161923	0.289914	0.250937	0.059455	0.00819826	0.00598852	0.00515045
a5	0.0469578	0.0399203	0.0674393	0.18658	0.397339	0.207476	0.0264215	0.0161459	0.0117197
a61	0.0457369	0.0425962	0.0639549	0.162785	0.366699	0.230104	0.043448	0.0271034	0.0175723
a21	0.0639664	0.0509186	0.0704573	0.136752	0.300867	0.282698	0.0461677	0.0258654	0.0223064
a85	0.0355385	0.0302931	0.0370644	0.0714258	0.250315	0.37242	0.10626	0.0525247	0.0441593
a5	0.0261191	0.0221052	0.0260465	0.0400811	0.123177	0.254206	0.193404	0.157146	0.157716
a21	0.0525322	0.0331954	0.026313	0.0417849	0.137501	0.264102	0.168057	0.135069	0.141445
a12	0.0165164	0.011711	0.00891461	0.012304	0.0455703	0.18625	0.326393	0.220054	0.172288
a23	0.0130129	0.00827879	0.00485366	0.00515035	0.0223153	0.11872	0.339332	0.268117	0.22022
a21	0.00258026	0.00115272	0.000541711	0.00072384	0.00278841	0.0150054	0.129288	0.36432	0.4836
a98	0.00315439	0.00191919	0.00102717	0.000821574	0.00255115	0.0187104	0.194312	0.419514	0.357989
a6	0.00286372	0.00131648	0.000696085	0.00107806	0.003257	0.0142001	0.148523	0.407576	0.420489
a37	0.000897782	0.00043693	0.000253676	0.000473579	0.00199858	0.0101474	0.0839751	0.34229	0.559527
a7	0.0016896	0.000723108	0.000289535	0.000409631	0.00131726	0.00649729	0.0398065	0.266054	0.683213
a36	0.00408472	0.00146241	0.00055898	0.000831709	0.00206454	0.0107419	0.102541	0.296938	0.580777
a2	0.00794935	0.00350201	0.0020293	0.00296323	0.00574439	0.0258682	0.150525	0.290529	0.51089
a57	0.0877993	0.0410275	0.0224719	0.0263215	0.0302485	0.0523296	0.131099	0.25681	0.351892
a87	0.23869	0.140198	0.128952	0.0658327	0.0356656	0.0449527	0.0903215	0.113924	0.141464
a23	0.310768	0.179175	0.153439	0.0744577	0.0342881	0.0416948	0.0653753	0.0748383	0.0659633
a99	0.0421412	0.0192574	0.0107889	0.00962794	0.00518704	0.00871434	0.063546	0.344074	0.496663
a87	0.00729932	0.00441239	0.00283498	0.00279811	0.00315807	0.0119612	0.117591	0.331466	0.518479
</S>	0.00156342	0.000948515	0.000497513	0.000416614	0.000833842	0.00736641	0.119521	0.339721	0.529131
