 	notre	père	a	des	déchirures	au	niveau	des	articulations	des	orteils	</S>
a84	0.141632	0.108571	0.0771797	0.0617483	0.0673791	0.092748	0.11253	0.166642	0.109761	0.0405484	0.0135245	0.00773569
a10	0.325196	0.120083	0.0556355	0.0332441	0.0196517	0.0469725	0.0830376	0.0903578	0.0833465	0.0738341	0.0396374	0.0290034
a87	0.29982	0.127238	0.0804828	0.0587047	0.0503806	0.0611094	0.0806101	0.0835638	0.0577347	0.0450375	0.0282506	0.0270678
a23	0.214205	0.0945075	0.0709007	0.055567	0.0538458	0.0631875	0.0969067	0.110235	0.0929017	0.0692723	0.0413008	0.0371702
a40	0.267972	0.121279	0.115642	0.106112	0.0567409	0.0502194	0.047767	0.0521695	0.0484887	0.0526698	0.0376698	0.0432705
a6	0.155415	0.113359	0.0865799	0.0746468	0.0486718	0.0607474	0.0675413	0.0854596	0.0925979	0.0978502	0.072478	0.0446534
a36	0.0699178	0.090269	0.0939409	0.107629	0.0802939	0.0804614	0.0747251	0.0852388	0.105681	0.105504	0.0667014	0.0396376
a37	0.0412599	0.0720057	0.095095	0.153423	0.135471	0.12022	0.0836777	0.0921892	0.0885508	0.0615258	0.0336634	0.0229188
a43	0.0469853	0.0732437	0.0985295	0.156825	0.149128	0.132047	0.0878802	0.0887043	0.0821074	0.0466903	0.0223993	0.0154597
a11	0.0429486	0.078635	0.112592	0.165799	0.183257	0.147336	0.0980827	0.0722234	0.0425929	0.0226855	0.0169055	0.0169423
a31	0.0286746	0.0518983	0.0819229	0.125653	0.188656	0.171249	0.133466	0.0927213	0.0480119	0.0249341	0.024439	0.0283735
a88	0.0155709	0.0249128	0.0416866	0.0691654	0.167214	0.193341	0.194794	0.145126	0.061714	0.0260285	0.0276509	0.0327962
a9	0.0122107	0.0164813	0.0267951	0.0494394	0.147213	0.18713	0.192725	0.164028	0.0788507	0.0377547	0.0391794	0.0481927
a83	0.00998887	0.0113485	0.0182071	0.0330024	0.117319	0.163104	0.155762	0.163625	0.0969424	0.0700994	0.0702924	0.0903093
a88	0.0159473	0.0158946	0.0242561	0.0375384	0.12367	0.189083	0.19407	0.163758	0.0703947	0.0385061	0.0501655	0.0767157
a0	0.00751145	0.00841545	0.0137595	0.0240087	0.0933877	0.160462	0.20106	0.180179	0.112765	0.063241	0.0621004	0.0731094
a75	0.00908096	0.00929341	0.013298	0.0217839	0.0685822	0.121863	0.150872	0.151865	0.114845	0.104564	0.118957	0.114996
a21	0.00895441	0.00844301	0.0099975	0.0125714	0.0334416	0.0501798	0.0719794	0.073772	0.0881053	0.103412	0.189708	0.349436
a62	0.0093479	0.00994831	0.0140049	0.0181353	0.0505854	0.0584299	0.0805363	0.0931633	0.0971035	0.135391	0.200468	0.232886
a88	0.00344478	0.00368518	0.00496382	0.00742732	0.0225401	0.0318207	0.0445816	0.0556672	0.0688102	0.139205	0.305093	0.312761
a96	0.00194476	0.00204284	0.0028146	0.00461141	0.0167413	0.0278468	0.0363526	0.0460324	0.0618104	0.132913	0.289546	0.377344
a62	0.00135511	0.00141755	0.00191571	0.00297601	0.0106351	0.0163474	0.020216	0.0240581	0.042167	0.119571	0.324869	0.434472
a88	0.0012207	0.00112859	0.00128133	0.00165874	0.00469554	0.00753827	0.011918	0.0151698	0.0355371	0.120764	0.367102	0.431986
a71	0.000639954	0.000601875	0.000718835	0.0010086	0.00269538	0.00524829	0.008933	0.012534	0.0374931	0.116102	0.335112	0.478913
a62	0.00257351	0.00196517	0.00195451	0.00250688	0.00459117	0.00823824	0.0120039	0.0184723	0.0474483	0.106433	0.306152	0.487661
a47	0.00153294	0.00128634	0.00125503	0.00162361	0.00318742	0.00653939	0.0102468	0.0128667	0.0370589	0.0990418	0.311954	0.513407
a75	0.00758172	0.00763101	0.00730428	0.00889838	0.0117323	0.0197939	0.0264242	0.0387574	0.0600945	0.118837	0.298506	0.39444
a6	0.000626961	0.000501075	0.000455531	0.0005748	0.00116828	0.00273348	0.00524006	0.00661811	0.0170847	0.0531631	0.242746	0.669088
a36	0.00024424	0.000191746	0.00017622	0.000216631	0.000536051	0.0013709	0.00274187	0.00298111	0.00972985	0.0418513	0.246808	0.693152
a26	0.00224116	0.00205883	0.00208233	0.00252686	0.00333027	0.00695595	0.0123367	0.0138663	0.0289991	0.0822952	0.298892	0.544415
a30	0.0554213	0.0463372	0.0450974	0.044611	0.0517811	0.0637906	0.0613688	0.0593915	0.0612893	0.0768803	0.168324	0.265707
a87	0.183452	0.0963117	0.0705517	0.0503784	0.051662	0.0642534	0.0568559	0.0564321	0.0606794	0.0760097	0.0951554	0.138259
a23	0.165235	0.0920505	0.0596833	0.0392431	0.0320362	0.0519796	0.0688815	0.0912018	0.0819907	0.11171	0.0974728	0.108516
a87	0.16815	0.0707975	0.0341377	0.0190772	0.0108927	0.0139598	0.0225757	0.0260513	0.0426976	0.0948801	0.17595	0.32083
a23	0.0360053	0.0174186	0.0100114	0.00759788	0.00597884	0.00700945	0.010792	0.0122747	0.0284438	0.0772685	0.201183	0.586017
a97	0.0431309	0.0228881	0.0124113	0.00857049	0.00652791	0.00870426	0.0160229	0.0173891	0.0280909	0.0711922	0.222581	0.542491
</S>	0.0154568	0.00748019	0.00483179	0.00490586	0.00626426	0.00865376	0.0152296	0.0139617	0.03561	0.073836	0.208373	0.605397
