 	l'	habit	est	sale	</S>
a66	0.451798	0.227055	0.148741	0.0939442	0.0784612
a87	0.34615	0.241466	0.189816	0.130919	0.091648
a23	0.446478	0.239785	0.158138	0.0992583	0.0563403
a79	0.351492	0.219748	0.176758	0.148874	0.103129
a58	0.515645	0.189611	0.0987994	0.12474	0.0712044
a54	0.395107	0.235613	0.133706	0.153838	0.0817363
a47	0.307757	0.24558	0.155269	0.19225	0.0991427
a85	0.231953	0.195744	0.154331	0.237866	0.180106
a6	0.284428	0.223747	0.151525	0.174836	0.165463
a79	0.206919	0.175042	0.147938	0.229523	0.240577
a44	0.169937	0.166471	0.151119	0.229677	0.282796
a24	0.105975	0.135651	0.161557	0.243645	0.353173
a21	0.0585424	0.0874377	0.144338	0.239852	0.469829
a5	0.027607	0.0432718	0.0934775	0.196369	0.639275
a37	0.0199795	0.0324836	0.0779426	0.207133	0.662461
a18	0.0140786	0.0240794	0.0627295	0.229286	0.669827
a61	0.0205907	0.0335327	0.0835047	0.249659	0.612713
a88	0.0081357	0.0163964	0.0587151	0.269766	0.646987
a71	0.00875384	0.0199455	0.0833846	0.266609	0.621307
a9	0.0480306	0.0728668	0.13191	0.270447	0.476745
a10	0.226873	0.204056	0.184204	0.178354	0.206513
a87	0.3196	0.220566	0.187642	0.147439	0.124753
a10	0.246276	0.199154	0.204021	0.168188	0.18236
a87	0.155349	0.135496	0.189556	0.242056	0.277543
a23	0.111099	0.0993607	0.15837	0.264081	0.367089
a87	0.0530384	0.0591234	0.148359	0.273122	0.466357
</S>	0.0494928	0.0642728	0.157837	0.282434	0.445963
