 	c'	est	un	homme	très	bienfaisant	envers	les	gens	</S>
a23	0.35138	0.2671	0.139749	0.0705071	0.0352424	0.0320018	0.0209454	0.02431	0.0275408	0.0312234
a85	0.315308	0.201303	0.139933	0.105277	0.0591765	0.0468126	0.0402484	0.0297691	0.02846	0.0337133
a87	0.138028	0.125345	0.144721	0.162264	0.112154	0.111702	0.0716765	0.0457061	0.0373377	0.0510665
a23	0.121011	0.110158	0.143954	0.192616	0.148521	0.127513	0.0591592	0.0359337	0.0281247	0.03301
a40	0.105522	0.0757766	0.0778229	0.0851371	0.0871987	0.190977	0.11072	0.0790036	0.0760512	0.111791
a44	0.219815	0.225854	0.175988	0.105328	0.0805479	0.120872	0.0351678	0.0155505	0.00966221	0.0112131
a27	0.131858	0.159421	0.163547	0.152546	0.151357	0.171591	0.0464845	0.0127472	0.00566136	0.0047866
a38	0.101185	0.116832	0.1213	0.130028	0.174487	0.206309	0.0859136	0.0322386	0.0169345	0.0147728
a26	0.0914701	0.114165	0.117284	0.12822	0.164841	0.200251	0.0910629	0.0459407	0.0250847	0.0216813
a24	0.0947124	0.107462	0.118288	0.133429	0.169586	0.176795	0.109596	0.0502005	0.0231631	0.0167673
a96	0.0729688	0.0764685	0.103709	0.139179	0.176618	0.19547	0.128725	0.0628616	0.0262312	0.0177688
a69	0.0787734	0.080284	0.105994	0.140623	0.174524	0.187102	0.124168	0.0614736	0.0273319	0.0197262
a90	0.0434176	0.0459167	0.0700417	0.11885	0.193443	0.23433	0.156545	0.0729467	0.034959	0.0295507
a25	0.0401624	0.0428103	0.0647624	0.104046	0.160062	0.218447	0.183496	0.105246	0.0474106	0.0335566
a41	0.0536416	0.0564327	0.0732813	0.0979929	0.12357	0.172474	0.192392	0.125889	0.0584707	0.0458558
a32	0.0448852	0.0354149	0.035275	0.0480322	0.0875519	0.151495	0.237401	0.171044	0.0991424	0.0897583
a38	0.048595	0.0398702	0.036561	0.0393624	0.0544188	0.097826	0.244556	0.223545	0.119337	0.0959284
a75	0.0316601	0.0246035	0.0236424	0.0267194	0.0402387	0.0779353	0.226256	0.260256	0.158179	0.13051
a76	0.0383941	0.0292739	0.0214315	0.0203867	0.0320153	0.062491	0.180994	0.269716	0.180717	0.164581
a90	0.0162945	0.0147335	0.0144279	0.0177157	0.0338741	0.0586006	0.152151	0.27206	0.226264	0.193879
a38	0.0349439	0.0332905	0.0328791	0.0363759	0.0542327	0.0834966	0.127749	0.227327	0.196591	0.173115
a75	0.0206662	0.0158116	0.0135486	0.0154098	0.027558	0.047734	0.0885832	0.182789	0.254592	0.333308
a41	0.0244482	0.0159749	0.0131518	0.0148576	0.0283139	0.0456646	0.0974018	0.196823	0.265189	0.298175
a94	0.0132031	0.00875325	0.00822523	0.0106175	0.0219835	0.0355218	0.0827337	0.169109	0.275221	0.374632
a98	0.0112978	0.00738721	0.00666496	0.00851735	0.0178166	0.03167	0.0672668	0.133939	0.257267	0.458173
a73	0.0161064	0.0103807	0.00795892	0.00853595	0.0154601	0.026126	0.0566661	0.128428	0.276805	0.453533
a58	0.0109173	0.00612996	0.00563533	0.00736137	0.0140913	0.0248284	0.0524442	0.118215	0.268427	0.49195
a98	0.00555549	0.0027646	0.00232785	0.00344006	0.0082269	0.0186368	0.043977	0.109205	0.259696	0.54617
a41	0.0163998	0.00801263	0.00591244	0.00651087	0.0116531	0.0202295	0.0438434	0.104088	0.267091	0.516259
a36	0.022784	0.0110692	0.00861445	0.00877952	0.0134241	0.0186287	0.0349018	0.0923141	0.264989	0.524495
a94	0.00226774	0.00125998	0.00103786	0.00131106	0.0035593	0.00957414	0.0209383	0.0691246	0.242017	0.64891
a66	0.00351429	0.00152991	0.00123169	0.00161364	0.00363571	0.00843661	0.0211827	0.0694656	0.249178	0.640212
a25	0.00502601	0.00216033	0.00130844	0.00126831	0.00245508	0.0061238	0.0269695	0.0994827	0.281293	0.573913
a3	0.00632502	0.00313861	0.00216171	0.00191614	0.00330326	0.00771268	0.0282314	0.0992718	0.289772	0.558167
a87	0.00661924	0.00376301	0.00265506	0.00232038	0.00402301	0.00993699	0.0351085	0.118921	0.281948	0.534705
</S>	0.00809415	0.00641814	0.00457314	0.0038372	0.00560021	0.011665	0.0525039	0.150143	0.301015	0.456151
