 	il	a	tiré	trois	singes	à	l'	arc	</S>
a23	0.30585	0.249755	0.150811	0.078404	0.034616	0.0375888	0.0376156	0.0424876	0.0628719
a87	0.643476	0.155977	0.0257534	0.0218329	0.0215843	0.0223097	0.0221846	0.029504	0.0573782
a23	0.361901	0.196251	0.069087	0.0375238	0.0460963	0.049892	0.0512741	0.0715631	0.116412
a79	0.491021	0.189228	0.0582138	0.0306446	0.0198377	0.0114503	0.0140949	0.0411295	0.144379
a20	0.48189	0.237947	0.0757624	0.0336983	0.0126077	0.0136726	0.0168998	0.0343236	0.0931984
a30	0.397837	0.355943	0.110071	0.0446443	0.0172498	0.0164946	0.0164079	0.0162029	0.0251495
a2	0.21636	0.259161	0.217209	0.159527	0.0593654	0.0292505	0.0180441	0.0171244	0.0239589
a30	0.137472	0.140546	0.143699	0.12119	0.0651715	0.060513	0.0652772	0.0978578	0.168273
a73	0.0556858	0.0552478	0.0707994	0.108915	0.128931	0.103145	0.0849198	0.116841	0.275515
a2	0.112315	0.123576	0.123608	0.117931	0.0790803	0.0909494	0.0975972	0.10768	0.147263
a57	0.0755548	0.0936769	0.126688	0.158237	0.131852	0.149725	0.113468	0.0750731	0.0757242
a38	0.0738235	0.0696201	0.0702538	0.122269	0.12583	0.121437	0.090359	0.0991678	0.22724
a41	0.0691108	0.0787086	0.0835061	0.111842	0.129136	0.127438	0.0998136	0.108194	0.192251
a32	0.0266449	0.0392032	0.0711104	0.121182	0.2047	0.221785	0.138443	0.0862912	0.09064
a25	0.0274372	0.0339208	0.0617207	0.109651	0.200685	0.266808	0.1391	0.0735725	0.0871061
a87	0.0214453	0.0196035	0.0417811	0.106333	0.174557	0.199371	0.126453	0.098805	0.211651
a23	0.00727011	0.00515152	0.00994629	0.0392906	0.100552	0.167797	0.151877	0.149154	0.368962
a40	0.00848435	0.00645229	0.00830289	0.0274367	0.0671992	0.126265	0.141929	0.172372	0.441558
a41	0.00825758	0.0111815	0.0155904	0.0470301	0.0970477	0.135182	0.138794	0.195206	0.351711
a27	0.00490698	0.0063644	0.0213253	0.0774008	0.154266	0.235074	0.176967	0.150391	0.173305
a38	0.00718677	0.00571675	0.0101758	0.0313903	0.0855719	0.18977	0.180511	0.207718	0.281961
a41	0.0102846	0.00910522	0.0157341	0.0428134	0.100452	0.195652	0.157908	0.190481	0.277568
a56	0.0092735	0.0080504	0.0200293	0.0433525	0.0778173	0.188727	0.196284	0.214699	0.241767
a54	0.0142094	0.0171518	0.0307083	0.0461668	0.0652182	0.149332	0.188657	0.205528	0.28303
a14	0.00649338	0.00627244	0.0134791	0.0210166	0.0405321	0.0992493	0.151426	0.248899	0.412632
a0	0.00629062	0.00771183	0.027272	0.0574827	0.0804828	0.15461	0.181029	0.209352	0.275769
a11	0.00263946	0.00232581	0.00529218	0.0142003	0.0359119	0.098307	0.167919	0.253806	0.419599
a41	0.00554357	0.00543869	0.00937919	0.0150022	0.0297192	0.0830027	0.160607	0.270083	0.421224
a21	0.00212524	0.00191678	0.00586306	0.0180575	0.0360394	0.0937649	0.191381	0.284732	0.36612
a41	0.00545577	0.00506002	0.00870525	0.0172619	0.0294895	0.0675774	0.14093	0.314793	0.410727
a94	0.00254512	0.00234344	0.0072277	0.0210772	0.0430472	0.0928002	0.173749	0.287876	0.369334
a75	0.00234938	0.00196645	0.00499736	0.0136229	0.0289173	0.0710989	0.131242	0.28411	0.461696
a5	0.00488217	0.00483781	0.0111041	0.0229603	0.0355542	0.0792854	0.143843	0.296597	0.400936
a37	0.00493044	0.0041192	0.00732667	0.0168306	0.0294072	0.0613161	0.127742	0.293155	0.455173
a75	0.00178811	0.0017358	0.00531729	0.0145376	0.0205532	0.0416031	0.0981986	0.261695	0.554572
a21	0.00313195	0.00239815	0.00500088	0.0104018	0.0169089	0.0474606	0.113022	0.27851	0.523166
a41	0.00530936	0.00457104	0.00773868	0.0149157	0.0213147	0.0385328	0.084583	0.238258	0.584777
a75	0.00182624	0.00157587	0.00443034	0.00765374	0.00894772	0.0204878	0.0606886	0.224427	0.669963
a73	0.00337672	0.00303709	0.00580376	0.0115045	0.0198786	0.0507623	0.115638	0.27528	0.514719
a2	0.00167494	0.00122353	0.00324245	0.00836688	0.0130739	0.0291578	0.0652988	0.21885	0.659112
a57	0.000259013	0.000203671	0.000494963	0.00135316	0.00331861	0.00816376	0.0288677	0.192247	0.765092
a87	0.000566132	0.000284463	0.000236465	0.000563663	0.00176934	0.00601456	0.0244759	0.199908	0.766181
</S>	0.00125418	0.000866228	0.000856225	0.00204103	0.00505623	0.0152915	0.0461877	0.210901	0.717546
