 	sa	maladie	s'	est	intensifiée	</S>
a10	0.320942	0.196613	0.143991	0.160082	0.107749	0.0706237
a11	0.163821	0.137304	0.146737	0.205335	0.169015	0.177788
a62	0.360202	0.171507	0.11514	0.104089	0.110322	0.138741
a47	0.493321	0.236504	0.153988	0.0825914	0.0230737	0.0105219
a88	0.438136	0.28302	0.173879	0.0797662	0.0185987	0.00660042
a75	0.40935	0.306552	0.186225	0.0799656	0.0139799	0.00392724
a25	0.408339	0.303074	0.190008	0.0771066	0.0164456	0.00502701
a75	0.282029	0.287072	0.228973	0.143817	0.0425243	0.0155849
a21	0.252161	0.257666	0.225403	0.158125	0.067462	0.0391844
a85	0.219853	0.234252	0.23175	0.192212	0.078226	0.0437069
a73	0.122994	0.160332	0.181001	0.206941	0.166201	0.162532
a98	0.0941633	0.102323	0.113557	0.228896	0.217028	0.244032
a85	0.0885443	0.0932565	0.0987084	0.192009	0.230075	0.297406
a37	0.0559214	0.0618928	0.0784706	0.198588	0.292211	0.312916
a24	0.0829467	0.0766721	0.0712678	0.156185	0.28664	0.326288
a61	0.0392796	0.0437825	0.044198	0.116587	0.284026	0.472127
a0	0.0298271	0.0316726	0.0331885	0.0869214	0.271025	0.547366
a75	0.00741556	0.00932835	0.0136113	0.0455013	0.246508	0.677636
a66	0.0266656	0.0227214	0.0225921	0.0491224	0.173243	0.705655
a61	0.00414423	0.00432582	0.00729752	0.0209158	0.123303	0.840013
a21	0.00201691	0.00246289	0.00409269	0.0154743	0.109104	0.866849
a47	0.00676764	0.00689399	0.00849498	0.0243567	0.135782	0.817705
a61	0.00457408	0.00501029	0.00861985	0.031587	0.173865	0.776344
a83	0.00194482	0.00231808	0.00426721	0.0186706	0.124018	0.848781
a75	0.00371514	0.00418391	0.00675005	0.0237972	0.150826	0.810728
a36	0.00266961	0.0029059	0.0056787	0.0246893	0.151221	0.812835
a2	0.00732733	0.00605112	0.00791802	0.0209911	0.135927	0.821786
a57	0.104967	0.055644	0.0518224	0.0771418	0.180477	0.529949
a87	0.156748	0.107136	0.0805238	0.128451	0.201463	0.325679
a23	0.18243	0.114474	0.0683594	0.115175	0.205896	0.313665
a87	0.0814504	0.0479798	0.0387553	0.0951812	0.237125	0.499508
</S>	0.0332207	0.0264719	0.0284195	0.0878845	0.237895	0.586108
