 	la	mère	a	donné	un	coup	de	bâton	à	son	enfant	</S>
a66	0.218687	0.139087	0.105373	0.0976382	0.0884413	0.0631188	0.0712824	0.0875048	0.0629715	0.0325819	0.0184952	0.0148182
a87	0.221529	0.158	0.113202	0.0924197	0.076345	0.0726994	0.0615356	0.0508004	0.044046	0.0352507	0.0338585	0.0403137
a23	0.343353	0.234043	0.127326	0.0664432	0.0476522	0.0413566	0.0279929	0.0184149	0.019473	0.0184697	0.0229467	0.032529
a10	0.274249	0.198371	0.130306	0.0851487	0.0746685	0.0730101	0.0360921	0.0199563	0.0195042	0.0217473	0.0278314	0.039116
a87	0.261819	0.19103	0.122557	0.0849022	0.080084	0.0766386	0.0390096	0.0247673	0.0229378	0.0244295	0.0308304	0.0409944
a23	0.242124	0.194002	0.127784	0.0927552	0.0908124	0.082783	0.0401814	0.0239795	0.0208452	0.0215989	0.027334	0.0358007
a57	0.239848	0.18273	0.111492	0.0790413	0.0824363	0.0681072	0.0327511	0.0251751	0.0268408	0.0343533	0.049229	0.067996
a53	0.211118	0.190482	0.130064	0.0975494	0.100352	0.0758845	0.0328179	0.0224726	0.0221224	0.0282361	0.0391953	0.0497069
a69	0.22275	0.190316	0.146698	0.110649	0.115356	0.0782547	0.0398449	0.0301262	0.0215139	0.0158829	0.0141848	0.0144226
a20	0.123534	0.137789	0.147356	0.131155	0.153575	0.136705	0.0624831	0.0366512	0.0250006	0.0167112	0.0144748	0.0145658
a15	0.108714	0.124025	0.143907	0.13998	0.159169	0.130512	0.073084	0.0442735	0.0282068	0.0176794	0.0152142	0.0152354
a0	0.0743426	0.0892572	0.126521	0.134539	0.150844	0.128444	0.0900611	0.0649123	0.0431753	0.0328233	0.0316562	0.0334246
a98	0.0403672	0.0531013	0.0915195	0.116186	0.140751	0.131705	0.103242	0.0743491	0.0552088	0.0519282	0.0628575	0.0787847
a79	0.054934	0.069899	0.109394	0.122657	0.133903	0.117007	0.119359	0.0922232	0.0553581	0.0399933	0.0400718	0.0452011
a37	0.0436261	0.0558913	0.0915646	0.107419	0.115937	0.10605	0.14295	0.117369	0.0691401	0.0470893	0.0473543	0.0556094
a61	0.0498596	0.0476682	0.0675517	0.0783728	0.0780846	0.0678851	0.106438	0.103939	0.0802797	0.0741257	0.102115	0.143681
a96	0.0328535	0.0275711	0.0336451	0.0387858	0.0378878	0.0398204	0.0793615	0.115513	0.133756	0.119406	0.145991	0.195409
a15	0.0302101	0.0236926	0.0283593	0.0331004	0.03367	0.035013	0.0603288	0.0991788	0.134953	0.136125	0.166057	0.219312
a44	0.0101708	0.00876327	0.0105818	0.0122897	0.0116803	0.0107117	0.0258262	0.0579082	0.104983	0.158643	0.231283	0.357159
a96	0.00735515	0.00622839	0.00710178	0.00785225	0.00784108	0.00774685	0.0168306	0.0358756	0.0712456	0.151455	0.266016	0.414452
a66	0.0115552	0.00973449	0.0103747	0.0112066	0.0109584	0.0108667	0.0227591	0.0462979	0.0894524	0.169581	0.25899	0.348224
a71	0.00890092	0.00870436	0.0079847	0.00758747	0.00672225	0.00590104	0.0119359	0.0217869	0.0449271	0.117566	0.276569	0.481414
a38	0.00811189	0.00770312	0.00745027	0.00704984	0.00594246	0.00478369	0.00834255	0.0144549	0.0300867	0.090033	0.26201	0.554032
a53	0.00671514	0.00636572	0.00560833	0.00542658	0.0046248	0.00420448	0.00792966	0.0153759	0.0360562	0.0972395	0.257651	0.552802
a15	0.00135916	0.00130226	0.00113265	0.00101628	0.000822518	0.000736587	0.0022565	0.00662816	0.0239482	0.102328	0.298355	0.560115
a7	0.000535419	0.000514166	0.000495739	0.000454697	0.000377295	0.000356984	0.00131612	0.00435638	0.0178671	0.0836816	0.284033	0.606012
a84	0.00168315	0.00208285	0.00204629	0.00188341	0.00169034	0.00148592	0.00388814	0.00877022	0.0242306	0.0833075	0.268766	0.600165
a57	0.0498079	0.0428266	0.0398421	0.0344268	0.0311382	0.0263021	0.0388773	0.0539866	0.0829251	0.119351	0.185347	0.295169
a87	0.213407	0.132352	0.0814027	0.0465292	0.0354813	0.0289743	0.0347026	0.0392452	0.0565951	0.0764107	0.10562	0.14928
a10	0.25959	0.159022	0.0970607	0.0519351	0.039666	0.0295009	0.0312557	0.0328458	0.0462084	0.0658166	0.0857412	0.101357
a87	0.217787	0.173316	0.115219	0.0669187	0.0583057	0.0508242	0.0348994	0.0269273	0.0333397	0.0493595	0.0741148	0.0989882
a23	0.191756	0.149705	0.0955869	0.0559285	0.0472067	0.0405322	0.0327983	0.0293624	0.0430921	0.0686605	0.103406	0.141965
a87	0.068141	0.0512424	0.041519	0.0257448	0.0185013	0.0163715	0.0235886	0.028979	0.0626297	0.133783	0.22563	0.303869
</S>	0.0268431	0.0236806	0.0181214	0.011423	0.00908257	0.00926714	0.0188072	0.0321868	0.0685788	0.133418	0.248671	0.39992
