 	nous	venons	de	cueillir	les	fruits	sauvages	dans	la	plaine	</S>
a23	0.413977	0.154057	0.0957895	0.0795188	0.0738603	0.066491	0.0462079	0.032071	0.0173437	0.0118277	0.00885631
a0	0.351864	0.258621	0.173073	0.0865767	0.0412389	0.0182146	0.0134841	0.0136546	0.0146171	0.0140191	0.0146373
a75	0.100219	0.113056	0.140072	0.122572	0.076308	0.0348106	0.0227938	0.0324278	0.051584	0.110772	0.195384
a56	0.348846	0.165329	0.139933	0.118187	0.0695724	0.0487559	0.0296044	0.0271432	0.0211862	0.017495	0.0139482
a25	0.184599	0.177123	0.218277	0.189982	0.111392	0.0499691	0.0195419	0.0126001	0.0101592	0.0124273	0.0139307
a79	0.153601	0.100066	0.127169	0.143083	0.129399	0.119991	0.0622369	0.0451218	0.0351904	0.0401654	0.0439761
a44	0.0962609	0.11689	0.176523	0.168598	0.131712	0.109619	0.0539179	0.0366853	0.0282846	0.0341738	0.0473352
a56	0.065848	0.0789576	0.167493	0.162493	0.156589	0.118428	0.063225	0.0441133	0.0366652	0.0444541	0.0617346
a12	0.0340147	0.061408	0.159181	0.175425	0.180149	0.126087	0.0652985	0.046438	0.038096	0.0484888	0.0654141
a47	0.0327363	0.0470232	0.121583	0.178736	0.208372	0.143498	0.0775037	0.0512836	0.0395836	0.0438418	0.0558394
a31	0.0417464	0.0433004	0.0840444	0.13846	0.178363	0.142098	0.101041	0.0732805	0.0595022	0.0628356	0.075328
a0	0.0337546	0.0341007	0.0610653	0.107664	0.181274	0.150054	0.106606	0.08955	0.0751985	0.0773636	0.0833695
a75	0.0197227	0.026654	0.043955	0.0842975	0.155481	0.173448	0.140031	0.0966745	0.0772915	0.0864336	0.0960117
a56	0.037809	0.0288523	0.035213	0.0487938	0.072343	0.0787468	0.0859607	0.110733	0.136603	0.178002	0.186944
a75	0.0133269	0.015095	0.0193395	0.0324406	0.0556723	0.0819818	0.117639	0.141763	0.137812	0.171674	0.213256
a56	0.017654	0.0153448	0.0145908	0.0258423	0.0439279	0.055261	0.0741588	0.102341	0.140041	0.21844	0.292398
a25	0.00789163	0.00809213	0.00832348	0.0134216	0.0244233	0.0356472	0.0659438	0.131884	0.165295	0.239435	0.299644
a90	0.00804223	0.0077405	0.00725375	0.0125545	0.0196131	0.026719	0.0456762	0.11024	0.175946	0.258283	0.327931
a69	0.0031399	0.00272627	0.00293829	0.00701176	0.0142162	0.022723	0.046735	0.110764	0.170412	0.257931	0.361402
a53	0.000738914	0.000872143	0.00116627	0.00328561	0.00690559	0.0113029	0.0249091	0.066404	0.141865	0.274045	0.468505
a4	0.00085802	0.00108568	0.00127929	0.0029416	0.00648997	0.0110815	0.0268109	0.0603821	0.147005	0.291514	0.450552
a58	0.0026909	0.00367997	0.00366551	0.00710704	0.0126349	0.0166641	0.031656	0.0693551	0.14966	0.273684	0.429202
a57	0.00113345	0.00154103	0.0013111	0.0020374	0.00379884	0.00671518	0.0148753	0.0422977	0.117678	0.286818	0.521794
a82	0.00830088	0.00702461	0.0047045	0.00506889	0.00507807	0.00795967	0.0159257	0.050909	0.136599	0.276712	0.481718
a87	0.0388784	0.0374249	0.0269634	0.0269559	0.0292207	0.0352815	0.0539553	0.0939056	0.153251	0.202507	0.301656
a23	0.090217	0.127631	0.0977054	0.104047	0.101034	0.108122	0.0822247	0.0754156	0.0745189	0.068136	0.0709497
a99	0.0144437	0.0266707	0.0215734	0.0270017	0.0334194	0.0663525	0.0798587	0.155879	0.228984	0.207707	0.138109
a97	0.00592973	0.0167205	0.0155448	0.0235462	0.0378191	0.0575731	0.061907	0.100126	0.180932	0.232956	0.266946
a87	0.00248844	0.00989515	0.00758561	0.0174668	0.0347465	0.0498468	0.0508461	0.0845222	0.165977	0.259869	0.316756
a97	0.0035697	0.0139973	0.00999404	0.021649	0.0358451	0.0491525	0.0484487	0.0848582	0.167947	0.256119	0.30842
</S>	0.0199141	0.0597302	0.0414994	0.060917	0.0657394	0.0689745	0.0589609	0.0778716	0.127478	0.172581	0.246334
