 	je	suis	jaloux	de	ma	femme	</S>
a85	0.380234	0.205479	0.176593	0.121384	0.0628305	0.0334455	0.0200345
a66	0.293799	0.200659	0.186666	0.119057	0.0764593	0.0622175	0.061143
a87	0.303208	0.231416	0.177666	0.0932714	0.060031	0.0548509	0.0795565
a10	0.40405	0.305247	0.185627	0.0458534	0.023381	0.0175646	0.0182768
a87	0.431317	0.311608	0.17389	0.0367053	0.0196918	0.0135952	0.0131931
a23	0.388234	0.301325	0.201463	0.0480047	0.0248254	0.0183721	0.0177766
a18	0.371043	0.306297	0.219096	0.0484747	0.0231836	0.0158544	0.0160506
a62	0.253126	0.232027	0.141294	0.0792918	0.0806397	0.0976331	0.115988
a61	0.276906	0.359539	0.208877	0.0600316	0.0288938	0.0282835	0.0374687
a21	0.292657	0.398062	0.212816	0.0475899	0.0175688	0.0141452	0.0171612
a75	0.266515	0.379713	0.251513	0.0574681	0.0179384	0.0125223	0.0143308
a21	0.219299	0.365044	0.279911	0.0761966	0.0254204	0.0160726	0.0180561
a5	0.186557	0.299926	0.281073	0.110578	0.0478663	0.0339333	0.0400662
a43	0.166357	0.245804	0.270946	0.140531	0.0673798	0.0494315	0.0595513
a75	0.0890483	0.13564	0.203627	0.172924	0.116115	0.116517	0.166128
a25	0.0670282	0.0881303	0.177486	0.191689	0.159027	0.144597	0.172043
a56	0.0458115	0.0603422	0.114274	0.179492	0.201836	0.185689	0.212556
a92	0.0330804	0.0401822	0.0819273	0.167258	0.224952	0.222605	0.229995
a6	0.0174271	0.0183582	0.0426052	0.113742	0.187132	0.247973	0.372763
a56	0.00660004	0.00659362	0.0131713	0.0522628	0.15615	0.282077	0.483145
a75	0.00813356	0.00785691	0.0145457	0.0527941	0.14715	0.29231	0.47721
a92	0.00649609	0.00705085	0.01321	0.0440244	0.146719	0.289883	0.492616
a37	0.0029803	0.00354102	0.00689042	0.0248308	0.113308	0.288973	0.559476
a75	0.000873988	0.000827757	0.0013233	0.00617162	0.047006	0.229059	0.714738
a6	0.00124867	0.0013383	0.00269486	0.0139551	0.0854047	0.273385	0.621973
a36	0.000502453	0.000518477	0.000942916	0.00627283	0.0505921	0.23068	0.710491
a2	0.000667432	0.000518219	0.000647792	0.00452482	0.0342834	0.200023	0.759335
a57	0.0163539	0.0167743	0.0165099	0.0524902	0.116353	0.242163	0.539356
a87	0.172045	0.119688	0.0898765	0.0894661	0.111585	0.153259	0.26408
a23	0.258576	0.183314	0.105622	0.0840163	0.0966754	0.119169	0.152628
a87	0.118096	0.0718573	0.0448944	0.0701896	0.123536	0.241453	0.329974
a23	0.0144414	0.0137584	0.0160146	0.0476044	0.119517	0.275033	0.513631
a87	0.0233064	0.0216362	0.0229431	0.0628335	0.142856	0.288428	0.437997
</S>	0.0179275	0.0184573	0.0267983	0.0831351	0.148109	0.264324	0.441249
