 	les	chenilles	restent	sur	l'	arbre	de	fer	</S>
a66	0.297207	0.180216	0.0941647	0.0825728	0.0801154	0.0907177	0.0940998	0.056184	0.0247226
a87	0.458488	0.249502	0.11133	0.0671451	0.0421667	0.0337942	0.0195067	0.0105489	0.00751869
a23	0.266976	0.258589	0.232912	0.139597	0.0421028	0.0225442	0.0151321	0.012436	0.00971143
a97	0.204715	0.226036	0.279656	0.183383	0.041859	0.0170467	0.0104895	0.0145695	0.022246
a23	0.256726	0.256369	0.237353	0.160167	0.038431	0.016999	0.0101985	0.0107546	0.0130016
a30	0.276151	0.255895	0.212536	0.139743	0.0405207	0.0203439	0.0145568	0.0177009	0.0225528
a93	0.228677	0.266088	0.263713	0.137924	0.039834	0.02045	0.0136127	0.0145948	0.0151061
a56	0.127089	0.174117	0.260676	0.208742	0.101697	0.045968	0.0317752	0.0286597	0.0212766
a21	0.0670287	0.105967	0.169371	0.19296	0.175778	0.0972924	0.0741643	0.0692449	0.0481931
a92	0.0443528	0.0667511	0.102883	0.173582	0.23389	0.145501	0.0937818	0.0806524	0.0586057
a98	0.0551037	0.0572956	0.0673288	0.123873	0.212544	0.175014	0.124412	0.107239	0.0771899
a92	0.0630978	0.0619905	0.0674487	0.111645	0.178033	0.164743	0.130075	0.122827	0.10014
a21	0.0583036	0.0389717	0.0367191	0.0754225	0.138004	0.172055	0.190172	0.169192	0.12116
a12	0.0298406	0.0188416	0.0180388	0.0444887	0.0819922	0.120253	0.208816	0.242	0.235729
a96	0.0128686	0.00721923	0.00710213	0.0205577	0.0494306	0.0923439	0.189023	0.259565	0.361889
a93	0.00904609	0.00558444	0.00554986	0.0126803	0.0332248	0.0794745	0.169557	0.273904	0.410979
a70	0.0057302	0.0037175	0.00386269	0.00872887	0.0226105	0.0549534	0.121454	0.259492	0.519451
a66	0.00270939	0.00214931	0.00227331	0.00379567	0.0093244	0.0296985	0.0909124	0.229342	0.629795
a70	0.00102657	0.00134076	0.00185346	0.00235602	0.00671042	0.0240706	0.0742573	0.206	0.682385
a13	0.00161348	0.00171427	0.00182787	0.00207192	0.00605223	0.021403	0.0754064	0.219085	0.670826
a9	0.00393221	0.00326352	0.00306522	0.00398923	0.0138135	0.0406223	0.108755	0.226331	0.596228
a3	0.0823602	0.0559618	0.0478948	0.0464591	0.0523733	0.0826003	0.112417	0.16288	0.357053
a97	0.274035	0.14624	0.0877728	0.078339	0.0549741	0.0707373	0.0853178	0.0891411	0.113442
a3	0.247077	0.172533	0.118764	0.105794	0.0732138	0.0800689	0.0780789	0.0643982	0.0600728
a97	0.190362	0.140018	0.103086	0.084095	0.0611801	0.0819436	0.106229	0.118829	0.114256
</S>	0.121831	0.0980782	0.0788897	0.0685901	0.0648962	0.0864696	0.126996	0.172228	0.182021
