 	les	jeunes	gens	font	de	la	propagande	pour	l'	église	qu'	ils	viennent	d'	implanter	ici	dans	le	village	</S>
a87	0.0864265	0.0723882	0.0568869	0.0698279	0.0717689	0.100706	0.21256	0.108664	0.0647987	0.0376145	0.0237282	0.0127428	0.0127318	0.0112532	0.0121214	0.00970701	0.00804189	0.00778718	0.00929108	0.0109535
a97	0.108052	0.0527823	0.0333134	0.0253205	0.0287324	0.0325371	0.0437463	0.0524019	0.041084	0.0291797	0.0258438	0.0203226	0.0245832	0.0268336	0.0462393	0.0574016	0.0579413	0.07081	0.095519	0.127356
a87	0.112756	0.070188	0.0476018	0.0403387	0.0422432	0.0456813	0.0565085	0.0351767	0.0271556	0.0218705	0.0227235	0.0186503	0.0258136	0.0264227	0.0362792	0.060869	0.0561236	0.0639357	0.0788203	0.110842
a97	0.10337	0.0589131	0.0351773	0.0342286	0.0310209	0.0359098	0.0510488	0.0412295	0.0355898	0.0315765	0.0364376	0.0306106	0.0455168	0.0444633	0.0496164	0.0737979	0.0629902	0.0595819	0.0624414	0.0764797
a87	0.114124	0.0658454	0.037759	0.0399718	0.0357202	0.0366418	0.0487908	0.0472144	0.0404001	0.0351231	0.0396915	0.0282771	0.0446101	0.0409684	0.0467437	0.0739664	0.0615263	0.0541852	0.0512812	0.0571598
a57	0.0891871	0.0511708	0.0287169	0.0310992	0.0307634	0.0330154	0.036866	0.0415978	0.0360377	0.0320378	0.039908	0.0277668	0.0458632	0.0414826	0.0501603	0.096093	0.0816705	0.0730911	0.0688414	0.0646311
a10	0.100126	0.0571767	0.0341175	0.0431043	0.0423447	0.0405774	0.0314168	0.0378682	0.0377879	0.0319552	0.0404093	0.0283249	0.0448654	0.0399492	0.0485767	0.0903929	0.0739055	0.0656769	0.0574285	0.0539961
a87	0.0655735	0.0414954	0.0321235	0.0555316	0.0611544	0.0612429	0.0317377	0.0413415	0.0450717	0.0325538	0.0443857	0.0328597	0.0498186	0.0429886	0.0468068	0.078666	0.065541	0.0613223	0.0549603	0.0548252
a40	0.0662014	0.0462142	0.0319362	0.0495005	0.0512128	0.0506531	0.0279974	0.0329622	0.034833	0.0280909	0.0374222	0.0292669	0.0418499	0.037638	0.0440212	0.0871793	0.0797423	0.0794318	0.0745363	0.0693104
a2	0.204566	0.159189	0.0750373	0.0536776	0.0369599	0.0313044	0.0523471	0.0251432	0.0215957	0.02141	0.0254882	0.0202897	0.0252776	0.0226354	0.0260835	0.0472556	0.0388133	0.0362379	0.0370345	0.0396545
a57	0.172156	0.136766	0.076894	0.0745671	0.059821	0.0567938	0.0975708	0.0330739	0.0236818	0.0197817	0.0226393	0.0171237	0.0185383	0.0152104	0.0186561	0.0309678	0.0273209	0.0283377	0.033677	0.0364222
a10	0.0575143	0.0614279	0.0559742	0.0699593	0.0623769	0.0619731	0.0785853	0.0399638	0.034132	0.032646	0.0385003	0.0377153	0.0386273	0.0330537	0.0343232	0.0414879	0.0419882	0.0474013	0.0610139	0.0713361
a75	0.0326943	0.0333936	0.0334977	0.0540721	0.0571296	0.0612298	0.0553715	0.0363473	0.0373625	0.0350561	0.0467557	0.0515661	0.056026	0.051523	0.0509834	0.0531229	0.0508118	0.0560881	0.0692074	0.0777611
a21	0.0572232	0.0703665	0.0733337	0.0838656	0.0851678	0.0883679	0.122541	0.0566978	0.041802	0.0358428	0.0335482	0.0313874	0.0275731	0.0261534	0.0265004	0.0253932	0.0231182	0.0254781	0.0304765	0.0351636
a66	0.0873181	0.101369	0.0925983	0.121641	0.122567	0.114956	0.132954	0.0479925	0.0336815	0.0262943	0.0197384	0.0161187	0.0125049	0.011414	0.0112374	0.00932932	0.00763416	0.00814685	0.0101629	0.0123416
a98	0.0436093	0.0636778	0.0714434	0.0943887	0.104233	0.108095	0.158322	0.0671097	0.0478341	0.0399929	0.0335568	0.0291791	0.0246135	0.0215553	0.0206375	0.0156645	0.0129171	0.0125613	0.0144416	0.0161675
a47	0.0360008	0.0664015	0.0807892	0.0937433	0.0899437	0.0861983	0.121631	0.0593687	0.0455219	0.0456754	0.0381329	0.0356389	0.0289152	0.0302906	0.0361228	0.0245113	0.020049	0.0189527	0.0197462	0.0223668
a41	0.0279722	0.0556888	0.0929972	0.109073	0.10554	0.103134	0.12525	0.0595459	0.0458831	0.0404497	0.0312904	0.0274116	0.0201787	0.0209313	0.0278573	0.0202869	0.0190196	0.0199662	0.0223787	0.0251464
a27	0.0193838	0.0344051	0.0678268	0.0893714	0.0990442	0.11408	0.130071	0.0732762	0.0558931	0.0437191	0.0349047	0.030517	0.0245885	0.0233598	0.0301457	0.0232913	0.0235763	0.0247533	0.028016	0.0297768
a57	0.00627597	0.0124574	0.0332452	0.0734351	0.126525	0.158389	0.098681	0.0814126	0.0658691	0.0471972	0.0408178	0.0367929	0.0313454	0.029319	0.0310764	0.0238247	0.0221594	0.0237376	0.0265931	0.030846
a38	0.00534517	0.00911232	0.0228506	0.0665521	0.150345	0.213451	0.110082	0.076731	0.066886	0.0513447	0.0360122	0.037943	0.0276683	0.0249538	0.0186377	0.0129062	0.0115458	0.0144854	0.0184688	0.0246781
a75	0.00582666	0.0110767	0.0279473	0.0660599	0.109063	0.149268	0.0790097	0.0752978	0.075122	0.0569577	0.0480919	0.0501459	0.0375556	0.0344312	0.0303586	0.0220372	0.0211266	0.0257042	0.0329914	0.0419292
a85	0.0102424	0.0172281	0.0385934	0.0713061	0.0907064	0.109865	0.090368	0.0539699	0.0496174	0.0457438	0.0380315	0.0490329	0.0390851	0.0448303	0.0595824	0.0343485	0.03299	0.0357112	0.0405294	0.0482179
a44	0.0149756	0.02417	0.0473401	0.0687916	0.0839333	0.103518	0.0959356	0.0540201	0.0452363	0.0433881	0.0334882	0.0402052	0.0314096	0.0389555	0.0624574	0.034812	0.0347619	0.0389156	0.0458631	0.057823
a38	0.00729176	0.0125399	0.0289553	0.0496345	0.0713896	0.108336	0.0942503	0.0879862	0.0751217	0.0599458	0.0496969	0.0468646	0.0406971	0.0405621	0.0538359	0.0335979	0.0312391	0.0320197	0.0358869	0.0401487
a11	0.00711971	0.0108159	0.0213044	0.0371197	0.0543779	0.0893471	0.0650968	0.069098	0.0655769	0.0589025	0.0499585	0.053843	0.0426591	0.0457078	0.0659879	0.0393261	0.0415983	0.0494916	0.0611199	0.0715488
a70	0.00931642	0.0142891	0.0245362	0.0386996	0.0591923	0.0959784	0.094708	0.0931507	0.0789411	0.0768872	0.0564992	0.0524873	0.0416728	0.0419198	0.0552408	0.0326192	0.027622	0.02927	0.0349488	0.0420211
a66	0.00952012	0.0140163	0.0241287	0.0368574	0.056572	0.0920595	0.0865477	0.0946378	0.0872888	0.0872457	0.0657472	0.0587462	0.0456902	0.0461604	0.061007	0.032632	0.0244302	0.0235756	0.024939	0.0281984
a70	0.00279383	0.00445516	0.0111806	0.0210323	0.046523	0.0902688	0.0614436	0.0994482	0.110628	0.0965581	0.0796158	0.0687779	0.0532575	0.0541902	0.0626836	0.0295267	0.0216764	0.0233102	0.027247	0.0353834
a9	0.00461495	0.00738319	0.016825	0.0296485	0.045411	0.0742428	0.0602456	0.0811889	0.0887019	0.0840982	0.0723434	0.0707408	0.0598523	0.061318	0.0741704	0.0367907	0.0300936	0.0305887	0.0335718	0.0381702
a10	0.00196304	0.00302299	0.00711885	0.0155831	0.0414042	0.0965411	0.049265	0.100494	0.12463	0.106621	0.0819338	0.0798289	0.0546837	0.0577193	0.0609937	0.0227743	0.0169514	0.0196835	0.0238752	0.0349133
a75	0.00293548	0.00384984	0.00762854	0.0162886	0.0451189	0.113223	0.0575302	0.111173	0.130976	0.115617	0.0734941	0.07107	0.0506109	0.0506247	0.0453386	0.0188334	0.0128516	0.0145559	0.0205512	0.0377289
a44	0.00855754	0.0109322	0.0184338	0.0367234	0.0628408	0.0931629	0.0483756	0.0488287	0.0507728	0.0427059	0.043324	0.0543538	0.0435515	0.0465159	0.0649941	0.0432793	0.0462709	0.0581996	0.0797165	0.0984607
a98	0.00423075	0.00648943	0.0137932	0.0260454	0.0422108	0.0672428	0.0489084	0.0599222	0.0681452	0.0669179	0.0628499	0.0706293	0.057947	0.0633063	0.0894129	0.0507568	0.044801	0.0459664	0.0514683	0.058956
a85	0.0102429	0.0150286	0.0266094	0.0421083	0.0553321	0.0726227	0.0411691	0.046033	0.0535316	0.0488084	0.0462051	0.0544607	0.043291	0.0510067	0.0813794	0.0447764	0.0456889	0.0565485	0.0726675	0.0924895
a96	0.016579	0.0228758	0.0381227	0.0516474	0.0649895	0.0851921	0.0577446	0.0535223	0.0551255	0.04769	0.0403852	0.0413035	0.0345579	0.0394982	0.0652793	0.0398701	0.0387128	0.0476802	0.0662145	0.0930094
a75	0.00502619	0.00726334	0.0129043	0.0206574	0.0354207	0.0598676	0.0570712	0.0620005	0.0682982	0.0718133	0.0627515	0.0706761	0.0539069	0.0591277	0.0881533	0.0461142	0.0428575	0.0465943	0.0546972	0.0747985
a37	0.0124189	0.0167038	0.0275828	0.0456495	0.0610602	0.0791821	0.0460184	0.0436683	0.0497762	0.0452537	0.0450467	0.0522729	0.0432126	0.0494122	0.0790415	0.0470321	0.0463347	0.0540267	0.0662737	0.090033
a70	0.00490378	0.00671006	0.0111921	0.01869	0.029784	0.0470328	0.0413224	0.0431762	0.0537742	0.0619377	0.0608678	0.0763743	0.0575743	0.0667571	0.0926498	0.0489509	0.0493734	0.0585464	0.0706673	0.0997153
a75	0.00370215	0.00478379	0.00719779	0.0100631	0.0170397	0.0311558	0.0274031	0.0367958	0.0546714	0.0675323	0.0652253	0.0957767	0.0672354	0.0820572	0.0979722	0.044989	0.051338	0.0627316	0.072898	0.0994317
a47	0.00602981	0.00742931	0.012927	0.0254708	0.0381293	0.0490863	0.0240933	0.0307984	0.0421952	0.0430773	0.0511513	0.0678776	0.0554887	0.0648386	0.0944512	0.0600459	0.0593208	0.0679834	0.083977	0.115629
