 	nous	ne	sommes	pas	encore	allés	en	ville	</S>
a23	0.341487	0.143554	0.0744553	0.0563023	0.0986783	0.124561	0.0708551	0.0473987	0.0427082
a38	0.341191	0.182073	0.138114	0.102221	0.0660283	0.0582286	0.0370024	0.0348408	0.0403004
a26	0.414162	0.228892	0.155249	0.0690706	0.0365329	0.0381515	0.0181989	0.0176253	0.0221172
a43	0.426628	0.27044	0.155781	0.0730377	0.0364938	0.0232923	0.00653289	0.00407944	0.00371547
a75	0.266007	0.244257	0.220892	0.127905	0.0723655	0.0372081	0.0139641	0.00891452	0.00848701
a35	0.215222	0.224271	0.227675	0.152898	0.0866897	0.0466803	0.0202361	0.01329	0.0130375
a41	0.206705	0.22641	0.223662	0.159855	0.0951911	0.0475981	0.0181501	0.0115935	0.0108351
a43	0.203326	0.203934	0.172808	0.155642	0.119872	0.0736261	0.0328912	0.0207478	0.0171531
a75	0.115532	0.135883	0.143078	0.202483	0.17795	0.109031	0.0506042	0.035138	0.0303017
a30	0.0990206	0.108481	0.107807	0.191318	0.19368	0.127111	0.0713715	0.0539967	0.0472139
a35	0.101615	0.0994268	0.0788723	0.139828	0.190695	0.13722	0.097164	0.0793424	0.0758353
a94	0.096702	0.092621	0.0718042	0.121909	0.192915	0.14409	0.1025	0.0906643	0.0867944
a66	0.0800369	0.0727326	0.0562041	0.0845115	0.160198	0.146906	0.13104	0.132502	0.13587
a24	0.0425137	0.0412965	0.0327713	0.0528097	0.125253	0.159326	0.174752	0.186722	0.184555
a41	0.0464287	0.047649	0.0400632	0.0653133	0.113766	0.123021	0.152004	0.194661	0.217094
a35	0.0569403	0.0472942	0.0361119	0.0453368	0.0973587	0.133887	0.163505	0.202263	0.217303
a73	0.0496337	0.0408504	0.031621	0.0326626	0.0631607	0.106608	0.164554	0.234171	0.276738
a44	0.0523641	0.0360794	0.0255112	0.0246849	0.0472366	0.0917318	0.161362	0.247475	0.313555
a38	0.012338	0.00834498	0.00642811	0.00815095	0.0180181	0.038585	0.125003	0.311902	0.47123
a98	0.0136208	0.00802528	0.00554869	0.00672616	0.0147397	0.0343007	0.112165	0.307119	0.497755
a14	0.0136319	0.00890219	0.00593528	0.00963572	0.0209885	0.0476972	0.142223	0.306846	0.44414
a26	0.0106878	0.00677816	0.00439866	0.00770466	0.0156281	0.0335938	0.119252	0.307542	0.494415
a57	0.00973519	0.00586397	0.00363499	0.00527818	0.0113243	0.0267254	0.0929111	0.289751	0.554776
a40	0.0114358	0.00738521	0.00534509	0.00667926	0.0134236	0.0381035	0.111879	0.292098	0.51365
a75	0.00909743	0.0063729	0.00421583	0.00655562	0.0145431	0.039265	0.123071	0.285902	0.510977
a14	0.00464457	0.00394377	0.00300997	0.00667736	0.0138003	0.0255174	0.0945181	0.286174	0.561714
a30	0.00604669	0.00398825	0.00260608	0.00449746	0.00935465	0.0252817	0.0997296	0.298198	0.550298
a57	0.00855597	0.00550488	0.00378431	0.00424451	0.00786209	0.0245894	0.0954388	0.298327	0.551693
a87	0.0401189	0.0273892	0.0203003	0.0263857	0.0392667	0.0635411	0.113244	0.256447	0.413306
a23	0.0186106	0.0147102	0.012209	0.0186126	0.0391089	0.0751283	0.138623	0.274247	0.40875
a87	0.0687511	0.0620337	0.0503935	0.0694527	0.0881987	0.0980914	0.144758	0.196243	0.222078
</S>	0.0219924	0.0178164	0.0152219	0.0292419	0.0625475	0.0941973	0.151893	0.26227	0.34482
