 	son	bonheur	était	d'	avoir	tous	ses	enfants	autour	d'	elle	</S>
a23	0.372769	0.184684	0.07032	0.0351552	0.0299135	0.0485914	0.0315098	0.0300558	0.030673	0.0351506	0.0507089	0.0804694
a85	0.494967	0.157391	0.0640885	0.0398222	0.0393633	0.04767	0.0310158	0.0243687	0.0215938	0.0194356	0.0236965	0.0365878
a87	0.283629	0.125751	0.0861246	0.0644649	0.0588103	0.0645203	0.0396246	0.0339621	0.0312842	0.0422248	0.0657555	0.103849
a23	0.171225	0.10603	0.10082	0.0838249	0.0730413	0.087962	0.0466546	0.039913	0.0375946	0.0520104	0.0817911	0.119133
a20	0.268705	0.126787	0.107756	0.0755932	0.0460993	0.0376764	0.0188134	0.0173825	0.0175702	0.0326014	0.0743385	0.176678
a94	0.370079	0.305375	0.130629	0.0620505	0.0373579	0.021778	0.0124618	0.00953909	0.00784741	0.00793803	0.0110845	0.0238598
a58	0.214223	0.331403	0.207615	0.102966	0.0555814	0.0369259	0.0138727	0.0102847	0.00729121	0.00544713	0.00605252	0.00833725
a82	0.14848	0.257349	0.216434	0.137036	0.0859649	0.0618079	0.0252691	0.0182313	0.012369	0.0103389	0.0118131	0.0149071
a38	0.0674604	0.0951788	0.118478	0.138061	0.158716	0.141545	0.0754075	0.0484465	0.0328813	0.0313911	0.0390015	0.0534321
a35	0.0473102	0.078474	0.101621	0.124759	0.151351	0.154354	0.0964003	0.0702679	0.0456333	0.0381879	0.042552	0.0490898
a73	0.105348	0.15488	0.156933	0.142537	0.127702	0.123798	0.0664273	0.0521863	0.0303541	0.0155778	0.0124808	0.0117763
a76	0.105893	0.136158	0.152824	0.156506	0.144932	0.131083	0.0671335	0.0484049	0.0268355	0.012572	0.00922617	0.00843154
a73	0.119018	0.133529	0.143145	0.135113	0.125256	0.122635	0.0688692	0.0578326	0.0392628	0.0242238	0.0170703	0.0140452
a2	0.132126	0.13932	0.153085	0.146279	0.129076	0.124923	0.0582287	0.0434433	0.0287993	0.0188822	0.0138496	0.0119876
a57	0.0396713	0.0423891	0.0640142	0.09205	0.13039	0.175733	0.140455	0.107013	0.063452	0.0446168	0.0447176	0.0554977
a87	0.0350857	0.0375752	0.0639265	0.0960827	0.137921	0.153154	0.132184	0.0948968	0.0640128	0.0508639	0.0577902	0.0765065
a23	0.086447	0.101102	0.124037	0.134246	0.136234	0.107273	0.083693	0.0622395	0.0437096	0.0332699	0.0337615	0.0539863
a40	0.128459	0.084525	0.114728	0.12805	0.137026	0.0919609	0.058699	0.042428	0.0323855	0.034102	0.0463325	0.101304
a30	0.0936337	0.0939727	0.10171	0.115787	0.133046	0.124961	0.0686088	0.0536266	0.0409748	0.0459537	0.0561035	0.071622
a26	0.111977	0.111163	0.117035	0.120867	0.121246	0.132537	0.0834029	0.0720636	0.0478239	0.033471	0.025405	0.0230074
