 	celui	qui	somnole	doit	aller	au	lit	</S>
a87	0.302573	0.259473	0.228932	0.10547	0.0547268	0.0249003	0.0131056	0.0108192
a23	0.416415	0.165296	0.103589	0.110021	0.0922494	0.0446778	0.0356836	0.032068
a79	0.185414	0.107961	0.111121	0.153346	0.134366	0.0856828	0.114028	0.108082
a90	0.246299	0.1571	0.0813107	0.153063	0.11596	0.071653	0.0868871	0.0877277
a92	0.22009	0.209829	0.148035	0.185085	0.0731874	0.0558449	0.0505206	0.0574079
a21	0.0996491	0.118373	0.123897	0.238316	0.126848	0.095942	0.0920138	0.104962
a12	0.076762	0.104465	0.142488	0.240594	0.137002	0.0935113	0.100134	0.105044
a62	0.0747995	0.0959713	0.156691	0.239806	0.133591	0.0858761	0.103302	0.109964
a43	0.0583381	0.087273	0.180649	0.255761	0.145477	0.0859694	0.0948311	0.0917018
a34	0.0424838	0.0646776	0.141808	0.207678	0.13508	0.105364	0.14086	0.162048
a93	0.0366267	0.0656011	0.174956	0.225296	0.134895	0.0870929	0.122434	0.153098
a70	0.026914	0.0505461	0.149725	0.218121	0.134671	0.0962234	0.138129	0.18567
a75	0.0153142	0.026456	0.147999	0.243184	0.167102	0.10614	0.131178	0.162625
a85	0.0165586	0.0221463	0.070059	0.167047	0.177346	0.129802	0.173001	0.24404
a6	0.0256368	0.0315795	0.0915386	0.187299	0.184195	0.129962	0.155893	0.193895
a36	0.00544015	0.00705435	0.0410892	0.157051	0.186563	0.124389	0.183657	0.294756
a56	0.00371087	0.00565405	0.0289849	0.119666	0.192205	0.144154	0.213284	0.292342
a93	0.00302372	0.0041451	0.0274307	0.119907	0.218441	0.156857	0.194419	0.275778
a70	0.00122732	0.00187002	0.0133117	0.0782565	0.19415	0.192164	0.244328	0.274693
a13	0.00133326	0.0016822	0.014623	0.0720041	0.168999	0.192005	0.276677	0.272677
a62	0.00174883	0.00162355	0.00636864	0.0385988	0.102118	0.14596	0.310185	0.393397
a47	0.00116825	0.00112844	0.00571061	0.0343005	0.107045	0.170734	0.320087	0.359826
a88	0.00179284	0.0019828	0.00929968	0.0490611	0.131551	0.195619	0.32159	0.289103
a9	0.000672119	0.00063426	0.00306944	0.0241917	0.0799469	0.148944	0.324149	0.418393
a87	0.00913285	0.00632747	0.00960768	0.0279929	0.0739256	0.132348	0.276185	0.46448
a23	0.129288	0.0653294	0.0582577	0.120899	0.167473	0.152051	0.146169	0.160533
a87	0.0198345	0.012654	0.00943841	0.044027	0.124425	0.185857	0.296252	0.307512
</S>	0.0168611	0.0111056	0.0167632	0.0545208	0.115884	0.161701	0.305712	0.317452
