 	le	repas	a	brûlé	</S>
a23	0.540439	0.237186	0.104168	0.0668585	0.0513485
a85	0.628485	0.245818	0.0803861	0.0257894	0.0195215
a87	0.483993	0.283741	0.0985519	0.0588602	0.0748541
a23	0.423332	0.350228	0.134424	0.0454736	0.0465424
a99	0.469172	0.321552	0.108169	0.0481058	0.0530013
a62	0.521426	0.310271	0.0913885	0.0426136	0.034301
a24	0.524337	0.352112	0.0888154	0.0228852	0.0118498
a41	0.40677	0.346007	0.167812	0.0523118	0.0271002
a61	0.366614	0.340668	0.200131	0.0609686	0.0316188
a76	0.281957	0.303854	0.264766	0.0999721	0.0494512
a94	0.379983	0.309785	0.183329	0.0772883	0.049615
a90	0.271393	0.282934	0.246124	0.126544	0.0730056
a94	0.242687	0.257453	0.259707	0.149674	0.0904774
a54	0.143826	0.165678	0.248695	0.250404	0.191396
a73	0.0820845	0.107063	0.234216	0.309251	0.267385
a2	0.0373013	0.0565477	0.171808	0.348737	0.385607
a57	0.00743906	0.0109655	0.0436186	0.224446	0.71353
a87	0.0144283	0.0130676	0.0284542	0.140045	0.804005
</S>	0.0447035	0.0647728	0.118842	0.288546	0.483136
