 	voilà	le	véhicule	qu'	il	a	acheté	</S>
a15	0.422338	0.127275	0.0847386	0.112088	0.0960901	0.0687834	0.0491301	0.0395573
a66	0.387299	0.158751	0.109891	0.0979645	0.0680186	0.0631568	0.057669	0.0572505
a87	0.545144	0.176887	0.0721851	0.0440248	0.0263294	0.0257284	0.0414469	0.0682542
a79	0.496939	0.22789	0.0991737	0.0684294	0.0351928	0.0234737	0.021087	0.0278137
a90	0.410569	0.189544	0.0968936	0.0758545	0.051168	0.0528306	0.0576895	0.0654513
a79	0.450362	0.225927	0.123949	0.067522	0.0374863	0.031168	0.0345688	0.0290164
a69	0.314661	0.26934	0.182472	0.0999407	0.0513618	0.0338562	0.0286628	0.019706
a20	0.154483	0.22204	0.213444	0.144016	0.0883414	0.0658407	0.0612001	0.0506353
a25	0.122195	0.201789	0.223744	0.162384	0.105639	0.0677761	0.0615561	0.0549167
a79	0.0960236	0.205924	0.250587	0.17567	0.100419	0.0567837	0.0559471	0.0586457
a56	0.0938296	0.174407	0.242615	0.193245	0.118113	0.0609939	0.0555046	0.061292
a12	0.12037	0.164947	0.211814	0.196579	0.117331	0.0640609	0.0579319	0.0669664
a61	0.113425	0.135378	0.173301	0.201939	0.138388	0.0855326	0.0710296	0.0810054
a56	0.0852637	0.105247	0.150208	0.212036	0.164642	0.108468	0.0813388	0.0927961
a75	0.0423475	0.0516186	0.0936853	0.187626	0.19326	0.165342	0.126076	0.140045
a25	0.0130952	0.0201631	0.0539684	0.141126	0.17258	0.182639	0.19004	0.226388
a56	0.010697	0.0204313	0.0558307	0.138421	0.182751	0.204145	0.181603	0.206122
a75	0.00824137	0.010467	0.024495	0.0802608	0.140597	0.226532	0.25743	0.251976
a56	0.00770935	0.0116066	0.027966	0.0833389	0.138149	0.21236	0.253223	0.265648
a93	0.0030078	0.00378516	0.0063961	0.0191008	0.049269	0.135577	0.312791	0.470074
a56	0.0029222	0.00331041	0.00509367	0.0135734	0.0350212	0.0978134	0.266918	0.575347
a34	0.00110552	0.0013595	0.00221863	0.0049346	0.016952	0.0749232	0.267326	0.631181
a75	0.000952753	0.00126199	0.00202065	0.00361965	0.0117886	0.0628631	0.265878	0.651616
a56	0.000597159	0.00100825	0.00211438	0.00370799	0.0100316	0.0488446	0.218099	0.715597
a96	0.00185576	0.00225964	0.00349929	0.00541353	0.0156778	0.0711991	0.258198	0.641897
a66	0.0013443	0.00174518	0.00298906	0.00540394	0.0181032	0.0766307	0.258319	0.635465
a71	0.0121749	0.0131349	0.0248988	0.0388572	0.0866784	0.16594	0.249343	0.408974
a9	0.0721489	0.0403404	0.0430522	0.0547431	0.0951822	0.143741	0.205134	0.345658
a10	0.34456	0.15335	0.0962571	0.089943	0.0854036	0.0822276	0.070108	0.0781513
a87	0.224795	0.132648	0.0886781	0.0825411	0.0973584	0.129947	0.132394	0.111639
a23	0.136152	0.0958834	0.0746276	0.0818188	0.115674	0.172982	0.176492	0.14637
a87	0.039644	0.0305669	0.0221662	0.0259948	0.056601	0.128566	0.273008	0.423453
</S>	0.0109657	0.0134008	0.0193183	0.0350406	0.0555091	0.106492	0.229262	0.530012
