 	il	y	a	beaucoup	de	bêtes	dangereuses	</S>
a85	0.313347	0.298126	0.239037	0.107356	0.0311448	0.00407806	0.00228412	0.00462794
a87	0.371059	0.156911	0.142082	0.110185	0.105702	0.0370578	0.0317206	0.0452835
a23	0.295279	0.136511	0.134567	0.150686	0.131251	0.05747	0.0444698	0.0497662
a40	0.226229	0.114297	0.113797	0.115528	0.13759	0.0717701	0.07161	0.149179
a94	0.241357	0.169298	0.110773	0.0660505	0.0652086	0.0949884	0.142877	0.109447
a4	0.237691	0.213087	0.18657	0.163583	0.126048	0.0416064	0.0188153	0.0125993
a94	0.177293	0.197917	0.186504	0.188284	0.150147	0.048895	0.0301268	0.0208332
a20	0.152835	0.171882	0.171352	0.217122	0.180162	0.0524678	0.0306649	0.0235143
a44	0.158103	0.161822	0.148084	0.196233	0.179689	0.0645011	0.0493069	0.0422604
a54	0.157907	0.154166	0.134807	0.177158	0.175218	0.0874386	0.0615399	0.0517654
a14	0.163706	0.138285	0.110081	0.150013	0.162976	0.108677	0.0859343	0.0803274
a41	0.128232	0.112715	0.0930713	0.127119	0.154992	0.147194	0.125647	0.11103
a27	0.0862248	0.0738898	0.057434	0.0702989	0.106193	0.183253	0.2195	0.203207
a10	0.0919985	0.0788783	0.0664498	0.0783704	0.0881637	0.155494	0.231991	0.208654
a75	0.0399644	0.0332217	0.0277735	0.0377264	0.0429983	0.0927664	0.345103	0.380446
a41	0.0410749	0.0329356	0.0206823	0.0213285	0.021109	0.0965568	0.369273	0.39704
a73	0.0138999	0.0130115	0.0092347	0.011462	0.0148566	0.100716	0.414827	0.421992
a27	0.0201036	0.0175056	0.00954356	0.00934404	0.0078065	0.0445804	0.364414	0.526702
a75	0.00820522	0.00481711	0.00261957	0.00262699	0.00302538	0.0165113	0.303246	0.658948
a41	0.0284155	0.0201543	0.00856514	0.00621818	0.00757225	0.0466398	0.367141	0.515293
a12	0.00568922	0.00448284	0.00171694	0.00223971	0.00405739	0.0557766	0.392085	0.533952
a31	0.0154011	0.0117695	0.00430461	0.00357516	0.00498839	0.0358561	0.32278	0.601325
a24	0.0216654	0.0167523	0.00667529	0.00591	0.0084557	0.0486705	0.320003	0.571868
a9	0.0337803	0.0230293	0.0081899	0.0057333	0.00864633	0.0586882	0.314668	0.547265
a87	0.0330207	0.0174487	0.00567927	0.00366107	0.00640699	0.0421837	0.335027	0.556573
</S>	0.04242	0.0362057	0.0180417	0.0121486	0.0177165	0.0456891	0.290576	0.537203
