 	otsenge	se	nourrit	des	bâtons	de	man	ioc	cuit	à	l'	étouffée	</S>
a66	0.108423	0.147349	0.177866	0.191742	0.155969	0.0676482	0.0567018	0.0300006	0.0255146	0.0143998	0.00880386	0.00778988	0.00779243
a87	0.307931	0.279014	0.13825	0.0740553	0.0264075	0.0171213	0.00806641	0.0124415	0.010659	0.0181776	0.0296483	0.0407795	0.0374488
a23	0.29116	0.251249	0.146058	0.0816075	0.0572794	0.0201275	0.0127032	0.0164277	0.0155486	0.0198372	0.0280984	0.0297034	0.0302006
a97	0.263	0.154222	0.0819612	0.0408275	0.0313112	0.0182153	0.017705	0.0271378	0.0235389	0.040602	0.0799578	0.107014	0.114508
a87	0.327791	0.180328	0.116005	0.0782979	0.0495429	0.0142095	0.00805536	0.0113379	0.0160753	0.031068	0.0477981	0.062792	0.0566987
a23	0.345046	0.181386	0.100378	0.0664169	0.0420593	0.0194267	0.0105843	0.0174505	0.020825	0.0336061	0.0533247	0.0585366	0.0509595
a79	0.243772	0.0942027	0.0508425	0.0315922	0.0221289	0.0165562	0.0153947	0.024291	0.0299788	0.0684715	0.124785	0.154174	0.12381
a90	0.364237	0.173753	0.120815	0.0693522	0.052418	0.0250062	0.0293926	0.019945	0.0157246	0.0235451	0.0332208	0.0382623	0.034328
a44	0.329179	0.255809	0.189287	0.102727	0.0435142	0.0195867	0.0118854	0.00654969	0.00492667	0.00737672	0.00931777	0.010333	0.00950715
a26	0.222771	0.204883	0.209384	0.146715	0.0793531	0.0453971	0.0254402	0.0136328	0.00973693	0.0104817	0.0106997	0.0112333	0.0102729
a75	0.142959	0.139126	0.19849	0.173083	0.121259	0.0657755	0.040145	0.0221701	0.0167232	0.0178441	0.0193613	0.0225096	0.0205551
a5	0.152007	0.189775	0.209151	0.143356	0.0808275	0.074459	0.0486562	0.024513	0.017347	0.0159154	0.0143991	0.0155799	0.0140142
a12	0.132166	0.179697	0.200343	0.147032	0.102262	0.0721226	0.0563427	0.0279473	0.0223169	0.017012	0.0139982	0.0150706	0.0136901
a96	0.0533956	0.107011	0.163978	0.159152	0.14184	0.0999761	0.0887182	0.0509429	0.0456859	0.0298719	0.021173	0.019897	0.0183583
a21	0.0217579	0.0488518	0.102435	0.139871	0.151208	0.108789	0.130346	0.0781102	0.0752389	0.0460274	0.0344871	0.0327851	0.0300923
a85	0.0104444	0.0282005	0.0749022	0.133135	0.162286	0.104174	0.134282	0.0834699	0.0839608	0.0586076	0.0435549	0.0437987	0.0391846
a6	0.00238707	0.00580343	0.0179371	0.0524874	0.115576	0.141788	0.150949	0.11232	0.118184	0.0897233	0.0641581	0.0633096	0.0653771
a36	0.00230643	0.00549406	0.0138726	0.0386649	0.0908396	0.116564	0.144492	0.123297	0.134293	0.10401	0.0776795	0.0751614	0.0733254
a85	0.00485081	0.00646993	0.00785473	0.0200352	0.0594378	0.104804	0.170749	0.134255	0.125248	0.0795778	0.0793424	0.100522	0.106853
a47	0.000896231	0.00183997	0.00434979	0.0126263	0.0283709	0.0685273	0.080796	0.0958194	0.118603	0.138975	0.129595	0.143639	0.175962
a7	0.00102817	0.00165138	0.00226949	0.00483876	0.00780308	0.0214188	0.0435108	0.0620257	0.0805295	0.0962447	0.15355	0.218882	0.306247
a54	0.000704524	0.000876162	0.000873371	0.00171427	0.00366287	0.0115182	0.0309056	0.0665501	0.0924361	0.108175	0.159407	0.230578	0.292598
a47	0.000381415	0.000540027	0.000560078	0.00133359	0.00323793	0.012519	0.0235373	0.0443995	0.0610009	0.0957248	0.161605	0.257714	0.337447
a54	0.000229352	0.000333594	0.000360044	0.000808157	0.00164359	0.00798854	0.0164388	0.0378006	0.0568389	0.106357	0.172375	0.260385	0.338442
a47	0.000163005	0.000226619	0.000249978	0.000534494	0.00126405	0.00634977	0.0144986	0.041113	0.0623512	0.135689	0.193485	0.240051	0.304024
a36	5.83524e-05	9.67836e-05	0.000122043	0.000356933	0.000947816	0.00577031	0.0124356	0.0328176	0.0570095	0.137773	0.199159	0.246176	0.307278
a2	0.0002007	0.000269359	0.000195263	0.000366977	0.000748928	0.00568041	0.010182	0.0404622	0.0616179	0.136962	0.192959	0.250938	0.299417
a57	0.00607424	0.00745345	0.00535393	0.00611921	0.00517024	0.0158653	0.013215	0.0409213	0.0653647	0.111091	0.180159	0.246074	0.29714
a87	0.0211059	0.0294322	0.025482	0.0362671	0.0333915	0.0512933	0.0380634	0.0624659	0.0756737	0.111007	0.13531	0.168538	0.21197
a23	0.0590041	0.0906358	0.0494893	0.0469394	0.0418233	0.0617776	0.0613924	0.0750824	0.0941642	0.108736	0.101351	0.0939289	0.115676
a87	0.00921513	0.0107221	0.0051228	0.00570814	0.00769554	0.0371649	0.0505112	0.0736632	0.0860159	0.174243	0.187244	0.184081	0.168613
</S>	0.000893565	0.00179026	0.00190737	0.0030371	0.00454013	0.0265867	0.0363505	0.0390892	0.0441313	0.108639	0.180967	0.272898	0.27917
