 	le	chef	coutumier	a	eu	un	problème	grave	</S>
a66	0.294536	0.193209	0.117093	0.101054	0.119571	0.0827488	0.0433907	0.0285327	0.0198654
a87	0.355781	0.230806	0.128337	0.0784397	0.0553738	0.0427813	0.0385022	0.0336574	0.0363214
a23	0.454676	0.288959	0.122828	0.0503722	0.0263653	0.0120544	0.0103849	0.012965	0.0213955
a87	0.418285	0.288551	0.132944	0.0505585	0.0284392	0.0147708	0.0139848	0.0185156	0.0339513
a23	0.392933	0.262658	0.132555	0.0574093	0.0364448	0.0249266	0.0240268	0.0260976	0.0429485
a54	0.287419	0.186184	0.108288	0.0534064	0.0438875	0.035208	0.0482805	0.103326	0.134001
a6	0.126724	0.136399	0.156038	0.0897342	0.0615409	0.0520093	0.0654083	0.170448	0.141698
a85	0.10463	0.134457	0.226451	0.155468	0.0820628	0.0541271	0.055656	0.108297	0.0788509
a6	0.124954	0.147836	0.215918	0.138024	0.0891055	0.0775379	0.0618847	0.0849725	0.0597669
a36	0.0932184	0.107399	0.201517	0.188468	0.111692	0.0715873	0.0520082	0.101242	0.0728681
a90	0.143207	0.141237	0.20437	0.193966	0.107833	0.0556385	0.0341966	0.066551	0.0530007
a25	0.0824332	0.0872653	0.134392	0.222924	0.148245	0.0835562	0.0511249	0.0991162	0.0909434
a79	0.0408436	0.042641	0.0769837	0.185698	0.144168	0.115906	0.0831346	0.150425	0.160199
a56	0.0399803	0.0396513	0.0551741	0.168195	0.182663	0.142862	0.0892441	0.134021	0.148209
a94	0.0546818	0.0476572	0.0540886	0.122107	0.160029	0.161563	0.121304	0.137066	0.141504
a11	0.025316	0.0203145	0.0221862	0.0539807	0.119786	0.18026	0.155707	0.171087	0.251362
a93	0.0332654	0.0258614	0.0240893	0.0467377	0.0989244	0.170481	0.156865	0.171489	0.272288
a4	0.0226198	0.0173329	0.017505	0.0377324	0.0874186	0.188987	0.224019	0.18574	0.218645
a13	0.0108231	0.00809613	0.00703326	0.0141419	0.0337661	0.107627	0.205064	0.242765	0.370683
a93	0.00715279	0.00537977	0.00379319	0.00749536	0.0141225	0.0408785	0.108894	0.2532	0.559085
a94	0.0048027	0.00349895	0.00267292	0.004727	0.00812308	0.025075	0.0949365	0.303516	0.552648
a13	0.00182437	0.00134161	0.000992797	0.00225364	0.00429332	0.0134792	0.0693219	0.300708	0.605785
a71	0.00377275	0.00254525	0.00191272	0.00465153	0.00836062	0.0218211	0.0929664	0.313009	0.550961
a9	0.0139141	0.00923111	0.00692527	0.0125148	0.0205267	0.0458532	0.125244	0.265389	0.500402
a10	0.122527	0.0604668	0.033747	0.0371414	0.044965	0.0777095	0.119836	0.157296	0.34631
a87	0.285641	0.179683	0.0918667	0.0600801	0.054395	0.0659094	0.0862113	0.0688672	0.107346
a23	0.271811	0.216008	0.137873	0.0869942	0.068176	0.0607827	0.0647628	0.0405086	0.0530835
a87	0.202309	0.115362	0.0407569	0.0283646	0.0223421	0.0455991	0.120275	0.172829	0.252163
</S>	0.0421596	0.0226096	0.0111994	0.0124431	0.0137273	0.0385991	0.11121	0.319483	0.428569
