 	cette	affaire	exige	la	présence	de	ses	mères	donc	ses	parents	maternels	</S>
a66	0.174374	0.151107	0.135986	0.124137	0.0973474	0.0804825	0.0715427	0.0634676	0.0286288	0.0207621	0.0212913	0.0175184	0.0133556
a10	0.148671	0.117361	0.174991	0.162516	0.138435	0.0919724	0.0577575	0.0167517	0.0143306	0.0142346	0.0205363	0.0226092	0.0198343
a82	0.227819	0.18288	0.263218	0.169983	0.0808539	0.0305071	0.0110283	0.00448747	0.002448	0.00257974	0.00528026	0.00857206	0.0103423
a10	0.177479	0.173655	0.306587	0.175389	0.0859277	0.0365165	0.0116415	0.00573895	0.00303186	0.00337924	0.00572419	0.00700625	0.00792437
a87	0.177388	0.177421	0.304178	0.184705	0.0875741	0.0291873	0.00755178	0.00309418	0.00245836	0.00344126	0.00642666	0.00826661	0.00830759
a10	0.184538	0.173027	0.263552	0.168516	0.089423	0.0354857	0.0117491	0.00453275	0.00539939	0.00870737	0.0161774	0.0200026	0.0188892
a87	0.204577	0.181831	0.296331	0.164746	0.0630819	0.0205475	0.00798756	0.00393067	0.00490648	0.0081282	0.0133672	0.0160912	0.0144747
a23	0.203079	0.174404	0.282424	0.165681	0.0687552	0.0249188	0.0110234	0.00509656	0.00550584	0.00917845	0.0149645	0.0185764	0.0163933
a83	0.174094	0.164167	0.301629	0.134125	0.0427488	0.0178839	0.0136694	0.0107859	0.0178188	0.0267771	0.0341074	0.0341919	0.0280024
a18	0.135248	0.152285	0.269964	0.154857	0.0620064	0.0324489	0.0232381	0.0197864	0.016033	0.0178271	0.0288898	0.0461043	0.0413122
a70	0.115675	0.152984	0.233341	0.187677	0.0999219	0.0522561	0.0252134	0.0168195	0.011871	0.0131633	0.0206728	0.0343497	0.0360555
a53	0.0756902	0.118966	0.198392	0.194537	0.131249	0.0845127	0.0383204	0.0249029	0.0151828	0.0160558	0.022571	0.0366513	0.0429687
a90	0.0533809	0.0955244	0.136561	0.179456	0.156229	0.12577	0.0633251	0.0447485	0.0180041	0.0184119	0.0260839	0.0409582	0.0415474
a25	0.0345296	0.070182	0.110383	0.179848	0.177422	0.149844	0.0902983	0.0594701	0.0221517	0.0189612	0.021888	0.0317472	0.0332754
a79	0.0435825	0.0760457	0.0836025	0.129128	0.154267	0.170252	0.127176	0.0830814	0.0282263	0.0208836	0.0202979	0.0279481	0.0355083
a96	0.0396849	0.0570958	0.05919	0.0955907	0.118771	0.153879	0.159395	0.140804	0.0490048	0.0308487	0.0235696	0.0304624	0.0417049
a62	0.0714636	0.0604055	0.0638663	0.098242	0.136212	0.170203	0.126413	0.120937	0.0399043	0.0261951	0.0226379	0.0258286	0.0376908
a88	0.0531328	0.0343363	0.0392661	0.0592937	0.0932327	0.145624	0.144242	0.185865	0.0634468	0.042379	0.0365634	0.0399589	0.062659
a62	0.0343994	0.017081	0.0185677	0.0309392	0.0585491	0.118359	0.151055	0.251338	0.0980481	0.0589954	0.046207	0.0462638	0.0701969
a12	0.0224519	0.0102672	0.0100054	0.0160298	0.032388	0.0794488	0.126659	0.25488	0.140061	0.0839	0.0636529	0.0618178	0.0984385
a96	0.0230583	0.00986224	0.00888516	0.0132628	0.0302567	0.0850125	0.135531	0.243911	0.138029	0.0993981	0.0738511	0.0606107	0.0783307
a98	0.0131154	0.00570626	0.005406	0.0075463	0.0150952	0.0498578	0.112006	0.233332	0.150589	0.114732	0.094731	0.0843064	0.113576
a15	0.00707706	0.0032698	0.00320946	0.0044208	0.00840103	0.0277566	0.0720268	0.190058	0.160762	0.139884	0.112008	0.104441	0.166685
a44	0.00585752	0.00250977	0.00264968	0.00335615	0.00530946	0.0173489	0.0487721	0.126701	0.161884	0.163262	0.124237	0.124889	0.213224
a53	0.00489313	0.00237347	0.00214333	0.00247346	0.00331857	0.00904284	0.0279302	0.0883556	0.154154	0.168323	0.13982	0.144192	0.25298
a15	0.00167165	0.000798315	0.00076612	0.00101664	0.00178617	0.0064652	0.0240913	0.069663	0.171852	0.188674	0.154112	0.152102	0.227003
a69	0.00105857	0.000509667	0.000502535	0.000702712	0.00137798	0.00522792	0.0171846	0.045898	0.129534	0.149451	0.134488	0.172888	0.341178
a7	0.00109776	0.000537546	0.000564477	0.000693945	0.001212	0.00364461	0.0110513	0.0268167	0.0858908	0.116954	0.126833	0.193949	0.430755
a84	0.00183632	0.00109404	0.00120978	0.00129273	0.00202414	0.00417537	0.00919598	0.0131376	0.0674039	0.114795	0.126246	0.202106	0.455483
a87	0.00884433	0.00529623	0.0069796	0.00683223	0.00787256	0.0114515	0.0217021	0.0275593	0.0922474	0.119495	0.10936	0.161017	0.421342
a38	0.0200829	0.01203	0.0186783	0.0214463	0.0234856	0.0223543	0.04669	0.0438449	0.149106	0.163382	0.14719	0.153222	0.178486
a70	0.0115976	0.00566879	0.00651375	0.00780769	0.00902443	0.0113789	0.0230391	0.0168789	0.0493283	0.0925312	0.158035	0.254123	0.354073
a4	0.000567749	0.000448557	0.000533081	0.00115601	0.00169538	0.00188259	0.00380553	0.00266724	0.0242245	0.0717067	0.13851	0.265141	0.487661
a57	0.00036301	0.000237237	0.000274415	0.000682762	0.001182	0.00163721	0.00444646	0.00533224	0.0266171	0.0616565	0.124969	0.282658	0.489944
a4	0.000147083	0.000102525	0.000133988	0.000271444	0.000436088	0.000652356	0.00210048	0.00289032	0.0203063	0.0554447	0.103887	0.239187	0.574441
a13	0.000179812	9.48784e-05	0.000109389	0.000180274	0.000276024	0.000476051	0.00179963	0.00309003	0.0226933	0.0555013	0.0974063	0.24668	0.571513
