 	j'	ai	décollé	la	feuille	de	papier	qui	était	sur	le	mur	de	la	maison	</S>
a66	0.154986	0.12064	0.129887	0.0685689	0.0667401	0.0921371	0.115349	0.0797571	0.0556497	0.0342815	0.0225676	0.0170349	0.0112827	0.0107316	0.0103272	0.0100589
a87	0.317509	0.151471	0.0540799	0.0406604	0.0498101	0.0521735	0.0508115	0.0390248	0.0307377	0.0280053	0.0245833	0.0284587	0.0289777	0.0347814	0.0351029	0.0338128
a23	0.341419	0.196789	0.0524056	0.0350494	0.0368289	0.0496594	0.0827908	0.046792	0.0233269	0.0182388	0.0131572	0.0133682	0.0125658	0.0187392	0.0265637	0.0323062
a87	0.303325	0.138978	0.0516069	0.0353392	0.0380424	0.0449552	0.053839	0.0424947	0.0318255	0.0289923	0.0218533	0.0257652	0.0273656	0.0374612	0.0525129	0.0656437
a97	0.275277	0.14065	0.0605405	0.0379389	0.0437827	0.0490572	0.0540433	0.046852	0.0344584	0.0333064	0.0283621	0.0326889	0.0314107	0.0365867	0.0425976	0.0524476
a18	0.269658	0.121964	0.06093	0.0351224	0.040139	0.0421261	0.0459587	0.0431454	0.0339243	0.0357816	0.0353818	0.0412409	0.0405689	0.0458404	0.0486171	0.0596019
a50	0.286234	0.100173	0.0644461	0.0257243	0.0230834	0.0264211	0.0436901	0.0408603	0.0335927	0.0318232	0.030211	0.0391175	0.0485279	0.0617007	0.0684151	0.0759799
a96	0.234399	0.125537	0.106957	0.0629327	0.0515101	0.046302	0.0450821	0.030998	0.0207094	0.0186401	0.0187015	0.0247763	0.0364934	0.0510287	0.058902	0.0670309
a70	0.112034	0.101056	0.133424	0.0901861	0.0803169	0.075701	0.0866114	0.0538798	0.035259	0.0266772	0.0230665	0.0255939	0.0317326	0.0380283	0.0411679	0.0452651
a93	0.0372845	0.0753155	0.174412	0.127928	0.0990599	0.0849053	0.0945918	0.0648583	0.0470755	0.0357304	0.0308357	0.0271001	0.0248849	0.024983	0.0251202	0.0259149
a75	0.0233153	0.06007	0.176314	0.155721	0.116767	0.0986304	0.102261	0.064568	0.0459926	0.0319185	0.0270127	0.0210616	0.018704	0.0187584	0.0192068	0.0196981
a5	0.020864	0.0608484	0.144613	0.150205	0.122146	0.105929	0.106271	0.069427	0.0518135	0.0326369	0.0260258	0.0216659	0.0199498	0.021059	0.0223035	0.0242424
a12	0.0169149	0.0503861	0.154012	0.172678	0.137229	0.114745	0.109133	0.0650503	0.047257	0.0297276	0.0235977	0.0168075	0.0141356	0.0149012	0.0160578	0.0173683
a96	0.0161094	0.0426214	0.133733	0.159588	0.126447	0.112261	0.109447	0.0689419	0.0586226	0.0420313	0.0338579	0.0227631	0.0170523	0.0175921	0.0184832	0.0204469
