 	comment	t'	appelles-tu	</S>
a23	0.485052	0.19812	0.150614	0.166214
a87	0.570783	0.20501	0.113165	0.111041
a10	0.520254	0.241546	0.129886	0.108314
a57	0.460003	0.248935	0.152158	0.138904
a87	0.479096	0.238806	0.148874	0.133224
a79	0.442128	0.26783	0.161814	0.128228
a20	0.542862	0.228556	0.118224	0.110359
a94	0.582395	0.26366	0.0913928	0.0625524
a35	0.506287	0.30334	0.117071	0.0733027
a76	0.518898	0.290597	0.118269	0.0722355
a35	0.483334	0.278636	0.138344	0.099686
a30	0.456025	0.279614	0.154934	0.109427
a35	0.372152	0.263882	0.200019	0.163947
a14	0.26195	0.244059	0.256451	0.23754
a35	0.179167	0.215953	0.302959	0.301921
a66	0.120257	0.16221	0.32854	0.388993
a75	0.056273	0.108731	0.281459	0.553538
a14	0.0301681	0.0648918	0.30488	0.60006
a30	0.0281612	0.0680994	0.32229	0.581449
a2	0.0334914	0.0518308	0.262717	0.651961
a57	0.0319891	0.0477393	0.231714	0.688558
a87	0.096622	0.0999092	0.285376	0.518093
a23	0.0427015	0.0868541	0.356189	0.514255
a87	0.0810025	0.118558	0.353196	0.447243
</S>	0.0433091	0.0771492	0.356752	0.52279
