 	cette	femme	a	oint	ses	mollets	d'	huile	de	palme	</S>
a66	0.449837	0.199924	0.0988521	0.0492635	0.0696528	0.0670795	0.025977	0.0137688	0.0114956	0.00744504	0.00670466
a87	0.338726	0.113156	0.0660999	0.0633668	0.0898473	0.0939387	0.0670557	0.0475695	0.0466878	0.0381874	0.0353648
a97	0.190799	0.0923271	0.0612971	0.0906833	0.130072	0.214571	0.0657124	0.0487066	0.0379328	0.0359078	0.0319909
a13	0.14784	0.0789683	0.0573303	0.103277	0.146902	0.213802	0.0852937	0.0602233	0.0420225	0.0355033	0.0288383
a79	0.195124	0.107335	0.0800971	0.0754638	0.161984	0.170668	0.0754125	0.041742	0.0349661	0.0301342	0.0270733
a4	0.175633	0.145531	0.139217	0.0557384	0.0974668	0.0865234	0.0607275	0.0491855	0.0569334	0.0620444	0.0709991
a70	0.140032	0.144186	0.153371	0.0784213	0.0922465	0.0874762	0.0659862	0.0491946	0.0582316	0.0560191	0.0748366
a96	0.0910563	0.107132	0.137124	0.118108	0.104176	0.106459	0.0640839	0.0568596	0.0678872	0.0657249	0.0813885
a93	0.0652758	0.0812295	0.116278	0.123114	0.101263	0.104681	0.0684158	0.0673092	0.0822377	0.0854729	0.104724
a90	0.0482489	0.0598103	0.0988494	0.115958	0.0989691	0.109158	0.0725031	0.0731062	0.0909363	0.101368	0.131092
a69	0.0588078	0.0700102	0.101051	0.091151	0.0925006	0.0836896	0.077721	0.0807209	0.102135	0.11011	0.132104
a93	0.0463073	0.0528522	0.0834224	0.0824061	0.0824311	0.0789413	0.0788508	0.0921165	0.117124	0.134737	0.150811
a56	0.0467059	0.0507673	0.0890152	0.0928639	0.0893707	0.0842487	0.0757798	0.0852508	0.108149	0.127931	0.149918
a75	0.0335493	0.0350113	0.0662325	0.0850093	0.0842342	0.0803261	0.0786735	0.0956719	0.120049	0.146866	0.174376
a73	0.0231645	0.0307869	0.0610105	0.0688672	0.0800668	0.0767316	0.107376	0.12808	0.141151	0.138078	0.144687
a79	0.0333756	0.0481071	0.0832002	0.0977757	0.109175	0.0994912	0.109571	0.106166	0.107244	0.100204	0.105691
a93	0.0194105	0.0302261	0.0637086	0.103245	0.106581	0.0987198	0.106371	0.106349	0.109729	0.118667	0.136992
a98	0.00524081	0.00732069	0.0215927	0.0557463	0.0528036	0.0599502	0.0812126	0.10754	0.136684	0.200223	0.271686
a47	0.00805219	0.0147471	0.0352107	0.0770982	0.0785938	0.0766706	0.107714	0.12054	0.132344	0.156479	0.192551
a37	0.00282359	0.00598202	0.0187627	0.0627176	0.0610965	0.0652534	0.0992952	0.11853	0.140661	0.184821	0.240056
a21	0.000963147	0.00140686	0.00442446	0.0280668	0.0238108	0.0326041	0.0576923	0.101045	0.150876	0.239747	0.359364
a5	0.000903589	0.00106552	0.00283607	0.024132	0.0235604	0.0307651	0.0565109	0.113316	0.170549	0.238844	0.337518
a37	0.000818236	0.000947091	0.00216018	0.0174811	0.0163644	0.0252179	0.0447528	0.101764	0.15918	0.252972	0.378343
a18	0.000427922	0.000573617	0.00149418	0.00930994	0.00745566	0.0135352	0.0280247	0.0891948	0.139226	0.279678	0.431079
a88	0.000407285	0.000560512	0.00117977	0.00343208	0.00288285	0.00550034	0.0131309	0.0603262	0.117013	0.307986	0.487581
a66	0.000414318	0.000651093	0.00124551	0.00256277	0.00247327	0.00490901	0.0151108	0.0667494	0.126504	0.307272	0.472108
a53	0.00126241	0.00161098	0.002559	0.00510787	0.0049889	0.0103323	0.0213881	0.0791705	0.127206	0.303804	0.442569
a69	0.000159311	0.000283207	0.000691442	0.0015377	0.00157676	0.0026597	0.00759217	0.0361641	0.0897819	0.299723	0.55983
a4	5.28849e-05	0.000114933	0.000346056	0.0010994	0.00102785	0.00191785	0.00615164	0.0316873	0.0758475	0.294539	0.587215
a13	0.000126333	0.000206679	0.000488061	0.00122009	0.0011554	0.00212043	0.00637406	0.0333023	0.0809809	0.306439	0.567587
a4	0.00026525	0.000524345	0.00122237	0.00317085	0.00342966	0.00608591	0.0131919	0.0588764	0.103361	0.304616	0.505256
a57	0.000185507	0.000360191	0.000949625	0.00252333	0.00297406	0.00568628	0.0108878	0.049947	0.0985698	0.321299	0.506618
a3	0.000848714	0.00118079	0.00215168	0.00518374	0.00654166	0.0138389	0.0166105	0.0607571	0.0994116	0.30539	0.488086
a97	0.0155798	0.00818934	0.00741859	0.0156148	0.0291738	0.0536253	0.0539508	0.107565	0.135261	0.262228	0.311393
a87	0.031631	0.0186962	0.014406	0.0283101	0.0457771	0.0723257	0.0778619	0.134302	0.15659	0.217291	0.202809
a97	0.0216163	0.0172913	0.0180914	0.0533495	0.0700511	0.102682	0.0894041	0.127367	0.140393	0.188171	0.171583
a87	0.0148444	0.0149034	0.0232005	0.0937134	0.12725	0.147085	0.101312	0.11028	0.115383	0.134716	0.117312
a97	0.0148947	0.0171401	0.0251421	0.0770828	0.0930023	0.099832	0.0939395	0.114235	0.130552	0.166488	0.167692
a87	0.0160048	0.020925	0.0324284	0.0575986	0.0826084	0.0797952	0.102476	0.117241	0.145673	0.167104	0.178146
</S>	0.0185934	0.0228676	0.0331492	0.0605408	0.0837918	0.0784971	0.102645	0.11853	0.142767	0.164636	0.173983
