 	kwarata	a	fini	l'	eau	qui	était	dans	la	calebasse	</S>
a66	0.338425	0.195551	0.0885355	0.0731092	0.057163	0.0473022	0.0434132	0.0409931	0.0360978	0.0369631	0.042447
a87	0.605045	0.20485	0.0682911	0.0320911	0.0159353	0.0113676	0.00900607	0.00757066	0.009645	0.0135399	0.022658
a23	0.509038	0.267947	0.0951379	0.0363032	0.0164604	0.0125405	0.00984963	0.0082558	0.00962346	0.0139439	0.0209001
a79	0.43069	0.192124	0.0809349	0.0308753	0.0261722	0.0263085	0.0234586	0.0274212	0.0354057	0.0427997	0.0838107
a20	0.435392	0.226759	0.0982763	0.0560711	0.0429764	0.0383839	0.0239862	0.018147	0.0168943	0.0168131	0.026301
a6	0.352018	0.22352	0.145985	0.0880897	0.0648699	0.0471095	0.0258069	0.0166688	0.0131912	0.0105309	0.0122095
a36	0.264996	0.21241	0.179291	0.120214	0.0896104	0.0573839	0.0280848	0.0156729	0.0122728	0.00874933	0.0113146
a5	0.267414	0.210104	0.168869	0.117516	0.100243	0.0565208	0.0264223	0.0143408	0.0121313	0.00965431	0.0167849
a43	0.208764	0.184395	0.207863	0.136799	0.109955	0.0592112	0.0277624	0.015938	0.014747	0.0132673	0.0212984
a31	0.135891	0.138303	0.191478	0.166545	0.154431	0.093851	0.0429358	0.022565	0.018086	0.0150829	0.02083
a0	0.0969168	0.120121	0.19423	0.190841	0.164312	0.10823	0.0499392	0.0237944	0.0170435	0.0146054	0.0199672
a24	0.0641506	0.0751981	0.140783	0.192971	0.203445	0.148324	0.07098	0.0336681	0.0238488	0.0200248	0.0266061
a50	0.031369	0.0425479	0.0900092	0.169331	0.23458	0.20692	0.108087	0.0448913	0.0254875	0.0197314	0.0270449
a75	0.0379615	0.0477335	0.079212	0.143885	0.211693	0.216072	0.121605	0.0510668	0.0295101	0.0246622	0.0365988
a47	0.019592	0.024442	0.0352264	0.0606649	0.0978669	0.111836	0.137947	0.135878	0.124622	0.104906	0.14702
a85	0.0152355	0.0187353	0.0256111	0.0570208	0.0971685	0.111388	0.140248	0.135415	0.125353	0.111335	0.162491
a6	0.0116501	0.0154412	0.0244045	0.0630333	0.10448	0.13435	0.161875	0.140161	0.116022	0.0983691	0.130214
a36	0.0116234	0.0149878	0.022223	0.0555135	0.0953841	0.139048	0.165091	0.145825	0.110213	0.0946743	0.145417
a0	0.0131703	0.0162297	0.0197847	0.0410477	0.0639428	0.0852299	0.114946	0.135456	0.129983	0.132812	0.247398
a90	0.008276	0.0094433	0.0112785	0.024238	0.0401975	0.0602571	0.0779399	0.090743	0.105743	0.162432	0.409451
a69	0.00367165	0.00461106	0.00613403	0.0172514	0.0347992	0.0605031	0.089788	0.125139	0.148849	0.175747	0.333507
a44	0.00357102	0.00449949	0.00581194	0.0174037	0.0308818	0.0512187	0.0721938	0.110272	0.156485	0.197728	0.349935
a83	0.0024622	0.00306974	0.00374688	0.0129646	0.0243216	0.0501076	0.0746343	0.104019	0.139339	0.195992	0.389344
a98	0.00162335	0.00181439	0.00228756	0.00712504	0.0140293	0.0321206	0.057416	0.0916783	0.14195	0.221503	0.428453
a47	0.000387605	0.000471169	0.000538472	0.00340734	0.00878281	0.0198074	0.035044	0.0661411	0.136146	0.247341	0.481933
a85	0.00032582	0.000368652	0.000390933	0.00192845	0.00443652	0.00993027	0.023665	0.0522848	0.118417	0.243302	0.54495
a6	0.000285787	0.000339714	0.000406994	0.00229121	0.0055149	0.012174	0.0255412	0.0556759	0.135435	0.257139	0.505196
a36	0.000504463	0.000652676	0.000803457	0.0038484	0.0075513	0.0157607	0.0332102	0.0663241	0.145935	0.264175	0.461235
a12	0.00117185	0.00155876	0.00157626	0.00479195	0.00851777	0.0159622	0.0380144	0.0775926	0.156534	0.252851	0.441429
a31	0.000536661	0.000687874	0.000850635	0.00409471	0.00808191	0.017602	0.0440319	0.087769	0.164831	0.258185	0.413329
a0	0.00041014	0.000424925	0.000436312	0.00127206	0.00251556	0.00646982	0.0200062	0.0503402	0.120551	0.28436	0.513214
a75	0.0017789	0.00183437	0.00172989	0.00468567	0.00664916	0.0116233	0.0256786	0.0610976	0.142573	0.277089	0.46526
a6	0.000240392	0.000279267	0.000275657	0.00131083	0.00292188	0.00738575	0.0211955	0.0534515	0.122847	0.279287	0.510806
a36	0.000142022	0.000174787	0.000202824	0.000975835	0.00206283	0.00499509	0.0145404	0.0369241	0.0953573	0.262401	0.582224
a2	0.00179612	0.00184247	0.00183263	0.00550127	0.0075683	0.0114347	0.0232926	0.0528976	0.12832	0.300619	0.464896
a90	0.0203768	0.0249365	0.026394	0.0458847	0.0530562	0.0568507	0.0897221	0.14083	0.182214	0.181778	0.177957
