 	c'	est	toi	qui	a	fait	éclater	cet	objet	</S>
a66	0.190265	0.190129	0.179247	0.152071	0.111812	0.0882839	0.0497822	0.0205029	0.00991167	0.00799606
a87	0.245231	0.226759	0.173299	0.125109	0.0994746	0.0589049	0.0309844	0.0178034	0.0109714	0.0114638
a23	0.319791	0.282312	0.164497	0.116012	0.0596164	0.0286944	0.0114707	0.00626579	0.00448995	0.00685038
a30	0.289415	0.270444	0.161028	0.119032	0.0645741	0.0339099	0.019034	0.0119431	0.0100239	0.0205966
a99	0.238471	0.214875	0.140075	0.138735	0.102744	0.0667102	0.042094	0.0210636	0.0162923	0.0189406
a93	0.173691	0.162899	0.112051	0.126597	0.11494	0.0865771	0.0629194	0.0473154	0.0488306	0.0641801
a90	0.129357	0.155745	0.157874	0.189565	0.156087	0.0932801	0.050991	0.0311361	0.0207484	0.0152164
a94	0.0828288	0.113213	0.146073	0.177704	0.169981	0.127155	0.0815282	0.0530511	0.0302189	0.0182486
a62	0.0729067	0.0869751	0.11258	0.1695	0.18737	0.131877	0.0807784	0.0546826	0.0565926	0.0467367
a0	0.07912	0.0858751	0.102306	0.150358	0.209573	0.166185	0.0817821	0.0452896	0.0450286	0.0344827
a24	0.0559641	0.0521717	0.0578165	0.0938343	0.186034	0.200915	0.121219	0.0715675	0.0849787	0.0755
a50	0.0643105	0.0540644	0.0518043	0.0698057	0.131866	0.181104	0.145805	0.0807041	0.109279	0.111257
a96	0.0589763	0.0471258	0.0447903	0.0549122	0.11071	0.184562	0.187156	0.0944886	0.114416	0.102862
a34	0.0427746	0.0342903	0.0321334	0.0409885	0.0867786	0.170019	0.200666	0.109902	0.142918	0.139529
a56	0.0296369	0.0219962	0.0228218	0.0330074	0.0805822	0.169231	0.204435	0.147208	0.158502	0.132579
a98	0.0134856	0.0106568	0.0117937	0.017562	0.038645	0.0869471	0.169009	0.191102	0.228501	0.232297
a92	0.00388462	0.00402129	0.0066639	0.0137359	0.0340258	0.0743042	0.13402	0.177651	0.267458	0.284236
a5	0.00346117	0.00279693	0.00371864	0.00519588	0.0106671	0.025948	0.0620015	0.152967	0.335788	0.397456
a47	0.00256754	0.0020432	0.00235063	0.0024457	0.00350303	0.00774062	0.0321387	0.128545	0.339668	0.478997
a96	0.00474463	0.00404405	0.00450207	0.00423324	0.00477616	0.0078316	0.0260952	0.117532	0.293961	0.532281
a88	0.00124962	0.00102425	0.00112248	0.00104867	0.00132449	0.00227976	0.00905132	0.0628732	0.26412	0.655906
a94	0.000790213	0.000687964	0.000765387	0.00073322	0.00112276	0.00171453	0.00539409	0.0340348	0.214828	0.739929
a58	0.00158829	0.00132161	0.00132605	0.00122441	0.00208927	0.00331172	0.00889327	0.0395061	0.199051	0.741688
a82	0.120182	0.0860545	0.0699648	0.0510256	0.0453366	0.0455933	0.0569224	0.0669646	0.125536	0.33242
a87	0.322347	0.233771	0.147788	0.0932226	0.0494082	0.0343864	0.0288524	0.0279905	0.024606	0.0376287
a23	0.286361	0.229104	0.145996	0.111735	0.074432	0.0525435	0.033037	0.0279469	0.0178166	0.0210272
a87	0.202329	0.150968	0.0928707	0.0436723	0.019338	0.0128627	0.0138153	0.0579188	0.130617	0.275608
</S>	0.0303438	0.0213872	0.0135	0.007917	0.0049779	0.00508373	0.00989211	0.069768	0.254698	0.582433
