 	la	rivière	alima	est	profonde	</S>
a66	0.35841	0.144627	0.0728425	0.0788029	0.14826	0.197057
a87	0.345149	0.141066	0.0943532	0.119224	0.190233	0.109975
a97	0.312378	0.136946	0.118206	0.091611	0.241569	0.0992903
a99	0.245624	0.132029	0.136926	0.142322	0.244708	0.0983896
a38	0.38507	0.160368	0.147403	0.0933956	0.14457	0.069194
a75	0.549392	0.192214	0.0949706	0.0461234	0.0582477	0.0590531
a5	0.455759	0.245089	0.119714	0.0639604	0.0581495	0.0573279
a21	0.189568	0.247693	0.239506	0.161393	0.0858363	0.0760033
a12	0.105359	0.193465	0.201509	0.208112	0.151178	0.140378
a18	0.0647531	0.112165	0.146581	0.217653	0.225348	0.2335
a96	0.0216861	0.0289297	0.0512466	0.103283	0.303632	0.491223
a62	0.0307129	0.0430201	0.0616141	0.118985	0.310775	0.434892
a47	0.00558542	0.0103565	0.0203804	0.0582543	0.294294	0.61113
a62	0.00236606	0.00461257	0.0111696	0.0433253	0.261552	0.676974
a96	0.00210261	0.00460869	0.0123816	0.0450329	0.254798	0.681076
a70	0.0016518	0.00308409	0.00799393	0.0374372	0.210563	0.73927
a88	0.00244407	0.0040819	0.00943863	0.0427432	0.233679	0.707614
a71	0.00299617	0.00353425	0.00617324	0.0434336	0.297504	0.646359
a9	0.0194492	0.0148146	0.0157696	0.0695966	0.317651	0.562719
a87	0.169482	0.0974197	0.0828289	0.133015	0.260914	0.256341
a23	0.197271	0.128957	0.0968047	0.123531	0.228889	0.224547
a87	0.0666871	0.0275193	0.0280424	0.0419274	0.26189	0.573934
</S>	0.0134455	0.00942046	0.0145721	0.036436	0.282491	0.643635
