 	jésus	avait	fait	tant	de	miracles	</S>
a87	0.149809	0.120413	0.16884	0.263615	0.235526	0.0510609	0.0107359
a23	0.318349	0.125324	0.143676	0.1009	0.153384	0.120118	0.0382488
a83	0.16176	0.142544	0.167672	0.177277	0.155955	0.116864	0.0779284
a24	0.286964	0.210322	0.194358	0.129838	0.0865025	0.0607208	0.0312938
a62	0.438609	0.258081	0.146647	0.0762066	0.0406308	0.0284876	0.0113377
a47	0.508896	0.219798	0.131985	0.0733007	0.0335008	0.0253474	0.00717295
a0	0.343657	0.229179	0.179845	0.127899	0.0480453	0.044925	0.0264499
a75	0.295693	0.207961	0.15751	0.117798	0.0790158	0.0776222	0.0644004
a5	0.264795	0.207249	0.199209	0.210394	0.0561874	0.0349492	0.027216
a27	0.279789	0.225458	0.19576	0.192847	0.0512796	0.0305897	0.0242775
a38	0.165236	0.220779	0.158277	0.0960345	0.0949029	0.0971475	0.167623
a31	0.119468	0.251827	0.194166	0.107393	0.0788269	0.0685096	0.179809
a61	0.117718	0.257429	0.244738	0.173847	0.0931701	0.05226	0.0608387
a0	0.106768	0.259122	0.238868	0.151819	0.113803	0.0659514	0.0636686
a21	0.0867877	0.22303	0.20954	0.140976	0.134064	0.0916741	0.113928
a47	0.100844	0.220617	0.228928	0.150163	0.138502	0.0970024	0.0639433
a62	0.0927384	0.184053	0.180459	0.120262	0.170144	0.146394	0.105949
a31	0.0863307	0.177522	0.174033	0.0989137	0.161153	0.173988	0.12806
a75	0.0795642	0.154642	0.14438	0.0761131	0.142577	0.185807	0.216916
a25	0.0586177	0.125038	0.105048	0.043072	0.0846312	0.131981	0.451613
a56	0.0651221	0.103465	0.0889087	0.035766	0.075646	0.183411	0.447681
a34	0.0294094	0.068294	0.0602574	0.0247424	0.0763144	0.18942	0.551562
a21	0.0123656	0.0270263	0.02405	0.0116578	0.0453975	0.142677	0.736826
a61	0.0207257	0.0388798	0.0350723	0.0178167	0.0624368	0.179933	0.645136
a66	0.00706153	0.0130785	0.0136066	0.00890978	0.0438453	0.147084	0.766414
a24	0.0018722	0.00366614	0.00451641	0.00259401	0.0129253	0.074896	0.89953
a9	0.000714859	0.00161016	0.00204274	0.00119581	0.00995439	0.0652915	0.919191
a99	0.00365945	0.00509644	0.00459469	0.00193854	0.0125847	0.0540395	0.918087
a87	0.0103814	0.00982931	0.0094023	0.00442957	0.027726	0.0939618	0.84427
a23	0.0631618	0.057765	0.0629546	0.0383869	0.109455	0.239181	0.429096
a87	0.0166789	0.0177081	0.0252673	0.0166706	0.0741578	0.269765	0.579753
</S>	0.00461814	0.00670041	0.00988757	0.00957725	0.0492181	0.185838	0.734161
