 	la	souris	est	prise	au	piège	</S>
a23	0.446581	0.175495	0.0636347	0.0596538	0.0811012	0.093179	0.0803558
a30	0.440976	0.135565	0.103292	0.124872	0.0806603	0.0540942	0.0605397
a13	0.336598	0.130138	0.0938365	0.122918	0.0957172	0.0877642	0.133028
a38	0.474407	0.226458	0.140061	0.0810211	0.0329893	0.0208608	0.024203
a11	0.335865	0.300626	0.233583	0.0848942	0.0244055	0.01188	0.0087461
a93	0.286217	0.301442	0.263187	0.103215	0.0261914	0.0113713	0.00837632
a90	0.180175	0.275873	0.327787	0.136778	0.0419617	0.0211883	0.0162371
a70	0.169926	0.292994	0.30841	0.114806	0.0533086	0.0340335	0.0265225
a9	0.225843	0.221004	0.214605	0.166036	0.0863892	0.0501403	0.0359825
a38	0.106123	0.0824114	0.103217	0.181186	0.186337	0.178701	0.162024
a0	0.0858167	0.0556148	0.0614778	0.152738	0.236263	0.236731	0.171358
a90	0.0516062	0.0301548	0.0327044	0.0992728	0.221044	0.306192	0.259026
a13	0.0472207	0.0253879	0.0245529	0.0855289	0.218227	0.317755	0.281327
a93	0.031983	0.0197769	0.020087	0.0692149	0.211699	0.325569	0.32167
a56	0.0193124	0.0135458	0.0145856	0.0524344	0.186822	0.34185	0.37145
a21	0.00820702	0.00601624	0.00818146	0.0286065	0.110909	0.327789	0.51029
a41	0.00611147	0.00435483	0.00632066	0.0172531	0.0512202	0.224194	0.690546
a27	0.00607778	0.00383828	0.00548453	0.0187419	0.0573024	0.204814	0.703741
a82	0.00252482	0.00112136	0.00124646	0.00780732	0.0547939	0.249312	0.683194
a87	0.043871	0.019851	0.0128485	0.0259835	0.0778983	0.22449	0.595058
a23	0.254031	0.0724359	0.0343527	0.0377961	0.0808383	0.181508	0.339038
a87	0.0874959	0.0357718	0.0152005	0.0227956	0.0682321	0.233798	0.536706
</S>	0.0159085	0.00839348	0.00704899	0.013558	0.0496007	0.241695	0.663796
