 	le	foie	du	porc	est	délicieux	</S>
a66	0.362369	0.32913	0.141143	0.0821076	0.0375335	0.0276498	0.0200677
a87	0.291999	0.27043	0.204507	0.125972	0.0540703	0.0325132	0.0205085
a23	0.514332	0.251882	0.0772665	0.0451691	0.0349876	0.0370779	0.039285
a50	0.476298	0.2558	0.0900534	0.0664844	0.0416202	0.0344834	0.035261
a83	0.353071	0.250429	0.107574	0.0946723	0.0739005	0.0605805	0.0597727
a98	0.467916	0.270706	0.104825	0.0711317	0.0393875	0.0259229	0.0201116
a47	0.340007	0.336593	0.145273	0.0870727	0.0451464	0.0266024	0.0193058
a85	0.212217	0.330044	0.183642	0.126867	0.0722232	0.0414713	0.0335368
a79	0.174141	0.283551	0.213656	0.142783	0.0853293	0.0527474	0.0477919
a44	0.199052	0.271756	0.225096	0.139853	0.0719635	0.0481	0.0441786
a62	0.23428	0.294058	0.193384	0.120505	0.0628762	0.0471053	0.0477905
a96	0.211024	0.285642	0.177816	0.122937	0.0781934	0.0592838	0.0651046
a21	0.154887	0.220211	0.196915	0.160986	0.107812	0.0782121	0.0809756
a98	0.125477	0.163528	0.148205	0.164262	0.149745	0.126573	0.12221
a92	0.0251135	0.0376358	0.063749	0.145964	0.207665	0.260976	0.258896
a98	0.0239331	0.0353906	0.0463729	0.127584	0.205811	0.270668	0.29024
a92	0.0146792	0.0305846	0.048152	0.141124	0.215435	0.257787	0.292238
a21	0.0122923	0.0224418	0.0327477	0.117728	0.204386	0.267537	0.342867
a85	0.00870594	0.0105119	0.0138942	0.0564224	0.172588	0.315158	0.42272
a47	0.00353041	0.00452592	0.00681015	0.026812	0.10475	0.289047	0.564525
a36	0.00214282	0.00298088	0.00539915	0.0274071	0.123025	0.295378	0.543667
a2	0.0125919	0.0145366	0.0171684	0.0421763	0.107284	0.247799	0.558444
a57	0.123552	0.117546	0.0608098	0.0689742	0.102494	0.192467	0.334156
a87	0.244186	0.241872	0.137277	0.101858	0.0792185	0.0822481	0.11334
a23	0.180934	0.194383	0.157861	0.16069	0.121197	0.093555	0.0913811
a99	0.069406	0.0810871	0.0691464	0.104666	0.162407	0.209481	0.303806
a38	0.037014	0.0541209	0.0888167	0.144375	0.173157	0.222415	0.280101
a26	0.0151826	0.041812	0.110662	0.142157	0.16742	0.232828	0.289938
</S>	0.00703709	0.0191796	0.0517547	0.0774488	0.148586	0.245013	0.45098
